id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,edu_lit_7_t,edu_lit_7_f,edu_lit_7_m,edu_lit_15_t,edu_lit_15_f,edu_lit_15_m,edu_sec_15_t,edu_sec_15_f,edu_sec_15_m,edu_ter_15_t,edu_ter_15_f,edu_ter_15_m
3_11_244_0,2011,Urban,3,India,11,Sikkim,244,East District,88.90000000000001,84.90000000000001,92.5,96.10000000000001,95.10000000000001,96.80000000000001,42.8,36.5,48,12,8.9,14.6
3_12_245_1,2011,Rural,3,India,12,India/China  1,245,Tawang,49.1,42,55.1,68.8,66.40000000000001,71,32.7,28.2,37,4.9,2.8,6.800000000000001
3_12_245_1,2011,Total,3,India,12,India/China  1,245,Tawang,59,46.5,67.5,70.90000000000001,67.5,74.10000000000001,34.6,29.2,39.8,6.100000000000001,4.600000000000001,7.5
3_12_245_1,2011,Urban,3,India,12,India/China  1,245,Tawang,90.90000000000001,74.8,95.90000000000001,78,71.10000000000001,84.5,41.2,32.7,49.40000000000001,10.4,10.9,9.9
3_12_246_1,2011,Rural,3,India,12,India/China  1,246,West Kameng,64.40000000000001,55.6,71.2,69.40000000000001,66.7,72,31.5,30.4,32.4,6.800000000000001,8.9,4.9
3_12_246_1,2011,Total,3,India,12,India/China  1,246,West Kameng,67.10000000000001,59.1,73.40000000000001,73.10000000000001,70.3,75.60000000000001,34.8,33.2,36.4,7.2,9.1,5.5
3_12_246_1,2011,Urban,3,India,12,India/China  1,246,West Kameng,78.2,72.2,83.60000000000001,96.10000000000001,94.10000000000001,97.90000000000001,56.2,50.90000000000001,60.90000000000001,9.9,10.4,9.4
3_12_247_1,2011,Rural,3,India,12,India/China  1,247,East Kameng,54.8,46.90000000000001,63.2,54.6,49.5,60.40000000000001,20.9,18.9,23.1,4.4,1.6,7.5
3_12_247_1,2011,Total,3,India,12,India/China  1,247,East Kameng,60,51.7,68.60000000000001,57,52.7,62.1,24,22.5,25.8,5.9,3.2,9.1
3_12_247_1,2011,Urban,3,India,12,India/China  1,247,East Kameng,77.10000000000001,68.10000000000001,85.90000000000001,67.8,66,70.10000000000001,37.9,38,37.8,12.6,9.700000000000001,16.2
3_12_248_0,2011,Rural,3,India,12,Arunachal Pradesh,248,Papum Pare,73.90000000000001,66.90000000000001,80.90000000000001,82.7,78.90000000000001,86,46.1,42.40000000000001,49.40000000000001,14.6,8.300000000000001,20.2
3_12_248_1,2011,Rural,3,India,12,India/China  1,248,Papum Pare,73.90000000000001,66.90000000000001,80.90000000000001,82.7,78.90000000000001,86,46.1,42.40000000000001,49.40000000000001,14.6,8.300000000000001,20.2
3_12_248_1,2011,Total,3,India,12,India/China  1,248,Papum Pare,80,73.7,86.10000000000001,87.90000000000001,84.7,90.80000000000001,47.1,48.1,46.1,19.4,9.300000000000001,28.8
3_12_248_0,2011,Total,3,India,12,Arunachal Pradesh,248,Papum Pare,80,73.7,86.10000000000001,87.90000000000001,84.7,90.80000000000001,47.1,48.1,46.1,19.4,9.300000000000001,28.8
3_12_248_0,2011,Urban,3,India,12,Arunachal Pradesh,248,Papum Pare,84.7,79.2,90.10000000000001,95.7,93.10000000000001,98.2,48.40000000000001,56.3,40.8,26.7,10.7,42.40000000000001
