id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,ger_t,ger_f,ger_m,oos_child
3_10_240_0,2011,Urban,3,India,10,Bihar,240,Arwal,54.90000000000001,60.40000000000001,50,
3_11_241_0,2011,Rural,3,India,11,Sikkim,241,North  District,122.8,119.2,126.6,4.3
3_11_241_0,2011,Total,3,India,11,Sikkim,241,North  District,107.1,104.5,109.6,
3_11_241_0,2011,Urban,3,India,11,Sikkim,241,North  District,,,,
3_11_242_0,2011,Rural,3,India,11,Sikkim,242,West District,101.2,102.9,99.5,2.8
3_11_242_0,2011,Total,3,India,11,Sikkim,242,West District,106.8,108.8,105,
3_11_242_0,2011,Urban,3,India,11,Sikkim,242,West District,271.8,274.5,268.9,
3_11_243_0,2011,Rural,3,India,11,Sikkim,243,South District,114.1,114.6,113.7,3.7
3_11_243_0,2011,Total,3,India,11,Sikkim,243,South District,112.1,113,111.1,
3_11_243_0,2011,Urban,3,India,11,Sikkim,243,South District,98.10000000000001,102.3,94,
3_11_244_0,2011,Rural,3,India,11,Sikkim,244,East District,153,160.5,145.8,4.5
3_11_244_0,2011,Total,3,India,11,Sikkim,244,East District,115.8,118.8,112.8,
3_11_244_0,2011,Urban,3,India,11,Sikkim,244,East District,60.40000000000001,58.1,62.8,
3_12_245_1,2011,Rural,3,India,12,India/China  1,245,Tawang,79.7,84.90000000000001,74.3,6.7
3_12_245_1,2011,Total,3,India,12,India/China  1,245,Tawang,82.10000000000001,87.2,76.7,
3_12_245_1,2011,Urban,3,India,12,India/China  1,245,Tawang,100.3,102.7,97.2,
3_12_246_1,2011,Rural,3,India,12,India/China  1,246,West Kameng,99.2,99.60000000000001,98.80000000000001,2.5
3_12_246_1,2011,Total,3,India,12,India/China  1,246,West Kameng,89.90000000000001,90.10000000000001,89.7,
3_12_246_1,2011,Urban,3,India,12,India/China  1,246,West Kameng,50.40000000000001,47.7,53,
3_12_247_1,2011,Rural,3,India,12,India/China  1,247,East Kameng,80.30000000000001,78.5,82.2,1.4
3_12_247_1,2011,Total,3,India,12,India/China  1,247,East Kameng,84.30000000000001,82.5,86.10000000000001,
3_12_247_1,2011,Urban,3,India,12,India/China  1,247,East Kameng,97.30000000000001,95.80000000000001,98.90000000000001,
3_12_248_1,2011,Rural,3,India,12,India/China  1,248,Papum Pare,156,153.6,158.4,.2
3_12_248_0,2011,Rural,3,India,12,Arunachal Pradesh,248,Papum Pare,156,153.6,158.4,.2
3_12_248_1,2011,Total,3,India,12,India/China  1,248,Papum Pare,135.3,133.2,137.5,
3_12_248_0,2011,Total,3,India,12,Arunachal Pradesh,248,Papum Pare,135.3,133.2,137.5,
3_12_248_0,2011,Urban,3,India,12,Arunachal Pradesh,248,Papum Pare,114.9,113.4,116.4,
3_12_248_1,2011,Urban,3,India,12,India/China  1,248,Papum Pare,114.9,113.4,116.4,
3_12_249_1,2011,Rural,3,India,12,India/China  1,249,Upper Subansiri,105.6,107.4,104,1.4
3_12_249_1,2011,Total,3,India,12,India/China  1,249,Upper Subansiri,121.3,124.6,118.2,
3_12_249_1,2011,Urban,3,India,12,India/China  1,249,Upper Subansiri,206.5,213.5,199.2,
3_12_250_1,2011,Rural,3,India,12,India/China  1,250,West Siang,131.3,133.4,129.3,10.3
3_12_250_0,2011,Rural,3,India,12,Arunachal Pradesh,250,West Siang,131.3,133.4,129.3,10.3
3_12_250_1,2011,Total,3,India,12,India/China  1,250,West Siang,134,134.5,133.5,
3_12_250_0,2011,Total,3,India,12,Arunachal Pradesh,250,West Siang,134,134.5,133.5,
3_12_250_0,2011,Urban,3,India,12,Arunachal Pradesh,250,West Siang,144.8,138.7,151.4,
