id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,wkp_15_t,wkp_15_f,wkp_15_m,wkp_7_t,wkp_7_f,wkp_7_m,lfp_15_u_t,lfp_15_u_f,lfp_15_u_m,lfp_15_w_t,lfp_15_w_f,lfp_15_w_m,emp_7_t,emp_7_f,emp_7_m
3_10_223_0,2011,Total,3,India,10,Bihar,223,Khagaria,63.5,74.40000000000001,57.7,79.5,79.10000000000001,80,60.90000000000001,18.9,90,60.90000000000001,18.9,89.90000000000001,42.3,26.3,56.3
3_10_223_0,2011,Urban,3,India,10,Bihar,223,Khagaria,66.60000000000001,72,62.8,83.7,83.30000000000001,84.10000000000001,41,2.3,72.2,41,2.3,72.2,31.8,8.9,51.7
3_10_224_0,2011,Rural,3,India,10,Bihar,224,Bhagalpur,70.8,66.90000000000001,74.2,81.2,80.5,81.80000000000001,50.6,25.6,69.5,45.5,14.2,69.40000000000001,40.7,23.1,56
3_10_224_0,2011,Total,3,India,10,Bihar,224,Bhagalpur,70.5,66.2,74.10000000000001,82,81.40000000000001,82.5,50.7,23.6,70.8,46.2,13.9,70.10000000000001,39.5,21,55.5
3_10_224_0,2011,Urban,3,India,10,Bihar,224,Bhagalpur,68.90000000000001,62.6,73.60000000000001,85.2,84.90000000000001,85.40000000000001,51.7,12.1,76.7,49.8,12.1,73.60000000000001,34.6,13,53.5
3_10_225_0,2011,Rural,3,India,10,Bihar,225,Banka,59.3,61.5,57.7,81.5,81.10000000000001,81.80000000000001,66.40000000000001,39.1,87.5,60,24.7,87.30000000000001,47,33.1,59.5
3_10_225_0,2011,Total,3,India,10,Bihar,225,Banka,59.2,61.1,57.8,81.60000000000001,81.2,81.90000000000001,65.7,37.5,87.80000000000001,59.5,23.7,87.60000000000001,46.5,32.2,59.2
3_10_225_0,2011,Urban,3,India,10,Bihar,225,Banka,57.2,53.7,61.5,83.80000000000001,83.60000000000001,84,46.8,2,95.80000000000001,45.8,0,95.80000000000001,32.9,9.1,53.6
3_10_226_0,2011,Rural,3,India,10,Bihar,226,Munger,63,67.8,58.7,82.10000000000001,81.5,82.60000000000001,54.2,24.3,85.10000000000001,50.90000000000001,17.6,85.10000000000001,40.1,22.8,55
3_10_226_0,2011,Total,3,India,10,Bihar,226,Munger,65.3,68.3,62.5,83.2,82.7,83.60000000000001,53.3,24.2,82.10000000000001,50.8,19,82.10000000000001,37.5,18.8,53.7
