id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,gdp,gdp_pc,sgdp_s1,sgdp_s2,sgdp_s3,sgdp_s4,sgdp_s5,sgdp_s6,sgdp_s7,sgdp_s8,sgdp_s9,sgdp_s10,sgdp_s11
3_15_283_0,2011,Total,3,India,15,Mizoram,283,Aizawl,236,643,10.4,.1,1.8,3.2,13.6,10.4,2.9,3,17.5,26.8,10.3
3_15_284_0,2011,Total,3,India,15,Mizoram,284,Champhai,53,446,27.1,.5,.6000000000000001,4.7,7.800000000000001,4.3,2,3.6,26.4,8.9,14
3_15_285_0,2011,Total,3,India,15,Mizoram,285,Serchhip,33.3,583,37.9,.3,.8,3.7,4.2,2.8,1.2,5.2,19.6,13.2,11.2
3_15_286_0,2011,Total,3,India,15,Mizoram,286,Lunglei,74.8,505,16.5,.5,2.7,4.2,7.9,6.2,2.3,3.4,23.5,19.3,13.6
3_15_287_0,2011,Total,3,India,15,Mizoram,287,Lawngtlai,39.6,482,15.6,.5,.5,4.2,10,5,1.4,2,21.7,22.6,16.4
3_15_288_0,2011,Total,3,India,15,Mizoram,288,Saiha,36.8,542,21.1,.3,.5,3.8,5.600000000000001,3.5,1.5,2.6,18.9,25.5,16.7
3_16_289_0,2011,Total,3,India,16,Tripura,289,West Tripura,,,,,,,,,,,,,
3_16_290_0,2011,Total,3,India,16,Tripura,290,South Tripura,,,,,,,,,,,,,
3_16_291_0,2011,Total,3,India,16,Tripura,291,Dhalai,,,,,,,,,,,,,
3_16_292_0,2011,Total,3,India,16,Tripura,292,North Tripura,,,,,,,,,,,,,
3_17_293_0,2011,Total,3,India,17,Meghalaya,293,West Garo Hills,210,386,25.8,.2,1.6,2.9,12.4,11.7,7.7,3.6,13,10.4,10.6
3_17_294_0,2011,Total,3,India,17,Meghalaya,294,East Garo Hills,98.5,375,30.7,.4,6.800000000000001,3.4,9.200000000000001,8.9,3.4,1.3,14.1,12.4,9.4
3_17_295_0,2011,Total,3,India,17,Meghalaya,295,South Garo Hills,82.90000000000001,780,32,35.5,.8,1.2,6.100000000000001,6.7,2,.6000000000000001,6,3.6,5.5
3_17_296_0,2011,Total,3,India,17,Meghalaya,296,West Khasi Hills,92.2,298,26.1,7.7,.8,2.8,14.3,7.7,5.300000000000001,.8,16.2,7.9,10.3
3_17_297_0,2011,Total,3,India,17,Meghalaya,297,Ribhoi,90.80000000000001,450,25.1,.3,11.2,9.200000000000001,4.800000000000001,10.8,7.600000000000001,1.3,10.7,13.5,5.5
3_17_298_0,2011,Total,3,India,17,Meghalaya,298,East Khasi Hills,515,744,14.3,.8,2.5,3.3,10.9,12.9,7.4,6,11.9,22.7,7.300000000000001
3_17_299_0,2011,Total,3,India,17,Meghalaya,299,Jaintia Hills,210,671,12.7,45,1.5,1.8,8.6,6.5,5.800000000000001,.7000000000000001,6.800000000000001,5,5.7
3_18_300_0,2011,Total,3,India,18,Assam,300,Kokrajhar,377,425,25.7,0,15.5,1.4,7.2,11.8,5.9,6.2,5.4,5.5,15.3
3_18_301_0,2011,Total,3,India,18,Assam,301,Dhubri,350,227,33.9,.1,11.2,1.7,4.7,16.9,3.2,2.5,2.3,5.2,18.3
3_18_302_0,2011,Total,3,India,18,Assam,302,Goalpara,279,316,29.4,.9,7.600000000000001,1.5,3.5,18.2,5.2,2.1,5.5,4.800000000000001,21.4
3_18_303_0,2011,Total,3,India,18,Assam,303,Barpeta,399,282,34.5,.2,9.800000000000001,1.7,8.200000000000001,18.4,5.100000000000001,2.4,2.6,4.100000000000001,13
3_18_304_0,2011,Total,3,India,18,Assam,304,Morigaon,257,351,34.7,0,6.7,1.8,3.9,12,4.100000000000001,2.5,3.8,6,24.4
3_18_305_0,2011,Total,3,India,18,Assam,305,Nagaon,651,261,35.7,.4,10.1,2.1,7.5,15.7,7,3,2.3,4.4,11.6
3_18_306_0,2011,Total,3,India,18,Assam,306,Sonitpur,551,328,38.40000000000001,.4,9.700000000000001,2,4.2,13.7,6,2.9,1.9,5.600000000000001,15.2
3_18_307_0,2011,Total,3,India,18,Assam,307,Lakhimpur,315,330,49.1,1.4,5.5,2,4.9,9.4,5.9,2.8,2.2,3.7,13
3_18_308_0,2011,Total,3,India,18,Assam,308,Dhemaji,179,288,49.1,2.5,9.5,1.8,4.100000000000001,7.4,4.600000000000001,2.6,.8,3.9,13.6
3_18_309_0,2011,Total,3,India,18,Assam,309,Tinsukia,767,620,19.4,25.6,10.1,2.3,3.8,13.6,5.5,2.1,3,2.6,12.1
3_18_310_0,2011,Total,3,India,18,Assam,310,Dibrugarh,838,665,21.4,31.9,8.1,2,3.2,7.5,5,2.4,2.9,4.9,10.8
3_18_311_0,2011,Total,3,India,18,Assam,311,Sivasagar,837,739,18.1,41.1,5.4,2.2,3.6,10.3,4.600000000000001,2.1,2.6,2.8,7.300000000000001
3_18_312_0,2011,Total,3,India,18,Assam,312,Jorhat,598,551,22.7,2.6,8.700000000000001,2.2,4.100000000000001,20,6.100000000000001,3.1,4.600000000000001,8.200000000000001,17.6
3_18_313_0,2011,Total,3,India,18,Assam,313,Golaghat,362,359,37.9,0,14.2,2.3,3.6,11.3,3.6,3.3,3.1,5.7,15
3_18_314_0,2011,Total,3,India,18,Assam,314,Karbi Anglong,354,413,38,6.4,10.2,1.6,7.300000000000001,11.3,3.5,2.4,1.1,5.600000000000001,12.6
3_18_315_0,2011,Total,3,India,18,Assam,315,Dima Hasao,136,682,24.5,18,7.100000000000001,1.4,13,3.1,5.5,1.9,1.1,3.7,20.8
3_18_316_0,2011,Total,3,India,18,Assam,316,Cachar,666,429,22,.3,12,1.6,7.2,21.9,6.600000000000001,3,3.1,9.600000000000001,12.6
