id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,lp_inf_ser_t,lp_inf_ser_6,lp_inf_ser_7,lp_inf_ser_8,lp_inf_ser_9,lp_inf_ser_11,kl_inf_ser_t,kl_inf_ser_6,kl_inf_ser_7,kl_inf_ser_8,kl_inf_ser_9,kl_inf_ser_11
3_10_227_0,2011,Total,3,India,10,Bihar,227,Lakhisarai,290.2,408.4,350.9,130.6,182.9,65.2,970.1,859.7000000000001,2408.4,1340,1856.2,445.2000000000001
3_10_227_0,2011,Urban,3,India,10,Bihar,227,Lakhisarai,356.2000000000001,550.5,81.2,182.1,181.7,58.1,1052.9,1263.8,644.5,989.9000000000001,1760.1,708.7000000000001
3_10_228_0,2011,Rural,3,India,10,Bihar,228,Sheikhpura,226.4,378.2000000000001,131.2,,,81.5,732.2000000000001,575.6,1353.7,,,370.9
3_10_228_0,2011,Total,3,India,10,Bihar,228,Sheikhpura,318.5,517.6,119.3,47.1,160.7,89,918.2000000000001,996.2000000000001,1124.7,1435.6,1462.4,514.8000000000001
3_10_228_0,2011,Urban,3,India,10,Bihar,228,Sheikhpura,520.9,714,73.10000000000001,47.1,160.7,126.1,1328.2,1588.8,237.9,1435.6,1462.4,1235.9
3_10_229_0,2011,Rural,3,India,10,Bihar,229,Nalanda,295.6,455.1,70.40000000000001,29.3,149.3,116.7,1323.5,1698.2,376.3,19.9,2056.7,1140.1
3_10_229_0,2011,Total,3,India,10,Bihar,229,Nalanda,351.9,510.5,80.40000000000001,76.10000000000001,318.1,173.2,2721.1,2133.7,952,1027,14004.8,2078.5
3_10_229_0,2011,Urban,3,India,10,Bihar,229,Nalanda,430.7000000000001,593.7000000000001,97.5,213,330.6,270.7,4667.5,2786.5,1876.3,3972.5,14889.7,3698.5
3_10_230_0,2011,Rural,3,India,10,Bihar,230,Patna,369.1,514.8000000000001,224.5,24.1,167.6,98.30000000000001,1384.8,1232.5,3115.6,40.7,3150,966.1
3_10_230_0,2011,Total,3,India,10,Bihar,230,Patna,432.3,661.6,173.7,126.5,253.1,128.1,3373.8,3503.3,1790.2,1244.9,8291.1,2402
