id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,cr_s,fo_s,n_oper_t,n_oper_gov,n_oper_pri,n_oper_fo,c_oper_t,s_pr_t,s_pr_nat,s_pr_int
3_18_313_0,2011,Total,3,India,18,Assam,313,Golaghat,24.7,4.3,0,0,0,0,0,10.2,6.300000000000001,10.1
3_18_314_0,2011,Total,3,India,18,Assam,314,Karbi Anglong,5.600000000000001,50.2,0,0,0,0,0,.8,.8,0
3_18_315_0,2011,Total,3,India,18,Assam,315,Dima Hasao,.4,65.10000000000001,0,0,0,0,0,3,3,0
3_18_316_0,2011,Total,3,India,18,Assam,316,Cachar,27.8,44.5,0,0,0,0,0,6,6,0
3_18_317_0,2011,Total,3,India,18,Assam,317,Karimganj,32.9,11.1,0,0,0,0,0,0,0,0
3_18_318_0,2011,Total,3,India,18,Assam,318,Hailakandi,27.7,28.7,0,0,0,0,0,0,0,0
3_18_319_0,2011,Total,3,India,18,Assam,319,Bongaigaon,49,.6000000000000001,0,0,0,0,0,0,0,0
3_18_320_0,2011,Total,3,India,18,Assam,320,Chirang,15.7,16.4,1,1,0,0,1567,7.7,7.600000000000001,6.7
3_18_321_0,2011,Total,3,India,18,Assam,321,Kamrup,38,7.300000000000001,0,0,0,0,0,0,0,0
3_18_322_0,2011,Total,3,India,18,Assam,322,Kamrup Metropolitan,41.1,7.300000000000001,1,1,0,0,1161,1.7,1.7,0
3_18_323_0,2011,Total,3,India,18,Assam,323,Nalbari,72.60000000000001,.1,0,0,0,0,0,0,0,0
3_18_324_0,2011,Total,3,India,18,Assam,324,Baksa,48,5.4,0,0,0,0,0,18.8,18.5,12.7
3_18_325_0,2011,Total,3,India,18,Assam,325,Darrang,67.2,.3,0,0,0,0,0,.2,.2,0
3_18_326_0,2011,Total,3,India,18,Assam,326,Udalguri,37.9,1.6,0,0,0,0,0,1.9,1.9,0
3_19_327_0,2011,Total,3,India,19,West Bengal,327,Darjiling,15.7,8.700000000000001,0,0,0,0,0,11.7,11.7,0
