id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,hs_good_t,hs_good_slm,hous_slm,bmas_ins_t,bmas_ins_slm
3_11_243_0,2011,Urban,3,India,11,Sikkim,243,South District,83.80000000000001,90.30000000000001,27.8,4.100000000000001,2.9
3_11_244_0,2011,Rural,3,India,11,Sikkim,244,East District,51,,,39.40000000000001,
3_11_244_0,2011,Total,3,India,11,Sikkim,244,East District,64.60000000000001,,,22.7,
3_11_244_0,2011,Urban,3,India,11,Sikkim,244,East District,79.90000000000001,75.8,24,4,2.5
3_12_245_1,2011,Rural,3,India,12,India/China  1,245,Tawang,49,,,67.7,
3_12_245_1,2011,Total,3,India,12,India/China  1,245,Tawang,53.2,,,56.6,
3_12_245_1,2011,Urban,3,India,12,India/China  1,245,Tawang,74.5,,0,1.1,
3_12_246_1,2011,Rural,3,India,12,India/China  1,246,West Kameng,49.2,,,60.3,
3_12_246_1,2011,Total,3,India,12,India/China  1,246,West Kameng,50.6,,,47.90000000000001,
3_12_246_1,2011,Urban,3,India,12,India/China  1,246,West Kameng,55.3,,0,7.800000000000001,
3_12_247_1,2011,Rural,3,India,12,India/China  1,247,East Kameng,39.2,,,89.2,
3_12_247_1,2011,Total,3,India,12,India/China  1,247,East Kameng,41.90000000000001,,,70.40000000000001,
3_12_247_1,2011,Urban,3,India,12,India/China  1,247,East Kameng,50.2,13.6,4.800000000000001,11.6,20.2
3_12_248_0,2011,Rural,3,India,12,Arunachal Pradesh,248,Papum Pare,51.7,,,54.5,
3_12_248_1,2011,Rural,3,India,12,India/China  1,248,Papum Pare,51.7,,,54.5,
3_12_248_1,2011,Total,3,India,12,India/China  1,248,Papum Pare,59.6,,,26.2,
3_12_248_0,2011,Total,3,India,12,Arunachal Pradesh,248,Papum Pare,59.6,,,26.2,
3_12_248_1,2011,Urban,3,India,12,India/China  1,248,Papum Pare,65,,0,7,
3_12_248_0,2011,Urban,3,India,12,Arunachal Pradesh,248,Papum Pare,65,,0,7,
3_12_249_1,2011,Rural,3,India,12,India/China  1,249,Upper Subansiri,34.6,,,90,
3_12_249_1,2011,Total,3,India,12,India/China  1,249,Upper Subansiri,38.8,,,76.7,
3_12_249_1,2011,Urban,3,India,12,India/China  1,249,Upper Subansiri,60.3,,0,10.4,
3_12_250_1,2011,Rural,3,India,12,India/China  1,250,West Siang,58,,,86.80000000000001,
3_12_250_0,2011,Rural,3,India,12,Arunachal Pradesh,250,West Siang,58,,,86.80000000000001,
3_12_250_0,2011,Total,3,India,12,Arunachal Pradesh,250,West Siang,60.5,,,67.7,
3_12_250_1,2011,Total,3,India,12,India/China  1,250,West Siang,60.5,,,67.7,
3_12_250_1,2011,Urban,3,India,12,India/China  1,250,West Siang,67.90000000000001,59.7,24.5,9.800000000000001,13.9
3_12_250_0,2011,Urban,3,India,12,Arunachal Pradesh,250,West Siang,67.90000000000001,59.7,24.5,9.800000000000001,13.9
3_12_251_0,2011,Rural,3,India,12,Arunachal Pradesh,251,East Siang,70.5,,,87.7,
3_12_251_1,2011,Rural,3,India,12,India/China  1,251,East Siang,70.5,,,87.7,
3_12_251_0,2011,Total,3,India,12,Arunachal Pradesh,251,East Siang,60.40000000000001,,,70.40000000000001,
3_12_251_1,2011,Total,3,India,12,India/China  1,251,East Siang,60.40000000000001,,,70.40000000000001,
3_12_251_1,2011,Urban,3,India,12,India/China  1,251,East Siang,39.3,44.8,9.5,34.4,36
3_12_251_0,2011,Urban,3,India,12,Arunachal Pradesh,251,East Siang,39.3,44.8,9.5,34.4,36
3_12_252_1,2011,Rural,3,India,12,India/China  1,252,Upper Siang,70.40000000000001,,,88.30000000000001,
3_12_252_1,2011,Total,3,India,12,India/China  1,252,Upper Siang,66.3,,,75.5,
3_12_252_1,2011,Urban,3,India,12,India/China  1,252,Upper Siang,51.40000000000001,,0,28.4,
3_12_253_0,2011,Rural,3,India,12,Arunachal Pradesh,253,Changlang,48.5,,,83.5,
