id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,bank_t,bank_slm,e_fin1,e_fin2,e_fin3,e_fin4,e_fin5,e_pr_fin1,e_pr_fin2,e_pr_fin3,e_pr_fin4,e_pr_fin5
3_10_234_0,2011,Urban,3,India,10,Bihar,234,Rohtas,66,57.7,95.40000000000001,2.4,1.7,.3,.2,95.10000000000001,.7000000000000001,1.7,.3,.2
3_10_235_0,2011,Rural,3,India,10,Bihar,235,Aurangabad,49.5,,88.7,10.7,.4,0,.1,87.90000000000001,.6000000000000001,.4,0,.1
3_10_235_0,2011,Total,3,India,10,Bihar,235,Aurangabad,50.90000000000001,,90.2,8.9,.6000000000000001,.1,.1,89.60000000000001,.6000000000000001,.6000000000000001,.1,.1
3_10_235_0,2011,Urban,3,India,10,Bihar,235,Aurangabad,64.8,49.90000000000001,93,5.800000000000001,.9,.2,.2,92.60000000000001,.5,.8,.2,.1
3_10_236_0,2011,Rural,3,India,10,Bihar,236,Gaya,44,,92.7,5.800000000000001,1.1,.1,.2,91.30000000000001,1,1.1,.1,.2
3_10_236_0,2011,Total,3,India,10,Bihar,236,Gaya,47.40000000000001,,92.90000000000001,5.100000000000001,1.7,.1,.2,91.80000000000001,.8,1.7,.1,.2
3_10_236_0,2011,Urban,3,India,10,Bihar,236,Gaya,70.90000000000001,47.6,93.40000000000001,3.3,3,.1,.1,93,.3,3,.1,.1
3_10_237_0,2011,Rural,3,India,10,Bihar,237,Nawada,32.1,,94.30000000000001,4.4,.6000000000000001,.6000000000000001,.1,93.7,.2,.6000000000000001,.6000000000000001,.1
3_10_237_0,2011,Total,3,India,10,Bihar,237,Nawada,34,,95.5,3.4,.6000000000000001,.4,.1,95,.3,.5,.4,.1
3_10_237_0,2011,Urban,3,India,10,Bihar,237,Nawada,52.6,,97.60000000000001,1.7,.5,.1,.1,97.30000000000001,.3,.5,.1,.1
3_10_238_0,2011,Rural,3,India,10,Bihar,238,Jamui,36.5,,89.10000000000001,9.700000000000001,.7000000000000001,.4,.1,88.5,2.2,.7000000000000001,.4,.1
3_10_238_0,2011,Total,3,India,10,Bihar,238,Jamui,37.9,,90.7,7.7,.7000000000000001,.8,.1,90.10000000000001,1.9,.7000000000000001,.8,.1
3_10_238_0,2011,Urban,3,India,10,Bihar,238,Jamui,54.5,,94.30000000000001,3.4,.5,1.7,.1,93.90000000000001,1.1,.5,1.7,.1
3_10_239_0,2011,Rural,3,India,10,Bihar,239,Jehanabad,47.90000000000001,,92.80000000000001,6.2,.7000000000000001,.1,.1,92.5,.9,.7000000000000001,.1,.1
3_10_239_0,2011,Total,3,India,10,Bihar,239,Jehanabad,49.8,,92.90000000000001,5.7,.8,.5,.1,92.7,1.1,.8,.5,.1
3_10_239_0,2011,Urban,3,India,10,Bihar,239,Jehanabad,63.6,37.4,93.2,4.5,.8,1.4,.1,93.10000000000001,1.8,.8,1.4,.1
