id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,asset_t,asset_slm,no_asset_t,no_asset_slm,hou_own,lan_own,lan_gini,lan_mld
3_10_239_0,2011,Total,3,India,10,Bihar,239,Jehanabad,.7000000000000001,,29.8,,97.40000000000001,96.2,70.7,1.491
3_10_239_0,2011,Urban,3,India,10,Bihar,239,Jehanabad,2.6,.4,17.8,31,73.90000000000001,61.7,84.7,2.304
3_10_240_0,2011,Rural,3,India,10,Bihar,240,Arwal,.3,,28.4,,100,87.40000000000001,60.7,2.563
3_10_240_0,2011,Total,3,India,10,Bihar,240,Arwal,.3,,27.9,,100,87.40000000000001,60.7,2.563
3_10_240_0,2011,Urban,3,India,10,Bihar,240,Arwal,.6000000000000001,,20.3,,,,,
3_11_241_0,2011,Rural,3,India,11,Sikkim,241,North  District,1,,23.5,,84.80000000000001,73,56,1.713
3_11_241_0,2011,Total,3,India,11,Sikkim,241,North  District,1.6,,21.4,,75.3,65.7,60.8,2.022
3_11_241_0,2011,Urban,3,India,11,Sikkim,241,North  District,6.100000000000001,8.800000000000001,3.3,0,6,11.8,91.40000000000001,2.51
3_11_242_0,2011,Rural,3,India,11,Sikkim,242,West District,1.3,,30.5,,90.7,88.40000000000001,37.1,.497
3_11_242_0,2011,Total,3,India,11,Sikkim,242,West District,1.6,,29.5,,88.7,86.7,38.8,.609
3_11_242_0,2011,Urban,3,India,11,Sikkim,242,West District,8.5,10.2,6.2,7.2,18,28.6,50.40000000000001,.447
3_11_243_0,2011,Rural,3,India,11,Sikkim,243,South District,1.6,,23.8,,89.80000000000001,85.80000000000001,45.2,.844
3_11_243_0,2011,Total,3,India,11,Sikkim,243,South District,2.7,,20.8,,78.30000000000001,75.7,53.5,1.475
3_11_243_0,2011,Urban,3,India,11,Sikkim,243,South District,8.6,12.5,4.4,2.7,19.7,24,88.80000000000001,2.469
3_11_244_0,2011,Rural,3,India,11,Sikkim,244,East District,1.9,,18,,81.80000000000001,79,49.6,1.003
3_11_244_0,2011,Total,3,India,11,Sikkim,244,East District,5.9,,11.3,,58.8,58.1,68.5,2.175
3_11_244_0,2011,Urban,3,India,11,Sikkim,244,East District,10.4,8.1,3.8,3.9,22.7,25.3,62.40000000000001,.761
