id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,sex_rat_t,sex_rat_04,sex_rat_b,dep_rat_t,dep_rat_ag,dep_rat_014
3_10_234_0,2011,Total,3,India,10,Bihar,234,Rohtas,91.80000000000001,93.7,88.80000000000001,70.8,7.9,62.8
3_10_234_0,2011,Urban,3,India,10,Bihar,234,Rohtas,89.90000000000001,92.40000000000001,89.90000000000001,60.5,6.800000000000001,53.6
3_10_235_0,2011,Rural,3,India,10,Bihar,235,Aurangabad,92.80000000000001,95,90.10000000000001,75,8.300000000000001,66.7
3_10_235_0,2011,Total,3,India,10,Bihar,235,Aurangabad,92.60000000000001,94.90000000000001,90,73.90000000000001,8.200000000000001,65.8
3_10_235_0,2011,Urban,3,India,10,Bihar,235,Aurangabad,90.90000000000001,93.80000000000001,89,63.8,6.7,57.1
3_10_236_0,2011,Rural,3,India,10,Bihar,236,Gaya,94.30000000000001,97.10000000000001,92.60000000000001,77.2,7.5,69.8
3_10_236_0,2011,Total,3,India,10,Bihar,236,Gaya,93.7,96.60000000000001,92.30000000000001,74.10000000000001,7.300000000000001,66.90000000000001
3_10_236_0,2011,Urban,3,India,10,Bihar,236,Gaya,90.10000000000001,92.5,89.5,56.1,6.300000000000001,49.8
3_10_237_0,2011,Rural,3,India,10,Bihar,237,Nawada,94.2,95,89.40000000000001,75.3,7.600000000000001,67.7
3_10_237_0,2011,Total,3,India,10,Bihar,237,Nawada,93.90000000000001,94.80000000000001,89.5,74.10000000000001,7.5,66.60000000000001
3_10_237_0,2011,Urban,3,India,10,Bihar,237,Nawada,90.80000000000001,93.30000000000001,90.60000000000001,63.2,6.4,56.8
3_10_238_0,2011,Rural,3,India,10,Bihar,238,Jamui,92.30000000000001,96.40000000000001,92.10000000000001,73.5,7,66.5
3_10_238_0,2011,Total,3,India,10,Bihar,238,Jamui,92.2,96.2,92.10000000000001,72.60000000000001,7,65.60000000000001
3_10_238_0,2011,Urban,3,India,10,Bihar,238,Jamui,90.5,94.30000000000001,91,62.40000000000001,6.4,55.90000000000001
3_10_239_0,2011,Rural,3,India,10,Bihar,239,Jehanabad,92.60000000000001,91.90000000000001,87.30000000000001,74.5,8.5,65.90000000000001
3_10_239_0,2011,Total,3,India,10,Bihar,239,Jehanabad,92.2,91.90000000000001,87.60000000000001,73,8.300000000000001,64.7
3_10_239_0,2011,Urban,3,India,10,Bihar,239,Jehanabad,89.30000000000001,91.7,90.30000000000001,62.8,6.7,56.1
3_10_240_0,2011,Rural,3,India,10,Bihar,240,Arwal,92.90000000000001,95,92.80000000000001,74.8,8.6,66.3
3_10_240_0,2011,Total,3,India,10,Bihar,240,Arwal,92.80000000000001,95.10000000000001,92.60000000000001,74.60000000000001,8.5,66.10000000000001
