id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,hh_wtr_t,hh_wtr_slm,hh_snt2_t,hh_snt2_slm,hh_snt_t,hh_snt_slm
3_13_267_0,2011,Urban,3,India,13,Nagaland,267,Tuensang,51,,88.30000000000001,,72,
3_13_268_0,2011,Rural,3,India,13,Nagaland,268,Longleng,9,,68.40000000000001,,29.9,
3_13_268_0,2011,Total,3,India,13,Nagaland,268,Longleng,7.7,,69.3,,36.4,
3_13_268_0,2011,Urban,3,India,13,Nagaland,268,Longleng,.1,,74.8,,74.60000000000001,
3_13_269_0,2011,Rural,3,India,13,Nagaland,269,Kiphire,65.8,,32.8,,27.5,
3_13_269_0,2011,Total,3,India,13,Nagaland,269,Kiphire,63,,44.90000000000001,,37.9,
3_13_269_0,2011,Urban,3,India,13,Nagaland,269,Kiphire,51.5,,94.80000000000001,,80.90000000000001,
3_13_270_0,2011,Rural,3,India,13,Nagaland,270,Kohima,49.3,,51.8,,43.5,
3_13_270_0,2011,Total,3,India,13,Nagaland,270,Kohima,41.5,,71.2,,65,
3_13_270_0,2011,Urban,3,India,13,Nagaland,270,Kohima,33.5,24.9,91.10000000000001,81.10000000000001,87.10000000000001,77.30000000000001
3_13_271_0,2011,Rural,3,India,13,Nagaland,271,Peren,34.8,,74,,46.90000000000001,
3_13_271_0,2011,Total,3,India,13,Nagaland,271,Peren,33,,76.80000000000001,,49.3,
3_13_271_0,2011,Urban,3,India,13,Nagaland,271,Peren,23.2,,92.80000000000001,,63.1,
3_14_272_0,2011,Rural,3,India,14,Manipur,272,Senapati,46.2,,84.10000000000001,,51.90000000000001,
3_14_272_0,2011,Total,3,India,14,Manipur,272,Senapati,45.8,,84.5,,52.90000000000001,
3_14_272_0,2011,Urban,3,India,14,Manipur,272,Senapati,37.4,,91.40000000000001,,74.90000000000001,
3_14_273_0,2011,Rural,3,India,14,Manipur,273,Tamenglong,30.7,,64.40000000000001,,38,
3_14_273_0,2011,Total,3,India,14,Manipur,273,Tamenglong,30.6,,68.5,,42.7,
3_14_273_0,2011,Urban,3,India,14,Manipur,273,Tamenglong,29.8,,93.90000000000001,,72.2,
3_14_274_0,2011,Rural,3,India,14,Manipur,274,Churachandpur,31.7,,79,,59,
3_14_274_0,2011,Total,3,India,14,Manipur,274,Churachandpur,30.2,,80.30000000000001,,60.8,
3_14_274_0,2011,Urban,3,India,14,Manipur,274,Churachandpur,8.4,,97.90000000000001,,87.2,
3_14_275_0,2011,Rural,3,India,14,Manipur,275,Bishnupur,20.6,,76.5,,59,
3_14_275_0,2011,Total,3,India,14,Manipur,275,Bishnupur,29.9,,79.2,,60.7,
3_14_275_0,2011,Urban,3,India,14,Manipur,275,Bishnupur,45.6,,83.60000000000001,,63.40000000000001,
3_14_276_0,2011,Rural,3,India,14,Manipur,276,Thoubal,12.9,,77.5,,57.1,
3_14_276_0,2011,Total,3,India,14,Manipur,276,Thoubal,15.3,,77,,59.40000000000001,
3_14_276_0,2011,Urban,3,India,14,Manipur,276,Thoubal,19.5,,76,,63.5,
3_14_277_0,2011,Rural,3,India,14,Manipur,277,Imphal West,22.7,,80.40000000000001,,60.5,
3_14_277_0,2011,Total,3,India,14,Manipur,277,Imphal West,46,,86.30000000000001,,74.7,
3_14_277_0,2011,Urban,3,India,14,Manipur,277,Imphal West,59.8,,89.90000000000001,,83.10000000000001,
3_14_278_0,2011,Rural,3,India,14,Manipur,278,Imphal East,18.1,,81.90000000000001,,57.2,
3_14_278_0,2011,Total,3,India,14,Manipur,278,Imphal East,31.6,,84.60000000000001,,67.3,
3_14_278_0,2011,Urban,3,India,14,Manipur,278,Imphal East,50.90000000000001,,88.5,,81.7,
3_14_279_0,2011,Rural,3,India,14,Manipur,279,Ukhrul,42.3,,79,,55,
