id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,lp_inf_man_t,lp_inf_man_1,lp_inf_man_2,lp_inf_man_3,lp_inf_man_4,lp_inf_man_5,lp_inf_man_6,lp_inf_man_7,lp_inf_man_8,lp_inf_man_9,lp_inf_man_10,lp_inf_man_11,lp_inf_man_12,lp_inf_man_13,kl_inf_man_t,kl_inf_man_1,kl_inf_man_2,kl_inf_man_3,kl_inf_man_4,kl_inf_man_5,kl_inf_man_6,kl_inf_man_7,kl_inf_man_8,kl_inf_man_9,kl_inf_man_10,kl_inf_man_11,kl_inf_man_12,kl_inf_man_13
3_10_235_0,2011,Total,3,India,10,Bihar,235,Aurangabad,290,313.5,489.8,135.2,385.7000000000001,,,114.6,259.1,,,,,384.6,1229.2,2789.8,767,908.9000000000001,1585.6,,,420.8,855,,,,,1077.4
3_10_235_0,2011,Urban,3,India,10,Bihar,235,Aurangabad,147,411.4,107.6,135.7,385.7000000000001,,,128.6,,,,,,115.7,871.7000000000001,1928.4,783.9000000000001,728.9000000000001,1585.6,,,332.1,,,,,,1719.5
3_10_236_0,2011,Rural,3,India,10,Bihar,236,Gaya,115.9,95.90000000000001,91,,,,77,34.2,324.1,,,,,133.9,1022.3,1246.2,1140.1,,,,402.9,539.8000000000001,1732.7,,,,,516.2000000000001
3_10_236_0,2011,Total,3,India,10,Bihar,236,Gaya,206.8,110.7,174.1,482.1,,,77,34.2,351.9,,,,,343.6,1302.4,1383.7,1366.5,36318.5,,,402.9,539.8000000000001,2447.4,,,,,1033.1
3_10_236_0,2011,Urban,3,India,10,Bihar,236,Gaya,523.8000000000001,333,340.3,482.1,,,,,542.8000000000001,,,,,610.2000000000001,2278.4,3438.1,1818.8,36318.5,,,,,7356.5,,,,,1690
3_10_237_0,2011,Rural,3,India,10,Bihar,237,Nawada,168.5,217.5,118.7,,,,114.3,74.3,237.1,,,,,196.5,1084,2099.9,738.5,,,,2082,654.2000000000001,671.8000000000001,,,,,792.9000000000001
3_10_237_0,2011,Total,3,India,10,Bihar,237,Nawada,170,218,125.6,,,,114.3,74.3,237.1,,,,,196.7,1246.1,2165.6,1310.6,,,,2082,654.2000000000001,671.8000000000001,,,,,842.9000000000001
3_10_237_0,2011,Urban,3,India,10,Bihar,237,Nawada,178.5,218.8,134.1,,,,,,,,,,,200.9,2120.2,2273.4,2020.7,,,,,,,,,,,1928.4
3_10_238_0,2011,Rural,3,India,10,Bihar,238,Jamui,79.10000000000001,100.5,79,83.90000000000001,,,,41.90000000000001,,,,,,134.5,537.2000000000001,470.2000000000001,775.4000000000001,432.3,,,,448.7000000000001,,,,,,1147.8
3_10_238_0,2011,Total,3,India,10,Bihar,238,Jamui,93.90000000000001,97.40000000000001,74.5,83.80000000000001,,,,41.90000000000001,137.1,,,,,255.9,554.1,474.8,763.4000000000001,435.7000000000001,,,,448.7000000000001,592.8000000000001,,,,,1182.9
