id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,est_sh_6,est_sh_7,est_sh_8,est_sh_9,est_sh_11,own_fen,own_men,size
3_13_269_0,2011,Rural,3,India,13,Nagaland,269,Kiphire,43.40000000000001,30,11.3,,15.2,11,89,2
3_13_269_0,2011,Total,3,India,13,Nagaland,269,Kiphire,43.40000000000001,30,11.3,,15.2,11,89,2
3_13_269_0,2011,Urban,3,India,13,Nagaland,269,Kiphire,,,,,,,,
3_13_270_0,2011,Rural,3,India,13,Nagaland,270,Kohima,75.10000000000001,9.700000000000001,6.2,3.4,5.600000000000001,34,66,2
3_13_270_0,2011,Total,3,India,13,Nagaland,270,Kohima,74.60000000000001,9.200000000000001,3.3,5.300000000000001,7.600000000000001,37,63,2
3_13_270_0,2011,Urban,3,India,13,Nagaland,270,Kohima,74.10000000000001,8.6,,7.5,9.800000000000001,41,59,2
3_13_271_0,2011,Rural,3,India,13,Nagaland,271,Peren,67.10000000000001,12.9,5.100000000000001,,14.9,42,58,2
3_13_271_0,2011,Total,3,India,13,Nagaland,271,Peren,67.10000000000001,12.9,5.100000000000001,,14.9,42,58,2
3_13_271_0,2011,Urban,3,India,13,Nagaland,271,Peren,,,,,,,,
3_14_272_0,2011,Rural,3,India,14,Manipur,272,Senapati,94.90000000000001,2,,.2,3,64,36,2
3_14_272_0,2011,Total,3,India,14,Manipur,272,Senapati,94.90000000000001,2,,.2,3,64,36,2
3_14_272_0,2011,Urban,3,India,14,Manipur,272,Senapati,,,,,,,,
3_14_273_0,2011,Rural,3,India,14,Manipur,273,Tamenglong,72.40000000000001,3.1,,.1,24.4,69,31,1
3_14_273_0,2011,Total,3,India,14,Manipur,273,Tamenglong,72.40000000000001,3.1,,.1,24.4,69,31,1
3_14_273_0,2011,Urban,3,India,14,Manipur,273,Tamenglong,,,,,,,,
