id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,road_lng_t,road_lng_h,road_lng_r,road_lng_o,road_int_t,road_int_h,road_int_r,road_int_o,station_nmb_t,station_nmb_r,station_nmb_m,station_den_t,station_den_r,station_den_m
3_10_231_0,2011,Urban,3,India,10,Bihar,231,Bhojpur,74.10000000000001,63.3,10.9,0,937,800,138,0,3,3,0,37.93,37.93,0
3_10_232_0,2011,Rural,3,India,10,Bihar,232,Buxar,226,163,63.5,0,135,97.30000000000001,37.9,0,3,3,0,1.79,1.79,0
3_10_232_0,2011,Total,3,India,10,Bihar,232,Buxar,247,176,70.8,0,145,103,41.6,0,3,3,0,1.76,1.76,0
3_10_232_0,2011,Urban,3,India,10,Bihar,232,Buxar,20.5,13.2,7.300000000000001,0,739,477,262,0,0,0,0,0,0,0
3_10_233_0,2011,Rural,3,India,10,Bihar,233,Kaimur (Bhabua),246,200,45.6,0,74,60.3,13.7,0,4,4,0,1.2,1.2,0
3_10_233_0,2011,Total,3,India,10,Bihar,233,Kaimur (Bhabua),260,213,46.90000000000001,0,77.90000000000001,63.8,14,0,4,4,0,1.2,1.2,0
3_10_233_0,2011,Urban,3,India,10,Bihar,233,Kaimur (Bhabua),13.9,12.6,1.3,0,1059,963,96.7,0,0,0,0,0,0,0
3_10_234_0,2011,Rural,3,India,10,Bihar,234,Rohtas,557,508,49,.2,148,135,13,0,2,2,0,.53,.53,0
3_10_234_0,2011,Total,3,India,10,Bihar,234,Rohtas,624,563,61.40000000000001,.2,162,146,15.9,0,5,5,0,1.29,1.29,0
3_10_234_0,2011,Urban,3,India,10,Bihar,234,Rohtas,66.90000000000001,54.5,12.4,0,770,627,143,0,3,3,0,34.5,34.5,0
3_10_235_0,2011,Rural,3,India,10,Bihar,235,Aurangabad,405,380,25.2,0,124,116,7.7,0,9,9,0,2.75,2.75,0
3_10_235_0,2011,Total,3,India,10,Bihar,235,Aurangabad,463,431,32.4,0,139,129,9.700000000000001,0,10,10,0,3.01,3.01,0
3_10_235_0,2011,Urban,3,India,10,Bihar,235,Aurangabad,57.5,50.3,7.2,0,976,855,122,0,1,1,0,16.99,16.99,0
3_10_236_0,2011,Rural,3,India,10,Bihar,236,Gaya,674,628,29.5,16.2,137,128,6,3.3,20,20,0,4.08,4.08,0
3_10_236_0,2011,Total,3,India,10,Bihar,236,Gaya,768,701,50.1,17.1,154,141,10.1,3.4,22,22,0,4.41,4.41,0
3_10_236_0,2011,Urban,3,India,10,Bihar,236,Gaya,94.80000000000001,73.3,20.6,1,1111,859,241,11.1,2,2,0,23.44,23.44,0
3_10_237_0,2011,Rural,3,India,10,Bihar,237,Nawada,358,282,76.3,0,146,115,31.1,0,4,4,0,1.63,1.63,0
3_10_237_0,2011,Total,3,India,10,Bihar,237,Nawada,388,312,76.3,0,155,125,30.5,0,6,6,0,2.4,2.4,0
3_10_237_0,2011,Urban,3,India,10,Bihar,237,Nawada,30.3,30.3,0,0,622,622,0,0,2,2,0,41.06,41.06,0
3_10_238_0,2011,Rural,3,India,10,Bihar,238,Jamui,364,304,60.7,0,121,101,20.2,0,2,2,0,.67,.67,0
3_10_238_0,2011,Total,3,India,10,Bihar,238,Jamui,385,318,67.3,0,126,104,22,0,3,3,0,.98,.98,0
3_10_238_0,2011,Urban,3,India,10,Bihar,238,Jamui,21,14.4,6.600000000000001,0,438,300,138,0,1,1,0,20.82,20.82,0
3_10_239_0,2011,Rural,3,India,10,Bihar,239,Jehanabad,132,124,8.200000000000001,0,151,142,9.4,0,2,2,0,2.29,2.29,0
3_10_239_0,2011,Total,3,India,10,Bihar,239,Jehanabad,151,143,8.200000000000001,0,165,156,8.9,0,5,5,0,5.46,5.46,0
3_10_239_0,2011,Urban,3,India,10,Bihar,239,Jehanabad,19.3,19.3,0,0,447,447,0,0,3,3,0,69.35000000000001,69.35000000000001,0
3_10_240_0,2011,Rural,3,India,10,Bihar,240,Arwal,114,93.40000000000001,20.3,0,189,155,33.8,0,0,0,0,0,0,0
3_10_240_0,2011,Total,3,India,10,Bihar,240,Arwal,125,104,20.3,0,199,166,32.5,0,0,0,0,0,0,0
3_10_240_0,2011,Urban,3,India,10,Bihar,240,Arwal,10.8,10.8,0,0,423,423,0,0,0,0,0,0,0,0
3_11_241_0,2011,Rural,3,India,11,Sikkim,241,North  District,163,85.10000000000001,66.8,11.2,38.7,20.2,15.9,2.7,0,0,0,0,0,0
3_11_241_0,2011,Total,3,India,11,Sikkim,241,North  District,165,86.5,66.8,11.2,39.1,20.5,15.9,2.7,0,0,0,0,0,0
3_11_241_0,2011,Urban,3,India,11,Sikkim,241,North  District,1.3,1.3,0,0,1955,1955,0,0,0,0,0,0,0,0
3_11_242_0,2011,Rural,3,India,11,Sikkim,242,West District,173,86.30000000000001,86.40000000000001,0,147,73.60000000000001,73.7,0,0,0,0,0,0,0
3_11_242_0,2011,Total,3,India,11,Sikkim,242,West District,177,91,86.40000000000001,0,151,77.5,73.60000000000001,0,0,0,0,0,0,0
3_11_242_0,2011,Urban,3,India,11,Sikkim,242,West District,4.7,4.7,0,0,2236,2236,0,0,0,0,0,0,0,0
3_11_243_0,2011,Rural,3,India,11,Sikkim,243,South District,237,202,35.3,0,335,285,49.8,0,0,0,0,0,0,0
3_11_243_0,2011,Total,3,India,11,Sikkim,243,South District,240,204,36,0,338,287,50.8,0,0,0,0,0,0,0
