distt_id55,spatialId,state,district
1323,3_23_439_0,Madhya Pradesh,Indore
1333,3_23_451_0,Madhya Pradesh,Jabalpur
1321,3_23_464_0,Madhya Pradesh,Jhabua
1335,3_23_454_0,Madhya Pradesh,Mandla
1316,3_23_433_0,Madhya Pradesh,Mandsaur
1301,3_23_419_0,Madhya Pradesh,Morena
1334,3_23_452_0,Madhya Pradesh,Narsimhapur
1309,3_23_426_0,Madhya Pradesh,Panna
1341,3_22_403_0,Madhya Pradesh,Raigarh
1344,3_22_410_0,Madhya Pradesh,Raipur
1330,3_23_446_0,Madhya Pradesh,Raisen
1326,3_23_442_0,Madhya Pradesh,Rajgarh
1342,3_22_408_0,Madhya Pradesh,Rajnandgaon
1317,3_23_434_0,Madhya Pradesh,Ratlam
1313,3_23_430_0,Madhya Pradesh,Rewa
1310,3_23_427_0,Madhya Pradesh,Sagar
1312,3_23_429_0,Madhya Pradesh,Satna
1329,3_23_445_0,Madhya Pradesh,Sehore
1337,3_23_456_0,Madhya Pradesh,Seoni
1314,3_23_460_0,Madhya Pradesh,Shadol
1319,3_23_436_0,Madhya Pradesh,Shajapur
1305,3_23_423_0,Madhya Pradesh,Shivpuri
1315,3_23_462_0,Madhya Pradesh,Sidhi
1339,3_22_401_0,Madhya Pradesh,Surguja
1307,3_23_424_0,Madhya Pradesh,Tikamgarh
1318,3_23_435_0,Madhya Pradesh,Ujjain
1327,3_23_443_0,Madhya Pradesh,Vidisha
1324,3_23_440_0,Madhya Pradesh,West Nimar
1409,3_27_522_0,Maharashtra,Ahmadnagar
1423,3_27_501_0,Maharashtra,Akola
1424,3_27_503_0,Maharashtra,Amravati
1415,3_27_515_0,Maharashtra,Aurangabad
1428,3_27_506_0,Maharashtra,Bhandara
1418,3_27_523_0,Maharashtra,Bid
1422,3_27_500_0,Maharashtra,Buldana
1429,3_27_509_0,Maharashtra,Chandrapur
1407,3_27_498_0,Maharashtra,Dhule
1430,3_27_508_0,Maharashtra,Gadchiroli
1401,3_27_519_0,Maharashtra,Greater Bombay
1408,3_27_499_0,Maharashtra,Jalgaon
1416,3_27_514_0,Maharashtra,Jalna
1414,3_27_530_0,Maharashtra,Kolhapur
1421,3_27_524_0,Maharashtra,Latur
1427,3_27_505_0,Maharashtra,Nagpur
1419,3_27_511_0,Maharashtra,Nanded
1406,3_27_516_0,Maharashtra,Nasik
1420,3_27_525_0,Maharashtra,Osmanabad
1417,3_27_513_0,Maharashtra,Parbhani
1410,3_27_521_0,Maharashtra,Pune
1403,3_27_520_0,Maharashtra,Raigarh
1404,3_27_528_0,Maharashtra,Ratnagiri
1412,3_27_531_0,Maharashtra,Sangli
1411,3_27_527_0,Maharashtra,Satara
1405,3_27_529_0,Maharashtra,Sindhudurg
1413,3_27_526_0,Maharashtra,Solapur
1402,3_27_517_0,Maharashtra,Thane
1426,3_27_504_0,Maharashtra,Wardha
1425,3_27_510_0,Maharashtra,Yavatmal
1506,3_14_275_0,Manipur,Bishnupur
1504,3_14_280_0,Manipur,Chandel
1503,3_14_274_0,Manipur,Churachandpur
1507,3_14_278_0,Manipur,Imphal
1501,3_14_272_0,Manipur,Senapati
1502,3_14_273_0,Manipur,Tamenglong
1505,3_14_276_0,Manipur,Thoubal
1508,3_14_279_0,Manipur,Ukhrul
1607,3_17_295_0,Meghalaya,Baghmara
1604,3_17_294_0,Meghalaya,East Garo Hills
1602,3_17_298_0,Meghalaya,East Khasi Hills
1601,3_17_299_0,Meghalaya,Jaintia Hills
1606,3_17_297_0,Meghalaya,Ri Bhoi
1605,3_17_293_0,Meghalaya,West Garo Hills
1603,3_17_296_0,Meghalaya,West Khasi Hills
1701,3_15_283_0,Mizoram,Aizwal
1703,3_15_288_0,Mizoram,Chhimtuipui
1702,3_15_286_0,Mizoram,Lunglei
1801,3_13_270_0,Nagaland,Kohima
1805,3_13_262_0,Nagaland,Mokokchung
1807,3_13_261_0,Nagaland,Mon
1802,3_13_266_0,Nagaland,Phek
1806,3_13_267_0,Nagaland,Tuensang
1804,3_13_264_0,Nagaland,Wokha
1803,3_13_263_0,Nagaland,Zunheboto
1930,3_21_384_0,Orissa,Angul
1905,3_21_377_0,Orissa,Baleshwar
1928,3_21_370_0,Orissa,Bargarh
1914,3_21_378_0,Orissa,Bhadrak
1909,3_21_393_0,Orissa,Bolangir
1921,3_21_391_0,Orissa,Boudh
1906,3_21_381_0,Orissa,Cuttack
1927,3_21_373_0,Orissa,Debagarh
1907,3_21_383_0,Orissa,Dhenkanal
1920,3_21_389_0,Orissa,Gajapati
1912,3_21_388_0,Orissa,Ganjam
1915,3_21_380_0,Orissa,Jagatsinghapur
1916,3_21_382_0,Orissa,Jajpur
1926,3_21_371_0,Orissa,Jharsuguda
1910,3_21_395_0,Orissa,Kalahandi
1917,3_21_379_0,Orissa,Kendrapara
1903,3_21_375_0,Orissa,Keonjhar
1919,3_21_386_0,Orissa,Khurda
1911,3_21_398_0,Orissa,Koraput
1923,3_21_399_0,Orissa,Malkangiri
1904,3_21_376_0,Orissa,Mayurbhanj
1924,3_21_397_0,Orissa,Nabarangapur
1918,3_21_385_0,Orissa,Nayagarh
1922,3_21_394_0,Orissa,Nuapada
1908,3_21_390_0,Orissa,Phulbani
1913,3_21_387_0,Orissa,Puri
1925,3_21_396_0,Orissa,Rayagada
1901,3_21_372_0,Orissa,Sambalpur
1929,3_21_392_0,Orissa,Sonapur
1902,3_21_374_0,Orissa,Sundargarh
3302,3_34_637_0,Pondicherry,Karaikal
3303,3_34_636_0,Pondicherry,Mahe
3301,3_34_635_0,Pondicherry,Pondicherry
3304,3_34_634_0,Pondicherry,Yanam
2002,3_3_49_0,Punjab,Amritsar
2011,3_3_46_0,Punjab,Bathinda
2012,3_3_45_0,Punjab,Faridkot
2013,3_3_40_0,Punjab,Fatehgarh Sahib
2003,3_3_43_0,Punjab,Firozpur
2001,3_3_35_0,Punjab,Gurdaspur
2007,3_3_38_0,Punjab,Hoshiarpur
2005,3_3_37_0,Punjab,Jalandhar
2006,3_3_36_0,Punjab,Kapurthala
2004,3_3_41_0,Punjab,Ludhiana
2014,3_3_47_0,Punjab,Mansa
2009,3_3_48_0,Punjab,Patiala
2008,3_3_51_0,Punjab,Rupnagar
2010,3_3_53_0,Punjab,Sangrur
2111,3_8_119_0,Rajasthan,Ajmer
2105,3_8_104_0,Rajasthan,Alwar
2124,3_8_125_0,Rajasthan,Banswara
2129,3_8_128_0,Rajasthan,Baran
2117,3_8_115_0,Rajasthan,Barmer
2106,3_8_105_0,Rajasthan,Bharatpur
2120,3_8_122_0,Rajasthan,Bhilwara
2102,3_8_101_0,Rajasthan,Bikaner
2125,3_8_121_0,Rajasthan,Bundi
