spatialId,distt_id55,spatialState,spatialDistrict,state,district,finalId
3_10_231_0,503,Bihar,Bhojpur,Bihar,Bhojpur,3_10_231_0
3_10_232_0,543,Bihar,Buxar,Bihar,Buxar,3_10_232_0
3_10_215_0,519,Bihar,Darbhanga,Bihar,Darbhanga,3_10_215_0
3_10_236_0,507,Bihar,Gaya,Bihar,Gaya,3_10_236_0
3_10_217_0,511,Bihar,Gopalganj,Bihar,Gopalganj,3_10_217_0
3_10_238_0,546,Bihar,Jamui,Bihar,Jamui,3_10_238_0
3_10_239_0,506,Bihar,Jehanabad,Bihar,Jehanabad,3_10_239_0
3_10_233_0,544,Bihar,Kaimur (Bhabua),Bihar,Kaimur (Bhabua),3_10_233_0
3_10_212_0,524,Bihar,Katihar,Bihar,Katihar,3_10_212_0
3_10_223_0,525,Bihar,Khagaria,Bihar,Khagaria,3_10_223_0
3_10_210_0,542,Bihar,Kishanganj,Bihar,Kishanganj,3_10_210_0
3_10_227_0,NA,Bihar,Lakhisarai,NA,NA,NA
3_10_213_0,522,Bihar,Madhepura,Bihar,Madhepura,3_10_213_0
3_10_207_0,520,Bihar,Madhubani,Bihar,Madhubani,3_10_207_0
3_10_226_0,526,Bihar,Munger,Bihar,Munger,3_10_226_0
3_10_216_0,515,Bihar,Muzaffarpur,Bihar,Muzaffarpur,3_10_216_0
3_10_229_0,502,Bihar,Nalanda,Bihar,Nalanda,3_10_229_0
3_10_237_0,508,Bihar,Nawada,Bihar,Nawada,3_10_237_0
3_10_203_0,512,Bihar,Pashchim Champaran,Bihar,West Champaran,3_10_203_0
3_10_230_0,501,Bihar,Patna,Bihar,Patna,3_10_230_0
3_10_204_0,513,Bihar,Purba Champaran,Bihar,East Champaran,3_10_204_0
3_10_211_0,523,Bihar,Purnia,Bihar,Purnea,3_10_211_0
3_10_234_0,504,Bihar,Rohtas,Bihar,Rohtas,3_10_234_0
3_10_214_0,521,Bihar,Saharsa,Bihar,Saharsa,3_10_214_0
3_10_221_0,518,Bihar,Samastipur,Bihar,Samastipur,3_10_221_0
3_10_219_0,509,Bihar,Saran,Bihar,Saran,3_10_219_0
3_10_228_0,NA,Bihar,Sheikhpura,NA,NA,NA
3_10_205_0,NA,Bihar,Sheohar,NA,NA,NA
3_10_206_0,514,Bihar,Sitamarhi,Bihar,Sitamarhi,3_10_206_0
3_10_218_0,510,Bihar,Siwan,Bihar,Siwan,3_10_218_0
3_10_208_0,545,Bihar,Supaul,Bihar,Supaul,3_10_208_0
3_10_220_0,516,Bihar,Vaishali,Bihar,Vaishali,3_10_220_0
3_4_55_0,2801,Chandigarh,Chandigarh,Chandigarh,Chandigarh,3_4_55_0
3_22_414_0,1345,Chhattisgarh,Bastar,Madhya Pradesh,Bastar,3_22_414_0
3_22_417_0,NA,Chhattisgarh,Bijapur,NA,NA,NA
3_22_406_0,1340,Chhattisgarh,Bilaspur,Madhya Pradesh,Bilaspur,3_22_406_0
3_22_416_0,NA,Chhattisgarh,Dakshin Bastar Dantewada,NA,NA,NA
3_22_412_0,NA,Chhattisgarh,Dhamtari,NA,NA,NA
3_22_409_0,1343,Chhattisgarh,Durg,Madhya Pradesh,Durg,3_22_409_0
3_22_405_0,NA,Chhattisgarh,Janjgir - Champa,NA,NA,NA
3_22_402_0,NA,Chhattisgarh,Jashpur,NA,NA,NA
3_22_407_0,NA,Chhattisgarh,Kabeerdham,NA,NA,NA
3_22_404_0,NA,Chhattisgarh,Korba,NA,NA,NA
3_22_400_0,NA,Chhattisgarh,Koriya,NA,NA,NA
3_22_411_0,NA,Chhattisgarh,Mahasamund,NA,NA,NA
3_22_415_0,NA,Chhattisgarh,Narayanpur,NA,NA,NA
3_22_403_0,1341,Chhattisgarh,Raigarh,Madhya Pradesh,Raigarh,3_22_403_0
3_22_410_0,1344,Chhattisgarh,Raipur,Madhya Pradesh,Raipur,3_22_410_0
3_22_408_0,1342,Chhattisgarh,Rajnandgaon,Madhya Pradesh,Rajnandgaon,3_22_408_0
3_22_401_0,1339,Chhattisgarh,Surguja,Madhya Pradesh,Surguja,3_22_401_0
3_22_413_0,NA,Chhattisgarh,Uttar Bastar Kanker,NA,NA,NA
3_26_496_0,2901,Dadra & Nagar Haveli,Dadra & Nagar Haveli,Dadra & Nagar Haveli,Dadra & Nagar Haveli,3_26_496_0
3_25_495_0,3001,Daman & Diu,Daman,Daman & Diu,Daman,3_25_495_0
3_25_494_0,3002,Daman & Diu,Diu,Daman & Diu,Diu,3_25_494_0
3_30_585_0,601,Goa,North Goa,Goa,North Goa,3_30_585_0
3_30_586_0,602,Goa,South Goa,Goa,South Goa,3_30_586_0
3_24_474_0,712,Gujarat,Ahmadabad,Gujarat,Ahmedabad,3_24_474_0
3_24_480_0,705,Gujarat,Amreli,Gujarat,Amreli,3_24_480_0
3_24_482_0,NA,Gujarat,Anand,NA,NA,NA
3_24_469_0,708,Gujarat,Banas Kantha,Gujarat,Banas kantha,3_24_469_0
3_24_488_0,716,Gujarat,Bharuch,Gujarat,Bharuch,3_24_488_0
3_24_481_0,704,Gujarat,Bhavnagar,Gujarat,Bhavnagar,3_24_481_0
3_24_485_0,NA,Gujarat,Dohad,NA,NA,NA
3_24_473_0,711,Gujarat,Gandhinagar,Gujarat,Gandhinagar,3_24_473_0
3_24_477_0,701,Gujarat,Jamnagar,Gujarat,Jamnagar,3_24_477_0
3_24_479_0,706,Gujarat,Junagadh,Gujarat,Junagadh,3_24_479_0
3_24_468_0,707,Gujarat,Kachchh,Gujarat,Kachchh,3_24_468_0
3_24_483_0,713,Gujarat,Kheda,Gujarat,Kheda,3_24_483_0
3_24_471_0,710,Gujarat,Mahesana,Gujarat,Mahesana,3_24_471_0
3_24_487_0,NA,Gujarat,Narmada,NA,NA,NA
3_24_490_0,NA,Gujarat,Navsari,NA,NA,NA
3_24_484_0,714,Gujarat,Panch Mahals,Gujarat,Panch Mahals,3_24_484_0
3_24_470_0,NA,Gujarat,Patan,NA,NA,NA
3_24_478_0,NA,Gujarat,Porbandar,NA,NA,NA
3_24_476_0,702,Gujarat,Rajkot,Gujarat,Rajkot,3_24_476_0
3_24_472_0,709,Gujarat,Sabar Kantha,Gujarat,Sabar Kantha,3_24_472_0
3_24_492_0,717,Gujarat,Surat,Gujarat,Surat,3_24_492_0
3_24_475_0,703,Gujarat,Surendranagar,Gujarat,Surendranagar,3_24_475_0
3_24_493_0,NA,Gujarat,Tapi,NA,NA,NA
3_24_489_0,719,Gujarat,The Dangs,Gujarat,The Dangs,3_24_489_0
3_24_486_0,715,Gujarat,Vadodara,Gujarat,Vadodara,3_24_486_0
3_24_491_0,718,Gujarat,Valsad,Gujarat,Valsad,3_24_491_0
3_6_70_0,801,Haryana,Ambala,Haryana,Ambala,3_6_70_0
3_6_81_0,813,Haryana,Bhiwani,Haryana,Bhiwani,3_6_81_0
3_6_88_0,809,Haryana,Faridabad,Haryana,Faridabad,3_6_88_0
3_6_78_0,NA,Haryana,Fatehabad,NA,NA,NA
3_6_86_0,810,Haryana,Gurgaon,Haryana,Gurgaon,3_6_86_0
3_6_80_0,815,Haryana,Hisar,Haryana,Hisar,3_6_80_0
3_6_83_0,NA,Haryana,Jhajjar,NA,NA,NA
3_6_77_0,814,Haryana,Jind,Haryana,Jind,3_6_77_0
3_6_73_0,804,Haryana,Kaithal,Haryana,Kaithal,3_6_73_0
3_6_74_0,805,Haryana,Karnal,Haryana,Karnal,3_6_74_0
3_6_72_0,803,Haryana,Kurukshetra,Haryana,Kurukshetra,3_6_72_0
3_6_84_0,812,Haryana,Mahendragarh,Haryana,Mahendragarh,3_6_84_0
3_6_87_0,NA,Haryana,Mewat,NA,NA,NA
3_6_89_0,NA,Haryana,Palwal,NA,NA,NA
3_6_69_0,NA,Haryana,Panchkula,NA,NA,NA
3_6_75_0,806,Haryana,Panipat,Haryana,Panipat,3_6_75_0
3_6_85_0,811,Haryana,Rewari,Haryana,Rewari,3_6_85_0
3_6_82_0,808,Haryana,Rohtak,Haryana,Rohtak,3_6_82_0
3_6_79_0,816,Haryana,Sirsa,Haryana,Sirsa,3_6_79_0
3_6_76_0,807,Haryana,Sonipat,Haryana,Sonipat,3_6_76_0
3_6_71_0,802,Haryana,Yamunanagar,Haryana,Yamunanagar,3_6_71_0
3_2_30_0,905,Himachal Pradesh,Bilaspur,Himachal Pradesh,Bilaspur,3_2_30_0
3_2_23_0,901,Himachal Pradesh,Chamba,Himachal Pradesh,Chamba,3_2_23_0
3_2_28_0,903,Himachal Pradesh,Hamirpur,Himachal Pradesh,Hamirpur,3_2_28_0
3_2_24_0,902,Himachal Pradesh,Kangra,Himachal Pradesh,Kangra,3_2_24_0
3_2_34_0,912,Himachal Pradesh,Kinnaur,Himachal Pradesh,Kinnaur,3_2_34_0
3_2_26_0,907,Himachal Pradesh,Kullu,Himachal Pradesh,Kullu,3_2_26_0
3_2_25_0,908,Himachal Pradesh,Lahul & Spiti,Himachal Pradesh,Lahul & Spiti,3_2_25_0
3_2_27_0,906,Himachal Pradesh,Mandi,Himachal Pradesh,Mandi,3_2_27_0
3_2_33_0,909,Himachal Pradesh,Shimla,Himachal Pradesh,Shimla,3_2_33_0
3_2_32_0,911,Himachal Pradesh,Sirmaur,Himachal Pradesh,Sirmaur,3_2_32_0
3_2_31_0,910,Himachal Pradesh,Solan,Himachal Pradesh,Solan,3_2_31_0
3_2_29_0,904,Himachal Pradesh,Una,Himachal Pradesh,Una,3_2_29_0
3_12_260_1,NA,India/China  1,Anjaw,NA,NA,NA
3_12_257_1,NA,India/China  1,Dibang Valley,NA,NA,NA
3_12_247_1,303,India/China  1,East Kameng,Arunachal Pradesh,East Kameng,3_12_247_1
3_12_251_1,NA,India/China  1,East Siang,NA,NA,NA
3_12_256_1,NA,India/China  1,Kurung Kumey,NA,NA,NA
3_12_259_1,NA,India/China  1,Lohit,NA,NA,NA
3_12_258_1,NA,India/China  1,Lower Dibang Valley,NA,NA,NA
3_12_255_1,304,India/China  1,Lower Subansiri,Arunachal Pradesh,Lower Subansiri,3_12_255_1
3_12_248_1,NA,India/China  1,Papum Pare,NA,NA,NA
3_12_245_1,301,India/China  1,Tawang,Arunachal Pradesh,Tawang,3_12_245_1
3_12_252_1,NA,India/China  1,Upper Siang,NA,NA,NA
3_12_249_1,305,India/China  1,Upper Subansiri,Arunachal Pradesh,Upper Subansiri,3_12_249_1
3_12_246_1,302,India/China  1,West Kameng,Arunachal Pradesh,West Kameng,3_12_246_1
3_12_250_1,NA,India/China  1,West Siang,NA,NA,NA
3_1_3_1,NA,India/China  2,Leh(Ladakh),NA,NA,NA
3_1_14_0,1001,Jammu and Kashmir,Anantnag,Jammu  & Kashmir,Anantnag,3_1_14_0
3_1_2_0,1004,Jammu and Kashmir,Badgam,Jammu  & Kashmir,Badgam,3_1_2_0
3_1_9_0,NA,Jammu and Kashmir,Bandipore,NA,NA,NA
3_1_8_0,1005,Jammu and Kashmir,Baramula,Jammu  & Kashmir,Baramula,3_1_8_0
3_1_16_0,1009,Jammu and Kashmir,Doda,Jammu  & Kashmir,Doda,3_1_16_0
3_1_11_0,NA,Jammu and Kashmir,Ganderbal,NA,NA,NA
3_1_21_0,1012,Jammu and Kashmir,Jammu,Jammu  & Kashmir,Jammu,3_1_21_0
3_1_4_0,1007,Jammu and Kashmir,Kargil,Jammu  & Kashmir,Kargil,3_1_4_0
3_1_7_0,1011,Jammu and Kashmir,Kathua,Jammu  & Kashmir,Kathua,3_1_7_0
3_1_18_0,NA,Jammu and Kashmir,Kishtwar,NA,NA,NA
3_1_15_0,NA,Jammu and Kashmir,Kulgam,NA,NA,NA
3_1_1_0,1006,Jammu and Kashmir,Kupwara,Jammu  & Kashmir,Kupwara,3_1_1_0
3_1_3_0,1008,Jammu and Kashmir,Leh(Ladakh),Jammu  & Kashmir,Leh (Ladakh),3_1_3_0
3_1_12_0,1002,Jammu and Kashmir,Pulwama,Jammu  & Kashmir,Pulwama,3_1_12_0
3_1_5_0,1014,Jammu and Kashmir,Punch,Jammu  & Kashmir,Punch,3_1_5_0
3_1_6_0,1013,Jammu and Kashmir,Rajouri,Jammu  & Kashmir,Rajouri,3_1_6_0
3_1_17_0,NA,Jammu and Kashmir,Ramban,NA,NA,NA
3_1_20_0,NA,Jammu and Kashmir,Reasi,NA,NA,NA
3_1_22_0,NA,Jammu and Kashmir,Samba,NA,NA,NA
3_1_13_0,NA,Jammu and Kashmir,Shupiyan,NA,NA,NA
3_1_10_0,1003,Jammu and Kashmir,Srinagar,Jammu  & Kashmir,Srinagar,3_1_10_0
3_1_19_0,1010,Jammu and Kashmir,Udhampur,Jammu  & Kashmir,Udhampur,3_1_19_0
3_20_355_0,549,Jharkhand,Bokaro,Bihar,Bokaro,3_20_355_0
3_20_347_0,551,Jharkhand,Chatra,Bihar,Chatra,3_20_347_0
3_20_350_0,531,Jharkhand,Deoghar,Bihar,Deoghar,3_20_350_0
3_20_354_0,532,Jharkhand,Dhanbad,Bihar,Dhanbad,3_20_354_0
3_20_362_0,530,Jharkhand,Dumka,Bihar,Dumka,3_20_362_0
3_20_346_0,552,Jharkhand,Garhwa,Bihar,Garhwa,3_20_346_0
3_20_349_0,533,Jharkhand,Giridih,Bihar,Giridih,3_20_349_0
3_20_351_0,528,Jharkhand,Godda,Bihar,Godda,3_20_351_0
3_20_366_0,537,Jharkhand,Gumla,Bihar,Gumla,3_20_366_0
3_20_360_0,534,Jharkhand,Hazaribagh,Bihar,Hazaribagh,3_20_360_0
3_20_363_0,NA,Jharkhand,Jamtara,NA,NA,NA
3_20_365_0,NA,Jharkhand,Khunti,NA,NA,NA
3_20_348_0,550,Jharkhand,Kodarma,Bihar,Kodarma,3_20_348_0
3_20_359_0,NA,Jharkhand,Latehar,NA,NA,NA
3_20_356_0,536,Jharkhand,Lohardaga,Bihar,Lohardaga,3_20_356_0
3_20_353_0,548,Jharkhand,Pakur,Bihar,Pakur,3_20_353_0
3_20_358_0,535,Jharkhand,Palamu,Bihar,Palamu,3_20_358_0
3_20_368_0,540,Jharkhand,Pashchimi Singhbhum,Bihar,Pashchimi singhbhum,3_20_368_0
3_20_357_0,539,Jharkhand,Purbi Singhbhum,Bihar,Purbi Singhbhum,3_20_357_0
3_20_361_0,NA,Jharkhand,Ramgarh,NA,NA,NA
3_20_364_0,538,Jharkhand,Ranchi,Bihar,Ranchi,3_20_364_0
3_20_352_0,529,Jharkhand,Sahibganj,Bihar,Sahibaganj,3_20_352_0
3_20_369_0,NA,Jharkhand,Saraikela-Kharsawan,NA,NA,NA
3_20_367_0,NA,Jharkhand,Simdega,NA,NA,NA
3_29_556_0,NA,Karnataka,Bagalkot,NA,NA,NA
3_29_572_0,1101,Karnataka,Bangalore,Karnataka,Bangalore (Urban),3_29_572_0
3_29_583_0,1102,Karnataka,Bangalore Rural,Karnataka,Bangalore (Rural),3_29_583_0
3_29_555_0,1103,Karnataka,Belgaum,Karnataka,Belgaum,3_29_555_0
3_29_565_0,1104,Karnataka,Bellary,Karnataka,Bellary,3_29_565_0
3_29_558_0,1105,Karnataka,Bidar,Karnataka,Bidar,3_29_558_0
3_29_557_0,1106,Karnataka,Bijapur,Karnataka,Bijapur,3_29_557_0
3_29_578_0,NA,Karnataka,Chamarajanagar,NA,NA,NA
3_29_582_0,NA,Karnataka,Chikkaballapura,NA,NA,NA
3_29_570_0,1107,Karnataka,Chikmagalur,Karnataka,Chikmagalur,3_29_570_0
3_29_566_0,1108,Karnataka,Chitradurga,Karnataka,Chitradurga,3_29_566_0
3_29_575_0,1109,Karnataka,Dakshina Kannada,Karnataka,Dakshin Kannad,3_29_575_0
3_29_567_0,NA,Karnataka,Davanagere,NA,NA,NA
3_29_562_0,1110,Karnataka,Dharwad,Karnataka,Dharwad,3_29_562_0
3_29_561_0,NA,Karnataka,Gadag,NA,NA,NA
3_29_579_0,1111,Karnataka,Gulbarga,Karnataka,Gulbarga,3_29_579_0
3_29_574_0,1112,Karnataka,Hassan,Karnataka,Hassan,3_29_574_0
3_29_564_0,NA,Karnataka,Haveri,NA,NA,NA
3_29_576_0,1113,Karnataka,Kodagu,Karnataka,Kodagu,3_29_576_0
3_29_581_0,1114,Karnataka,Kolar,Karnataka,Kolar,3_29_581_0
3_29_560_0,NA,Karnataka,Koppal,NA,NA,NA
3_29_573_0,1115,Karnataka,Mandya,Karnataka,Mandya,3_29_573_0
3_29_577_0,1116,Karnataka,Mysore,Karnataka,Mysore,3_29_577_0
3_29_559_0,1117,Karnataka,Raichur,Karnataka,Raichur,3_29_559_0
3_29_584_0,NA,Karnataka,Ramanagara,NA,NA,NA
3_29_568_0,1118,Karnataka,Shimoga,Karnataka,Shimoga,3_29_568_0
3_29_571_0,1119,Karnataka,Tumkur,Karnataka,Tumkur,3_29_571_0
3_29_569_0,NA,Karnataka,Udupi,NA,NA,NA
3_29_563_0,1120,Karnataka,Uttara Kannada,Karnataka,Uttar Kannad,3_29_563_0
3_29_580_0,NA,Karnataka,Yadgir,NA,NA,NA
3_32_598_0,1211,Kerala,Alappuzha,Kerala,Alappuzha,3_32_598_0
3_32_595_0,1208,Kerala,Ernakulam,Kerala,Ernakulam,3_32_595_0
3_32_596_0,1209,Kerala,Idukki,Kerala,Idukki,3_32_596_0
3_32_589_0,1202,Kerala,Kannur,Kerala,Kannur,3_32_589_0
3_32_588_0,1201,Kerala,Kasaragod,Kerala,Kasargod,3_32_588_0
3_32_600_0,1213,Kerala,Kollam,Kerala,Kollam,3_32_600_0
3_32_597_0,1210,Kerala,Kottayam,Kerala,Kottayam,3_32_597_0
3_32_591_0,1204,Kerala,Kozhikode,Kerala,Kozhikode,3_32_591_0
3_32_592_0,1205,Kerala,Malappuram,Kerala,Malapuram,3_32_592_0
3_32_593_0,1206,Kerala,Palakkad,Kerala,Palakkad,3_32_593_0
3_32_599_0,1212,Kerala,Pathanamthitta,Kerala,Pathanamthitta,3_32_599_0
3_32_601_0,1214,Kerala,Thiruvananthapuram,Kerala,Thiruvanantha- puram,3_32_601_0
3_32_594_0,1207,Kerala,Thrissur,Kerala,Thrissur,3_32_594_0
3_32_590_0,1203,Kerala,Wayanad,Kerala,Wayanad,3_32_590_0
3_31_587_0,3201,Lakshadweep,Lakshadweep,Lakshadweep,Lakshadweep,3_31_587_0
3_23_465_0,NA,Madhya Pradesh,Alirajpur,NA,NA,NA
3_23_461_0,NA,Madhya Pradesh,Anuppur,NA,NA,NA
3_23_459_0,NA,Madhya Pradesh,Ashoknagar,NA,NA,NA
3_23_457_0,1338,Madhya Pradesh,Balaghat,Madhya Pradesh,Balaghat,3_23_457_0
3_23_441_0,NA,Madhya Pradesh,Barwani,NA,NA,NA
3_23_447_0,1331,Madhya Pradesh,Betul,Madhya Pradesh,Betul,3_23_447_0
3_23_420_0,1302,Madhya Pradesh,Bhind,Madhya Pradesh,Bhind,3_23_420_0
3_23_444_0,1328,Madhya Pradesh,Bhopal,Madhya Pradesh,Bhopal,3_23_444_0
3_23_467_0,NA,Madhya Pradesh,Burhanpur,NA,NA,NA
3_23_425_0,1308,Madhya Pradesh,Chhatarpur,Madhya Pradesh,Chhatarpur,3_23_425_0
3_23_455_0,1336,Madhya Pradesh,Chhindwara,Madhya Pradesh,Chhindwara,3_23_455_0
3_23_428_0,1311,Madhya Pradesh,Damoh,Madhya Pradesh,Damoh,3_23_428_0
3_23_422_0,1304,Madhya Pradesh,Datia,Madhya Pradesh,Datia,3_23_422_0
3_23_437_0,1320,Madhya Pradesh,Dewas,Madhya Pradesh,Dewas,3_23_437_0
3_23_438_0,1322,Madhya Pradesh,Dhar,Madhya Pradesh,Dhar,3_23_438_0
3_23_453_0,NA,Madhya Pradesh,Dindori,NA,NA,NA
3_23_458_0,1306,Madhya Pradesh,Guna,Madhya Pradesh,Guna,3_23_458_0
3_23_421_0,1303,Madhya Pradesh,Gwalior,Madhya Pradesh,Gwalior,3_23_421_0
3_23_448_0,NA,Madhya Pradesh,Harda,NA,NA,NA
3_23_449_0,1332,Madhya Pradesh,Hoshangabad,Madhya Pradesh,Hoshangabad,3_23_449_0
3_23_439_0,1323,Madhya Pradesh,Indore,Madhya Pradesh,Indore,3_23_439_0
3_23_451_0,1333,Madhya Pradesh,Jabalpur,Madhya Pradesh,Jabalpur,3_23_451_0
3_23_464_0,1321,Madhya Pradesh,Jhabua,Madhya Pradesh,Jhabua,3_23_464_0
3_23_450_0,NA,Madhya Pradesh,Katni,NA,NA,NA
3_23_466_0,1325,Madhya Pradesh,Khandwa (East Nimar),Madhya Pradesh,East Nimar,3_23_466_0
3_23_440_0,1324,Madhya Pradesh,Khargone (West Nimar),Madhya Pradesh,West Nimar,3_23_440_0
3_23_454_0,1335,Madhya Pradesh,Mandla,Madhya Pradesh,Mandla,3_23_454_0
3_23_433_0,1316,Madhya Pradesh,Mandsaur,Madhya Pradesh,Mandsaur,3_23_433_0
3_23_419_0,1301,Madhya Pradesh,Morena,Madhya Pradesh,Morena,3_23_419_0
3_23_452_0,1334,Madhya Pradesh,Narsimhapur,Madhya Pradesh,Narsimhapur,3_23_452_0
3_23_432_0,NA,Madhya Pradesh,Neemuch,NA,NA,NA
3_23_426_0,1309,Madhya Pradesh,Panna,Madhya Pradesh,Panna,3_23_426_0
3_23_446_0,1330,Madhya Pradesh,Raisen,Madhya Pradesh,Raisen,3_23_446_0
3_23_442_0,1326,Madhya Pradesh,Rajgarh,Madhya Pradesh,Rajgarh,3_23_442_0
3_23_434_0,1317,Madhya Pradesh,Ratlam,Madhya Pradesh,Ratlam,3_23_434_0
3_23_430_0,1313,Madhya Pradesh,Rewa,Madhya Pradesh,Rewa,3_23_430_0
3_23_427_0,1310,Madhya Pradesh,Sagar,Madhya Pradesh,Sagar,3_23_427_0
