spatialId,finalId,spatialState,spatialDistrict,state,district,note,distt_id50
3_24_487_0,3_24_486_0,Gujarat,Narmada,NA,NA,1997-10-02: Narmada district formed from Bharuch and a small part of Vadodara,NA
3_24_486_0,3_24_486_0,Gujarat,Vadodara,Gujarat,VADODARA,1997-10-02: Narmada district formed from Bharuch and a small part of Vadodara,715
3_24_490_0,3_24_491_0,Gujarat,Navsari,NA,NA,1997-10-02: Navsari district split from Valsad;,NA
3_24_491_0,3_24_491_0,Gujarat,Valsad,Gujarat,VALSAD,1997-10-02: Navsari district split from Valsad;,718
3_24_479_0,3_24_479_0,Gujarat,Junagadh,Gujarat,JUNAGADH,1997-10-02: Porbandar district split from Junagadh.,706
3_24_478_0,3_24_479_0,Gujarat,Porbandar,NA,NA,1997-10-02: Porbandar district split from Junagadh.,NA
3_24_469_0,3_24_469_0,Gujarat,Banas Kantha,Gujarat,BANAS KANTHA,2000: Patan district formed from parts of Banas Kantha and Mahesana.,NA
3_24_471_0,3_24_469_0,Gujarat,Mahesana,Gujarat,MAHESANA,2000: Patan district formed from parts of Banas Kantha and Mahesana.,NA
3_24_470_0,3_24_469_0,Gujarat,Patan,NA,NA,2000: Patan district formed from parts of Banas Kantha and Mahesana.,NA
3_24_492_0,3_24_492_0,Gujarat,Surat,Gujarat,SURAT,2007-10-02: Tapi district split from Surat.,717
3_24_493_0,3_24_492_0,Gujarat,Tapi,NA,NA,2007-10-02: Tapi district split from Surat.,NA
3_24_474_0,3_24_474_0,Gujarat,Ahmadabad,Gujarat,AHMEDABAD,NA,712
3_24_480_0,3_24_480_0,Gujarat,Amreli,Gujarat,AMRELI,NA,705
3_24_481_0,3_24_481_0,Gujarat,Bhavnagar,Gujarat,BHAVNAGAR,NA,704
3_24_473_0,3_24_473_0,Gujarat,Gandhinagar,Gujarat,GANDHINAGAR,NA,711
3_24_477_0,3_24_477_0,Gujarat,Jamnagar,Gujarat,JAMNAGAR,NA,701
3_24_468_0,3_24_468_0,Gujarat,Kachchh,Gujarat,KACHCHH,NA,NA
3_24_476_0,3_24_476_0,Gujarat,Rajkot,Gujarat,RAJKOT,NA,702
3_24_472_0,3_24_472_0,Gujarat,Sabar Kantha,Gujarat,SABAR KANTHA,NA,NA
3_24_475_0,3_24_475_0,Gujarat,Surendranagar,Gujarat,SURENDRANAGAR,NA,703
3_24_489_0,3_24_489_0,Gujarat,The Dangs,Gujarat,THE DANGS,NA,719
3_6_70_0,3_6_70_0,Haryana,Ambala,Haryana,AMBALA,~1994: Panchkula district split from Ambala.,801
3_6_69_0,3_6_70_0,Haryana,Panchkula,NA,NA,~1994: Panchkula district split from Ambala.,NA
3_6_74_0,3_6_74_0,Haryana,Karnal,Haryana,KARNAL,~1996: Part of Panipat district transferred to Karnal;,805
3_6_75_0,3_6_74_0,Haryana,Panipat,Haryana,PANIPAT,~1996: Part of Panipat district transferred to Karnal;,806
3_6_78_0,3_6_80_0,Haryana,Fatehabad,NA,NA,1997-07-15: Fatehabad district split from Hissar;,NA
3_6_80_0,3_6_80_0,Haryana,Hisar,Haryana,HISAR,1997-07-15: Fatehabad district split from Hissar;,NA
3_6_86_0,3_6_86_0,Haryana,Gurgaon,Haryana,GURGAON,2005-04-04: Mewat district split from Gurgaon.,810
3_6_87_0,3_6_86_0,Haryana,Mewat,NA,NA,2005-04-04: Mewat district split from Gurgaon.,NA
3_6_88_0,3_6_88_0,Haryana,Faridabad,Haryana,FARIDABAD,2008-08-15: Palwal district split from Faridabad.,809
3_6_89_0,3_6_88_0,Haryana,Palwal,NA,NA,2008-08-15: Palwal district split from Faridabad.,NA
3_6_83_0,3_6_82_0,Haryana,Jhajjar,NA,NA,part of Rohtak district transferred to Sonepat. Jhajjar district split from Rohtak.,NA
3_6_82_0,3_6_82_0,Haryana,Rohtak,Haryana,ROHTAK,part of Rohtak district transferred to Sonepat. Jhajjar district split from Rohtak.,808
3_6_76_0,3_6_82_0,Haryana,Sonipat,Haryana,SONIPAT,part of Rohtak district transferred to Sonepat. Jhajjar district split from Rohtak.,NA
3_6_81_0,3_6_81_0,Haryana,Bhiwani,Haryana,BHIWANI,NA,NA
3_6_77_0,3_6_77_0,Haryana,Jind,Haryana,JIND,NA,814
3_6_73_0,3_6_73_0,Haryana,Kaithal,Haryana,KAITHAL,NA,NA
3_6_72_0,3_6_72_0,Haryana,Kurukshetra,Haryana,KURUKSHETRA,NA,803
3_6_84_0,3_6_84_0,Haryana,Mahendragarh,Haryana,MAHENDRAGARH,NA,NA
3_6_85_0,3_6_85_0,Haryana,Rewari,Haryana,REWARI,NA,811
3_6_79_0,3_6_79_0,Haryana,Sirsa,Haryana,SIRSA,NA,816
3_6_71_0,3_6_71_0,Haryana,Yamunanagar,Haryana,YAMUNANAGAR,NA,NA
3_2_30_0,3_2_30_0,Himachal Pradesh,Bilaspur,Himachal Pradesh,BILASPUR,NA,905
3_2_30_0,3_2_30_0,Himachal Pradesh,Bilaspur,Himachal Pradesh,BILASPUR,NA,1305
3_2_23_0,3_2_23_0,Himachal Pradesh,Chamba,Himachal Pradesh,CHAMBA,NA,901
3_2_28_0,3_2_28_0,Himachal Pradesh,Hamirpur,Himachal Pradesh,HAMIRPUR,NA,903
3_2_24_0,3_2_24_0,Himachal Pradesh,Kangra,Himachal Pradesh,KANGRA,NA,902
3_2_34_0,3_2_34_0,Himachal Pradesh,Kinnaur,Himachal Pradesh,KINNAUR,NA,NA
3_2_26_0,3_2_26_0,Himachal Pradesh,Kullu,Himachal Pradesh,KULLU,NA,NA
3_2_25_0,3_2_25_0,Himachal Pradesh,Lahul & Spiti,Himachal Pradesh,LAHUL & SPITI,NA,NA
3_2_27_0,3_2_27_0,Himachal Pradesh,Mandi,Himachal Pradesh,MANDI,NA,906
3_2_33_0,3_2_33_0,Himachal Pradesh,Shimla,Himachal Pradesh,SHIMLA,NA,NA
3_2_32_0,3_2_32_0,Himachal Pradesh,Sirmaur,Himachal Pradesh,SIRMAUR,NA,NA
3_2_31_0,3_2_31_0,Himachal Pradesh,Solan,Himachal Pradesh,SOLAN,NA,910
3_2_29_0,3_2_29_0,Himachal Pradesh,Una,Himachal Pradesh,UNA,NA,904
3_12_251_1,3_12_251_0,India/China  1,East Siang,NA,NA,~1999:  Upper Siang district split from East Siang.,NA
3_12_252_1,3_12_251_0,India/China  1,Upper Siang,NA,NA,~1999:  Upper Siang district split from East Siang.,NA
3_12_256_1,3_12_255_1,India/China  1,Kurung Kumey,NA,NA,~1999: Papum Pare district split from Lower Subansiri; 2000-04-01: Kurung Kumey district split from Lower Subansiri.,NA
3_12_255_1,3_12_255_1,India/China  1,Lower Subansiri,Arunachal Pradesh,LOWER SUBANSIRI,~1999: Papum Pare district split from Lower Subansiri; 2000-04-01: Kurung Kumey district split from Lower Subansiri.,NA
3_12_248_1,3_12_255_1,India/China  1,Papum Pare,NA,NA,~1999: Papum Pare district split from Lower Subansiri; 2000-04-01: Kurung Kumey district split from Lower Subansiri.,NA
3_12_257_1,3_12_258_0,India/China  1,Dibang Valley,NA,NA,2001-12-16: Dibang Valley district split into Lower Dibang Valley and Upper Dibang Valley.,NA
3_12_258_1,3_12_258_0,India/China  1,Lower Dibang Valley,NA,NA,2001-12-16: Dibang Valley district split into Lower Dibang Valley and Upper Dibang Valley.,NA
3_12_260_1,3_12_259_0,India/China  1,Anjaw,NA,NA,2004-02-16: Anjaw district split from Lohit.,NA
3_12_259_1,3_12_259_0,India/China  1,Lohit,NA,NA,2004-02-16: Anjaw district split from Lohit.,NA
3_12_247_1,3_12_247_1,India/China  1,East Kameng,Arunachal Pradesh,EAST KAMENG,NA,303
3_12_245_1,3_12_245_1,India/China  1,Tawang,Arunachal Pradesh,TAWANG,NA,301
3_12_249_1,3_12_249_1,India/China  1,Upper Subansiri,Arunachal Pradesh,UPPER SUBANSIRI,NA,NA
3_12_246_1,3_12_246_1,India/China  1,West Kameng,Arunachal Pradesh,WEST KAMENG,NA,NA
3_12_250_1,3_12_250_1,India/China  1,West Siang,NA,NA,NA,NA
3_1_3_1,3_1_3_0,India/China  2,Leh(Ladakh),NA,NA,NA,NA
3_1_9_0,3_1_8_0,Jammu and Kashmir,Bandipore,NA,NA,2006-07-06: Bandipore district split from Baramula;,NA
3_1_8_0,3_1_8_0,Jammu and Kashmir,Baramula,Jammu  & Kashmir,BARAMULA,2006-07-06: Bandipore district split from Baramula;,NA
3_1_11_0,3_1_10_0,Jammu and Kashmir,Ganderbal,NA,NA,Ganderbal district split from Srinagar;,NA
3_1_10_0,3_1_10_0,Jammu and Kashmir,Srinagar,Jammu  & Kashmir,SRINAGAR,Ganderbal district split from Srinagar;,NA
3_1_16_0,3_1_16_0,Jammu and Kashmir,Doda,Jammu  & Kashmir,DODA,Kishtwar district split from Doda Ramban district formed from parts of Doda and Udhampur; Reasi district split from Udhampur;,NA
3_1_18_0,3_1_16_0,Jammu and Kashmir,Kishtwar,NA,NA,Kishtwar district split from Doda Ramban district formed from parts of Doda and Udhampur; Reasi district split from Udhampur;,NA
3_1_17_0,3_1_16_0,Jammu and Kashmir,Ramban,NA,NA,Kishtwar district split from Doda Ramban district formed from parts of Doda and Udhampur; Reasi district split from Udhampur;,NA
3_1_20_0,3_1_16_0,Jammu and Kashmir,Reasi,NA,NA,Kishtwar district split from Doda Ramban district formed from parts of Doda and Udhampur; Reasi district split from Udhampur;,NA
3_1_19_0,3_1_16_0,Jammu and Kashmir,Udhampur,Jammu  & Kashmir,UDHAMPUR,Kishtwar district split from Doda Ramban district formed from parts of Doda and Udhampur; Reasi district split from Udhampur;,1010
3_1_14_0,3_1_14_0,Jammu and Kashmir,Anantnag,Jammu  & Kashmir,ANANTNAG,Kulgam district split from Anantnag;,NA
3_1_15_0,3_1_14_0,Jammu and Kashmir,Kulgam,NA,NA,Kulgam district split from Anantnag;,NA
3_1_21_0,3_1_21_0,Jammu and Kashmir,Jammu,Jammu  & Kashmir,JAMMU,Samba district formed from parts of Jammu and Kathua,1012
3_1_7_0,3_1_21_0,Jammu and Kashmir,Kathua,Jammu  & Kashmir,KATHUA,Samba district formed from parts of Jammu and Kathua,NA
3_1_22_0,3_1_21_0,Jammu and Kashmir,Samba,NA,NA,Samba district formed from parts of Jammu and Kathua,NA
3_1_12_0,3_1_12_0,Jammu and Kashmir,Pulwama,Jammu  & Kashmir,PULWAMA,Shupiyan district split from Pulwama.,NA
3_1_13_0,3_1_12_0,Jammu and Kashmir,Shupiyan,NA,NA,Shupiyan district split from Pulwama.,NA
3_1_2_0,3_1_2_0,Jammu and Kashmir,Badgam,Jammu  & Kashmir,BADGAM,NA,NA
3_1_4_0,3_1_4_0,Jammu and Kashmir,Kargil,Jammu  & Kashmir,KARGIL,NA,NA
3_1_1_0,3_1_1_0,Jammu and Kashmir,Kupwara,Jammu  & Kashmir,KUPWARA,NA,NA
3_1_3_0,3_1_3_0,Jammu and Kashmir,Leh(Ladakh),Jammu  & Kashmir,LEH (LADAKH),NA,NA
3_1_5_0,3_1_5_0,Jammu and Kashmir,Punch,Jammu  & Kashmir,PUNCH,NA,NA
3_1_6_0,3_1_6_0,Jammu and Kashmir,Rajouri,Jammu  & Kashmir,RAJOURI,NA,NA
