spatialId,finalId,spatialState,spatialDistrict,nss2001State,nss2001District,Note,distt_id55,NSS2000_state_id,NSS2000_dist_code
3_24_468_0,3_24_468_0,Gujarat,Kachchh,Gujarat,Kachchh,NA,707,7.0,07
3_24_483_0,3_24_483_0,Gujarat,Kheda,Gujarat,Kheda,NA,713,7.0,13
3_24_471_0,3_24_471_0,Gujarat,Mahesana,Gujarat,Mahesana,NA,710,7.0,10
3_24_487_0,3_24_487_0,Gujarat,Narmada,Gujarat,Narmada,NA,NA,NA,NA
3_24_490_0,3_24_490_0,Gujarat,Navsari,Gujarat,Navsari,NA,NA,NA,NA
3_24_484_0,3_24_484_0,Gujarat,Panch Mahals,Gujarat,Panch Mahals,NA,714,7.0,14
3_24_470_0,3_24_470_0,Gujarat,Patan,Gujarat,Patan,NA,NA,NA,NA
3_24_478_0,3_24_478_0,Gujarat,Porbandar,Gujarat,Porbandar,NA,NA,NA,NA
3_24_476_0,3_24_476_0,Gujarat,Rajkot,Gujarat,Rajkot,NA,702,7.0,02
3_24_472_0,3_24_472_0,Gujarat,Sabar Kantha,Gujarat,Sabar Kantha,NA,709,7.0,09
3_24_492_0,3_24_492_0,Gujarat,Surat,Gujarat,Surat,Tapi district split from Surat,717,7.0,17
3_24_475_0,3_24_475_0,Gujarat,Surendranagar,Gujarat,Surendranagar,NA,703,7.0,03
3_24_489_0,3_24_489_0,Gujarat,The Dangs,Gujarat,The Dangs,NA,719,7.0,19
3_24_486_0,3_24_486_0,Gujarat,Vadodara,Gujarat,Vadodara,NA,715,7.0,15
3_24_491_0,3_24_491_0,Gujarat,Valsad,Gujarat,Valsad,NA,718,7.0,18
3_6_70_0,3_6_70_0,Haryana,Ambala,Haryana,Ambala,NA,801,8.0,01
3_6_81_0,3_6_81_0,Haryana,Bhiwani,Haryana,Bhiwani,NA,813,8.0,13
3_6_88_0,3_6_88_0,Haryana,Faridabad,Haryana,Faridabad,Palwal district split from Faridabad,809,8.0,09
3_6_78_0,3_6_78_0,Haryana,Fatehabad,Haryana,Fatehabad,NA,NA,NA,NA
3_6_86_0,3_6_86_0,Haryana,Gurgaon,Haryana,Gurgaon,Mewat district split from Gurgaon,810,8.0,10
3_6_80_0,3_6_80_0,Haryana,Hisar,Haryana,Hisar,NA,815,8.0,15
3_6_83_0,3_6_83_0,Haryana,Jhajjar,Haryana,Jhajjar,NA,NA,NA,NA
3_6_77_0,3_6_77_0,Haryana,Jind,Haryana,Jind,NA,814,8.0,14
3_6_73_0,3_6_73_0,Haryana,Kaithal,Haryana,Kaithal,NA,804,8.0,04
3_6_74_0,3_6_74_0,Haryana,Karnal,Haryana,Karnal,NA,805,8.0,05
3_6_72_0,3_6_72_0,Haryana,Kurukshetra,Haryana,Kurukshetra,NA,803,8.0,03
