1,NSS State,"NSSSub region",NSS District,"NSSStatecode","NSSSub_regcode","NSS_Distcode","NSSTehsil"
176,KAR,Inland Northern,Bellary,11,4,4,
177,KAR,Inland Northern,Bidar,11,4,5,
178,KAR,Inland Northern,Bijapur,11,4,6,
179,KAR,Inland Northern,Chitradurga,11,4,8,
180,KAR,Inland Northern,Dharwad,11,4,10,
181,KAR,Inland Northern,Gulbarga,11,4,11,
182,KAR,Inland Northern,Raichur,11,4,17,
183,KAR,Inland Southern,Bangalore (Urban),11,3,1,
184,KAR,Inland Southern,Bangalore (Rural),11,3,2,
185,KAR,Inland Southern,Kolar,11,3,14,
,A,B,C,D,E,F,G
1,NSS State,"NSSSub region",NSS District,"NSSStatecode","NSSSub_regcode","NSS_Distcode","NSSTehsil"
155,HAR,Western,Hisar,8,2,15,
156,HAR,Western,Sirsa,8,2,16,
157,HPR,HPR,Chamba,9,1,1,
158,HPR,HPR,Kangra,9,1,2,
159,HPR,HPR,Hamirpur,9,1,3,
160,HPR,HPR,Una,9,1,4,
161,HPR,HPR,Bilaspur,9,1,5,
162,HPR,HPR,Mandi,9,1,6,
163,HPR,HPR,Kullu,9,1,7,
164,HPR,HPR,Lahul & Spiti,9,1,8,
165,HPR,HPR,Shimla,9,1,9,
166,HPR,HPR,Solan,9,1,10,
167,HPR,HPR,Sirampur,9,1,11,
168,HPR,HPR,Kinnaur,9,1,12,
169,KAR,Coastal & Ghats,Dakshin Kannad,11,1,9,
170,KAR,Coastal & Ghats,Uttar Kannad,11,1,20,
171,KAR,Inland Eastern,Chikmagalur,11,2,7,
172,KAR,Inland Eastern,Hassan,11,2,12,
173,KAR,Inland Eastern,Kodagu,11,2,13,
174,KAR,Inland Eastern,Shimoga,11,2,18,
175,KAR,Inland Northern,Belgaum,11,4,3,
176,KAR,Inland Northern,Bellary,11,4,4,
177,KAR,Inland Northern,Bidar,11,4,5,
178,KAR,Inland Northern,Bijapur,11,4,6,
179,KAR,Inland Northern,Chitradurga,11,4,8,
180,KAR,Inland Northern,Dharwad,11,4,10,
181,KAR,Inland Northern,Gulbarga,11,4,11,
182,KAR,Inland Northern,Raichur,11,4,17,
183,KAR,Inland Southern,Bangalore (Urban),11,3,1,
184,KAR,Inland Southern,Bangalore (Rural),11,3,2,
185,KAR,Inland Southern,Kolar,11,3,14,
,A,B,C,D,E,F,G
1,NSS State,"NSSSub region",NSS District,"NSSStatecode","NSSSub_regcode","NSS_Distcode","NSSTehsil"
187,KAR,Inland Southern,Mysore,11,3,16,
188,KAR,Inland Southern,Tumkur,11,3,19,
189,KER,Northern,Kasargod,12,1,1,
190,KER,Northern,Kannur,12,1,2,
191,KER,Northern,Wayanad,12,1,3,
192,KER,Northern,Kozhikode,12,1,4,
193,KER,Northern,Malapuram,12,1,5,
194,KER,Northern,Palakkad,12,1,6,
195,KER,Southern,Trichur,12,2,7,
196,KER,Southern,Ernakulam,12,2,8,
197,KER,Southern,Idukki,12,2,9,
198,KER,Southern,Alappuzm,12,2,11,
199,KER,Southern,Pathanamthitta,12,2,12,
200,KER,Southern,Kollam,12,2,13,
201,KER,Southern,Kottayam,12,2,10,
202,KER,Southern,Thiruvananthapuram,12,2,14,
203,LAK,LAK,Lakshadweep,32,1,1,
204,MAH,Coastal,Greater Bombay,14,1,1,
205,MAH,Coastal,Thane,14,1,2,
206,MAH,Coastal,Raigarh (Kulaba),14,1,3,
207,MAH,Coastal,Ratnagiri,14,1,4,
208,MAH,Coastal,Sindhudurg,14,1,5,
209,MAH,Eastern,Bhandara,14,6,28,
210,MAH,Eastern,Chandrapur,14,6,29,
211,MAH,Eastern,Gadchiroli,14,6,30,
212,MAH,Inland Central,Aurangabad,14,4,15,
213,MAH,Inland Central,Jalna,14,4,16,
214,MAH,Inland Central,Parbhani,14,4,17,
215,MAH,Inland Central,Bid,14,4,18,
216,MAH,Inland Central,Nanded,14,4,19,
217,MAH,Inland Central,Osmanabad,14,4,20,
,A,B,C,D,E,F,G
1,NSS State,"NSSSub region",NSS District,"NSSStatecode","NSSSub_regcode","NSS_Distcode","NSSTehsil"
187,KAR,Inland Southern,Mysore,11,3,16,
188,KAR,Inland Southern,Tumkur,11,3,19,
