finalId,spatialState,spatialDistrict,nss2001State,nss2001District,Note,distt_id50
3_1_14_0,Jammu and Kashmir,Anantnag,Jammu  & Kashmir,ANANTNAG,Kulgam district split from Anantnag,NA
3_1_2_0,Jammu and Kashmir,Badgam,Jammu  & Kashmir,BADGAM,NA,NA
3_1_8_0,Jammu and Kashmir,Bandipore,NA,NA,Bandipore district split from Baramula,NA
3_1_16_0,Jammu and Kashmir,Doda,Jammu  & Kashmir,DODA,Kishtwar district split from Doda,NA
3_1_10_0,Jammu and Kashmir,Ganderbal,NA,NA,Ganderbal district split from Srinagar,NA
3_1_21_0,Jammu and Kashmir,Jammu,Jammu  & Kashmir,JAMMU,Samba district formed from parts of Jammu and Kathua,1012
3_1_4_0,Jammu and Kashmir,Kargil,Jammu  & Kashmir,KARGIL,NA,NA
3_1_1_0,Jammu and Kashmir,Kupwara,Jammu  & Kashmir,KUPWARA,NA,NA
3_1_3_0,Jammu and Kashmir,Leh(Ladakh),Jammu  & Kashmir,LEH (LADAKH),NA,NA
3_1_12_0,Jammu and Kashmir,Pulwama,Jammu  & Kashmir,PULWAMA,Shupiyan district split from Pulwama,NA
3_1_5_0,Jammu and Kashmir,Punch,Jammu  & Kashmir,PUNCH,NA,NA
3_1_6_0,Jammu and Kashmir,Rajouri,Jammu  & Kashmir,RAJAURI,NA,NA
3_1_17_0,Jammu and Kashmir,Ramban,NA,NA,NA,NA
3_1_20_0,Jammu and Kashmir,Reasi,NA,NA,NA,NA
3_1_19_0,Jammu and Kashmir,Udhampur,Jammu  & Kashmir,UDHAMPUR,NA,1010
3_20_355_0,Jharkhand,Bokaro,Jharkhand,BOKARO,NA,NA
3_20_347_0,Jharkhand,Chatra,Jharkhand,CHATRA,NA,NA
3_20_350_0,Jharkhand,Deoghar,Jharkhand,DEOGHAR,NA,NA
3_20_354_0,Jharkhand,Dhanbad,Jharkhand,DHANBAD,NA,532
3_20_362_0,Jharkhand,Dumka,Jharkhand,DUMKA,Jamtara district split from Dumka,530
3_20_346_0,Jharkhand,Garhwa,Jharkhand,GARHWA,NA,NA
3_20_349_0,Jharkhand,Giridih,Jharkhand,GIRIDIH,NA,NA
3_20_351_0,Jharkhand,Godda,Jharkhand,GODDA,NA,NA
3_20_366_0,Jharkhand,Gumla,Jharkhand,GUMLA,Simdega district split from Gumla,537
3_20_360_0,Jharkhand,Hazaribagh,Jharkhand,HAZARIBAGH,Ramgarh district split from Hazaribagh,534
3_20_364_0,Jharkhand,Khunti,NA,NA,Khunti district split from Ranchi;,NA
3_20_348_0,Jharkhand,Kodarma,Jharkhand,KODARMA,NA,NA
3_20_359_0,Jharkhand,Latehar,NA,NA,Latehar district split from Palamu,NA
3_20_356_0,Jharkhand,Lohardaga,Jharkhand,LOHARDAGA,NA,536
3_20_353_0,Jharkhand,Pakur,Jharkhand,PAKAUR,NA,NA
3_20_368_0,Jharkhand,Pashchimi Singhbhum,Jharkhand,PASHCHIMI SINGHBHUM,Seraikela district split from Pashchim Singhbhum,NA
3_20_357_0,Jharkhand,Purbi Singhbhum,Jharkhand,PURBI SINGHBHUM,NA,539
3_20_352_0,Jharkhand,Sahibganj,Jharkhand,SAHIBGANJ,NA,529
3_29_556_0,Karnataka,Bagalkot,Karnataka,BAGALKOT,NA,NA
3_29_572_0,Karnataka,Bangalore,Karnataka,BANGALORE,NA,1101
3_29_583_0,Karnataka,Bangalore Rural,Karnataka,BANGALORE (RURAL),Ramanagara district split from Bangalore Rural,NA
