spatialState,spatialDistrict,spatialId,finalId,distt_id55,Note
Chhattisgarh,Rajnandgaon,3_22_408_0,3_22_408_0,NA,NA
Chhattisgarh,Surguja,3_22_401_0,3_22_401_0,NA,NA
Chhattisgarh,Uttar Bastar Kanker,3_22_413_0,3_22_413_0,NA,NA
Dadra & Nagar Haveli,Dadra & Nagar Haveli,3_26_496_0,3_26_496_0,2901,NA
Daman & Diu,Daman,3_25_495_0,3_25_495_0,3001,NA
Daman & Diu,Diu,3_25_494_0,3_25_494_0,3002,NA
Goa,North Goa,3_30_585_0,3_30_585_0,601,NA
Goa,South Goa,3_30_586_0,3_30_586_0,602,NA
Gujarat,Ahmadabad,3_24_474_0,3_24_474_0,NA,NA
Gujarat,Amreli,3_24_480_0,3_24_480_0,705,NA
Gujarat,Anand,3_24_482_0,3_24_482_0,NA,NA
Gujarat,Banas Kantha,3_24_469_0,3_24_469_0,708,NA
Gujarat,Bharuch,3_24_488_0,3_24_488_0,716,NA
Gujarat,Bhavnagar,3_24_481_0,3_24_481_0,704,NA
Gujarat,Dohad,3_24_485_0,3_24_485_0,NA,NA
Gujarat,Gandhinagar,3_24_473_0,3_24_473_0,711,NA
Gujarat,Jamnagar,3_24_477_0,3_24_477_0,701,NA
Gujarat,Junagadh,3_24_479_0,3_24_479_0,706,NA
Gujarat,Kachchh,3_24_468_0,3_24_468_0,707,NA
Gujarat,Kheda,3_24_483_0,3_24_483_0,713,NA
Gujarat,Mahesana,3_24_471_0,3_24_471_0,710,NA
Gujarat,Narmada,3_24_487_0,3_24_487_0,NA,NA
Gujarat,Navsari,3_24_490_0,3_24_490_0,NA,NA
Gujarat,Panch Mahals,3_24_484_0,3_24_484_0,714,NA
Gujarat,Patan,3_24_470_0,3_24_470_0,NA,NA
Gujarat,Porbandar,3_24_478_0,3_24_478_0,NA,NA
Gujarat,Rajkot,3_24_476_0,3_24_476_0,702,NA
Gujarat,Sabar Kantha,3_24_472_0,3_24_472_0,709,NA
Gujarat,Surat,3_24_492_0,3_24_492_0,717,Tapi district split from Surat
Gujarat,Surendranagar,3_24_475_0,3_24_475_0,703,NA
Gujarat,Tapi,3_24_493_0,3_24_492_0,NA,Tapi district split from Surat
Gujarat,The Dangs,3_24_489_0,3_24_489_0,719,NA
Gujarat,Vadodara,3_24_486_0,3_24_486_0,715,NA
Gujarat,Valsad,3_24_491_0,3_24_491_0,718,NA
Haryana,Ambala,3_6_70_0,3_6_70_0,801,NA
Haryana,Bhiwani,3_6_81_0,3_6_81_0,813,NA
Haryana,Faridabad,3_6_88_0,3_6_88_0,809,Palwal district split from Faridabad
Haryana,Fatehabad,3_6_78_0,3_6_78_0,NA,NA
Haryana,Gurgaon,3_6_86_0,3_6_86_0,810,Mewat district split from Gurgaon
Haryana,Hisar,3_6_80_0,3_6_80_0,815,NA
Haryana,Jhajjar,3_6_83_0,3_6_83_0,NA,NA
Haryana,Jind,3_6_77_0,3_6_77_0,814,NA
Haryana,Kaithal,3_6_73_0,3_6_73_0,804,NA
Haryana,Karnal,3_6_74_0,3_6_74_0,805,NA
Haryana,Kurukshetra,3_6_72_0,3_6_72_0,803,NA
Haryana,Mahendragarh,3_6_84_0,3_6_84_0,812,NA
Haryana,Mewat,3_6_87_0,3_6_86_0,NA,Mewat district split from Gurgaon
Haryana,Palwal,3_6_89_0,3_6_88_0,NA,Palwal district split from Faridabad
Haryana,Panchkula,3_6_69_0,3_6_69_0,NA,NA
Haryana,Panipat,3_6_75_0,3_6_75_0,806,NA
Haryana,Rewari,3_6_85_0,3_6_85_0,811,NA
Haryana,Rohtak,3_6_82_0,3_6_82_0,808,NA
Haryana,Sirsa,3_6_79_0,3_6_79_0,816,NA
Haryana,Sonipat,3_6_76_0,3_6_76_0,807,NA
Haryana,Yamunanagar,3_6_71_0,3_6_71_0,802,NA
Himachal Pradesh,Bilaspur,3_2_30_0,3_2_30_0,905,NA
Himachal Pradesh,Chamba,3_2_23_0,3_2_23_0,901,NA
Himachal Pradesh,Hamirpur,3_2_28_0,3_2_28_0,903,NA
Himachal Pradesh,Kangra,3_2_24_0,3_2_24_0,902,NA
Himachal Pradesh,Kinnaur,3_2_34_0,3_2_34_0,912,NA
Himachal Pradesh,Kullu,3_2_26_0,3_2_26_0,907,NA
Himachal Pradesh,Lahul & Spiti,3_2_25_0,3_2_25_0,908,NA
Himachal Pradesh,Mandi,3_2_27_0,3_2_27_0,906,NA
Himachal Pradesh,Shimla,3_2_33_0,3_2_33_0,909,NA
Himachal Pradesh,Sirmaur,3_2_32_0,3_2_32_0,911,NA
Himachal Pradesh,Solan,3_2_31_0,3_2_31_0,910,NA
Himachal Pradesh,Una,3_2_29_0,3_2_29_0,904,NA
India/China  1,Anjaw,3_12_260_1,3_12_260_1,NA,NA
India/China  1,Dibang Valley,3_12_257_1,3_12_257_1,NA,2001-12-16: Dibang Valley district split into Lower Dibang Valley and Upper Dibang Valley.
India/China  1,East Kameng,3_12_247_1,3_12_247_1,303,NA
India/China  1,East Siang,3_12_251_1,3_12_251_1,NA,NA
India/China  1,Kurung Kumey,3_12_256_1,3_12_255_1,NA,2000-04-01: Kurung Kumey district split from Lower Subansiri.
India/China  1,Lohit,3_12_259_1,3_12_259_1,NA,NA
India/China  1,Lower Dibang Valley,3_12_258_1,3_12_257_1,NA,2001-12-16: Dibang Valley district split into Lower Dibang Valley and Upper Dibang Valley.
India/China  1,Lower Subansiri,3_12_255_1,3_12_255_1,304,2000-04-01: Kurung Kumey district split from Lower Subansiri.
India/China  1,Papum Pare,3_12_248_1,3_12_248_1,NA,NA
India/China  1,Tawang,3_12_245_1,3_12_245_1,301,NA
India/China  1,Upper Siang,3_12_252_1,3_12_252_1,NA,NA
India/China  1,Upper Subansiri,3_12_249_1,3_12_249_1,305,NA
India/China  1,West Kameng,3_12_246_1,3_12_246_1,302,NA
India/China  1,West Siang,3_12_250_1,3_12_250_1,NA,NA
India/China  2,Leh(Ladakh),3_1_3_1,3_1_3_1,NA,NA
Jammu and Kashmir,Anantnag,3_1_14_0,3_1_14_0,1001,Kulgam district split from Anantnag
Jammu and Kashmir,Badgam,3_1_2_0,3_1_2_0,1004,NA
Jammu and Kashmir,Bandipore,3_1_9_0,3_1_8_0,NA,Bandipore district split from Baramula
Jammu and Kashmir,Baramula,3_1_8_0,3_1_8_0,1005,Bandipore district split from Baramula
Jammu and Kashmir,Doda,3_1_16_0,3_1_16_0,1009,Kishtwar district split from Doda
Jammu and Kashmir,Ganderbal,3_1_11_0,3_1_10_0,NA,Ganderbal district split from Srinagar
Jammu and Kashmir,Jammu,3_1_21_0,3_1_21_0,1012,Samba district formed from parts of Jammu and Kathua
Jammu and Kashmir,Kargil,3_1_4_0,3_1_4_0,1007,NA
Jammu and Kashmir,Kathua,3_1_7_0,3_1_21_0,1011,Samba district formed from parts of Jammu and Kathua
Jammu and Kashmir,Kishtwar,3_1_18_0,3_1_16_0,NA,Kishtwar district split from Doda
Jammu and Kashmir,Kulgam,3_1_15_0,3_1_14_0,NA,Kulgam district split from Anantnag
Jammu and Kashmir,Kupwara,3_1_1_0,3_1_1_0,1006,NA
Jammu and Kashmir,Leh(Ladakh),3_1_3_0,3_1_3_0,1008,NA
Jammu and Kashmir,Pulwama,3_1_12_0,3_1_12_0,1002,Shupiyan district split from Pulwama
Jammu and Kashmir,Punch,3_1_5_0,3_1_5_0,1014,NA
Jammu and Kashmir,Rajouri,3_1_6_0,3_1_6_0,NA,NA
Jammu and Kashmir,Ramban,3_1_17_0,3_1_17_0,NA,NA
Jammu and Kashmir,Reasi,3_1_20_0,3_1_20_0,NA,NA
Jammu and Kashmir,Samba,3_1_22_0,3_1_21_0,NA,Samba district formed from parts of Jammu and Kathua
Jammu and Kashmir,Shupiyan,3_1_13_0,3_1_12_0,NA,Shupiyan district split from Pulwama
Jammu and Kashmir,Srinagar,3_1_10_0,3_1_10_0,1003,Ganderbal district split from Srinagar
Jammu and Kashmir,Udhampur,3_1_19_0,3_1_19_0,1010,NA
Jharkhand,Bokaro,3_20_355_0,3_20_355_0,NA,NA
Jharkhand,Chatra,3_20_347_0,3_20_347_0,NA,NA
Jharkhand,Deoghar,3_20_350_0,3_20_350_0,NA,NA
Jharkhand,Dhanbad,3_20_354_0,3_20_354_0,NA,NA
Jharkhand,Dumka,3_20_362_0,3_20_362_0,NA,Jamtara district split from Dumka
Jharkhand,Garhwa,3_20_346_0,3_20_346_0,NA,NA
Jharkhand,Giridih,3_20_349_0,3_20_349_0,NA,NA
Jharkhand,Godda,3_20_351_0,3_20_351_0,NA,NA
Jharkhand,Gumla,3_20_366_0,3_20_366_0,NA,Simdega district split from Gumla
Jharkhand,Hazaribagh,3_20_360_0,3_20_360_0,NA,Ramgarh district split from Hazaribagh
Jharkhand,Jamtara,3_20_363_0,3_20_362_0,NA,Jamtara district split from Dumka
Jharkhand,Khunti,3_20_365_0,3_20_364_0,NA,Khunti district split from Ranchi;
Jharkhand,Kodarma,3_20_348_0,3_20_348_0,NA,NA
Jharkhand,Latehar,3_20_359_0,3_20_359_0,NA,Latehar district split from Palamu
Jharkhand,Lohardaga,3_20_356_0,3_20_356_0,NA,NA
Jharkhand,Pakur,3_20_353_0,3_20_353_0,NA,NA
Jharkhand,Palamu,3_20_358_0,3_20_359_0,NA,Latehar district split from Palamu
Jharkhand,Pashchimi Singhbhum,3_20_368_0,3_20_368_0,NA,Seraikela district split from Pashchim Singhbhum
Jharkhand,Purbi Singhbhum,3_20_357_0,3_20_357_0,NA,NA
Jharkhand,Ramgarh,3_20_361_0,3_20_360_0,NA,Ramgarh district split from Hazaribagh
Jharkhand,Ranchi,3_20_364_0,3_20_364_0,NA,Khunti district split from Ranchi;
Jharkhand,Sahibganj,3_20_352_0,3_20_352_0,NA,NA
Jharkhand,Saraikela-Kharsawan,3_20_369_0,3_20_368_0,NA,Seraikela district split from Pashchim Singhbhum
Jharkhand,Simdega,3_20_367_0,3_20_366_0,NA,Simdega district split from Gumla
Karnataka,Bagalkot,3_29_556_0,3_29_556_0,NA,NA
Karnataka,Bangalore,3_29_572_0,3_29_572_0,NA,NA
Karnataka,Bangalore Rural,3_29_583_0,3_29_583_0,1102,Ramanagara district split from Bangalore Rural
Karnataka,Belgaum,3_29_555_0,3_29_555_0,1103,NA
Karnataka,Bellary,3_29_565_0,3_29_565_0,1104,NA
Karnataka,Bidar,3_29_558_0,3_29_558_0,1105,NA
Karnataka,Bijapur,3_29_557_0,3_29_557_0,1106,NA
Karnataka,Chamarajanagar,3_29_578_0,3_29_578_0,NA,NA
Karnataka,Chikkaballapura,3_29_582_0,3_29_581_0,NA,Chikkaballapur district split from Kolar
Karnataka,Chikmagalur,3_29_570_0,3_29_570_0,1107,NA
Karnataka,Chitradurga,3_29_566_0,3_29_566_0,1108,NA
Karnataka,Dakshina Kannada,3_29_575_0,3_29_575_0,NA,NA
Karnataka,Davanagere,3_29_567_0,3_29_567_0,NA,NA
Karnataka,Dharwad,3_29_562_0,3_29_562_0,1110,NA
Karnataka,Gadag,3_29_561_0,3_29_561_0,NA,NA
Karnataka,Gulbarga,3_29_579_0,3_29_579_0,1111,Yadgir district split from Gulbarga
Karnataka,Hassan,3_29_574_0,3_29_574_0,1112,NA
Karnataka,Haveri,3_29_564_0,3_29_564_0,NA,NA
Karnataka,Kodagu,3_29_576_0,3_29_576_0,1113,NA
Karnataka,Kolar,3_29_581_0,3_29_581_0,1114,Chikkaballapur district split from Kolar
Karnataka,Koppal,3_29_560_0,3_29_560_0,NA,NA
Karnataka,Mandya,3_29_573_0,3_29_573_0,1115,NA
Karnataka,Mysore,3_29_577_0,3_29_577_0,1116,NA
Karnataka,Raichur,3_29_559_0,3_29_559_0,1117,NA
Karnataka,Ramanagara,3_29_584_0,3_29_583_0,NA,Ramanagara district split from Bangalore Rural
Karnataka,Shimoga,3_29_568_0,3_29_568_0,1118,NA
Karnataka,Tumkur,3_29_571_0,3_29_571_0,1119,NA
Karnataka,Udupi,3_29_569_0,3_29_569_0,NA,NA
Karnataka,Uttara Kannada,3_29_563_0,3_29_563_0,NA,NA
Karnataka,Yadgir,3_29_580_0,3_29_579_0,NA,Yadgir district split from Gulbarga
Kerala,Alappuzha,3_32_598_0,3_32_598_0,1211,NA
Kerala,Ernakulam,3_32_595_0,3_32_595_0,1208,NA
Kerala,Idukki,3_32_596_0,3_32_596_0,1209,NA
Kerala,Kannur,3_32_589_0,3_32_589_0,1202,NA
Kerala,Kasaragod,3_32_588_0,3_32_588_0,NA,NA
Kerala,Kollam,3_32_600_0,3_32_600_0,1213,NA
Kerala,Kottayam,3_32_597_0,3_32_597_0,1210,NA
Kerala,Kozhikode,3_32_591_0,3_32_591_0,1204,NA
Kerala,Malappuram,3_32_592_0,3_32_592_0,NA,NA
Kerala,Palakkad,3_32_593_0,3_32_593_0,1206,NA
Kerala,Pathanamthitta,3_32_599_0,3_32_599_0,1212,NA
Kerala,Thiruvananthapuram,3_32_601_0,3_32_601_0,1214,NA
Kerala,Thrissur,3_32_594_0,3_32_594_0,1207,NA
Kerala,Wayanad,3_32_590_0,3_32_590_0,1203,NA
Lakshadweep,Lakshadweep,3_31_587_0,3_31_587_0,3201,NA
Madhya Pradesh,Alirajpur,3_23_465_0,3_23_464_0,NA,Alirajpur district split from Jhabua
Madhya Pradesh,Anuppur,3_23_461_0,3_23_460_0,NA,Anuppur district split from Shahdol
Madhya Pradesh,Ashoknagar,3_23_459_0,3_23_458_0,NA,Ashoknagar district split from Guna
Madhya Pradesh,Balaghat,3_23_457_0,3_23_457_0,1338,NA
Madhya Pradesh,Barwani,3_23_441_0,3_23_441_0,NA,NA
Madhya Pradesh,Betul,3_23_447_0,3_23_447_0,1331,NA
Madhya Pradesh,Bhind,3_23_420_0,3_23_420_0,1302,NA
Madhya Pradesh,Bhopal,3_23_444_0,3_23_444_0,1328,NA
Madhya Pradesh,Burhanpur,3_23_467_0,3_23_466_0,NA,Burhanpur district split from Khandwa (East Nimar)
Madhya Pradesh,Chhatarpur,3_23_425_0,3_23_425_0,1308,NA
Madhya Pradesh,Chhindwara,3_23_455_0,3_23_455_0,1336,NA
Madhya Pradesh,Damoh,3_23_428_0,3_23_428_0,1311,NA
Madhya Pradesh,Datia,3_23_422_0,3_23_422_0,1304,NA
Madhya Pradesh,Dewas,3_23_437_0,3_23_437_0,1320,NA
Madhya Pradesh,Dhar,3_23_438_0,3_23_438_0,1322,NA
Madhya Pradesh,Dindori,3_23_453_0,3_23_453_0,NA,NA
Madhya Pradesh,Guna,3_23_458_0,3_23_458_0,1306,Ashoknagar district split from Guna
Madhya Pradesh,Gwalior,3_23_421_0,3_23_421_0,1303,NA
Madhya Pradesh,Harda,3_23_448_0,3_23_448_0,NA,NA
Madhya Pradesh,Hoshangabad,3_23_449_0,3_23_449_0,1332,NA
Madhya Pradesh,Indore,3_23_439_0,3_23_439_0,1323,NA
Madhya Pradesh,Jabalpur,3_23_451_0,3_23_451_0,1333,NA
Madhya Pradesh,Jhabua,3_23_464_0,3_23_464_0,1321,Alirajpur district split from Jhabua
Madhya Pradesh,Katni,3_23_450_0,3_23_450_0,NA,NA
Madhya Pradesh,Khandwa (East Nimar),3_23_466_0,3_23_466_0,1325,Burhanpur district split from Khandwa (East Nimar)
Madhya Pradesh,Khargone (West Nimar),3_23_440_0,3_23_440_0,1324,NA
Madhya Pradesh,Mandla,3_23_454_0,3_23_454_0,1335,NA
Madhya Pradesh,Mandsaur,3_23_433_0,3_23_433_0,1316,NA
Madhya Pradesh,Morena,3_23_419_0,3_23_419_0,1301,NA
Madhya Pradesh,Narsimhapur,3_23_452_0,3_23_452_0,1334,NA
Madhya Pradesh,Neemuch,3_23_432_0,3_23_432_0,NA,NA
Madhya Pradesh,Panna,3_23_426_0,3_23_426_0,1309,NA
Madhya Pradesh,Raisen,3_23_446_0,3_23_446_0,1330,NA
Madhya Pradesh,Rajgarh,3_23_442_0,3_23_442_0,1326,NA
Madhya Pradesh,Ratlam,3_23_434_0,3_23_434_0,1317,NA
Madhya Pradesh,Rewa,3_23_430_0,3_23_430_0,1313,NA
Madhya Pradesh,Sagar,3_23_427_0,3_23_427_0,1310,NA
Madhya Pradesh,Satna,3_23_429_0,3_23_429_0,1312,NA
Madhya Pradesh,Sehore,3_23_445_0,3_23_445_0,1329,NA
Madhya Pradesh,Seoni,3_23_456_0,3_23_456_0,1337,NA
Madhya Pradesh,Shahdol,3_23_460_0,3_23_460_0,NA,Anuppur district split from Shahdol
Madhya Pradesh,Shajapur,3_23_436_0,3_23_436_0,1319,NA
Madhya Pradesh,Sheopur,3_23_418_0,3_23_418_0,NA,NA
Madhya Pradesh,Shivpuri,3_23_423_0,3_23_423_0,1305,NA
Madhya Pradesh,Sidhi,3_23_462_0,3_23_462_0,1315,Singrauli district split from Sidhi
Madhya Pradesh,Singrauli,3_23_463_0,3_23_462_0,NA,Singrauli district split from Sidhi
Madhya Pradesh,Tikamgarh,3_23_424_0,3_23_424_0,1307,NA
Madhya Pradesh,Ujjain,3_23_435_0,3_23_435_0,1318,NA
Madhya Pradesh,Umaria,3_23_431_0,3_23_431_0,NA,NA
Madhya Pradesh,Vidisha,3_23_443_0,3_23_443_0,1327,NA
Maharashtra,Ahmadnagar,3_27_522_0,3_27_522_0,1409,NA
Maharashtra,Akola,3_27_501_0,3_27_501_0,1423,NA
Maharashtra,Amravati,3_27_503_0,3_27_503_0,NA,NA
Maharashtra,Aurangabad,3_27_515_0,3_27_515_0,1415,NA
Maharashtra,Bhandara,3_27_506_0,3_27_506_0,1428,NA
Maharashtra,Bid,3_27_523_0,3_27_523_0,1418,NA
Maharashtra,Buldana,3_27_500_0,3_27_500_0,1422,NA
Maharashtra,Chandrapur,3_27_509_0,3_27_509_0,1429,NA
Maharashtra,Dhule,3_27_498_0,3_27_498_0,1407,NA
