spatialId,spatialState,spatialDistrict,nss2001State,nss2001District,nss2010State,nss2010District,finalId,Note
3_6_88_0,Haryana,Faridabad,Haryana,Faridabad,Haryana,Faridabad,3_6_88_0,Palwal district split from Faridabad
3_6_78_0,Haryana,Fatehabad,Haryana,Fatehabad,Haryana,Fatehabad,3_6_78_0,NA
3_6_86_0,Haryana,Gurgaon,Haryana,Gurgaon,Haryana,Gurgaon,3_6_86_0,Mewat district split from Gurgaon
3_6_80_0,Haryana,Hisar,Haryana,Hisar,Haryana,Hisar,3_6_80_0,NA
3_6_83_0,Haryana,Jhajjar,Haryana,Jhajjar,Haryana,Jhajjar,3_6_83_0,NA
3_6_77_0,Haryana,Jind,Haryana,Jind,Haryana,Jind,3_6_77_0,NA
3_6_73_0,Haryana,Kaithal,Haryana,Kaithal,Haryana,Kaithal,3_6_73_0,NA
3_6_74_0,Haryana,Karnal,Haryana,Karnal,Haryana,Karnal,3_6_74_0,NA
3_6_72_0,Haryana,Kurukshetra,Haryana,Kurukshetra,Haryana,Kurukshetra,3_6_72_0,NA
3_6_84_0,Haryana,Mahendragarh,Haryana,Mahendragarh,Haryana,Mahendragarh,3_6_84_0,NA
3_6_87_0,Haryana,Mewat,NA,NA,Haryana,Mewat,3_6_86_0,Mewat district split from Gurgaon
3_6_89_0,Haryana,Palwal,NA,NA,NA,NA,3_6_88_0,Palwal district split from Faridabad
3_6_69_0,Haryana,Panchkula,Haryana,Panchkula,Haryana,Panchkula,3_6_69_0,NA
3_6_75_0,Haryana,Panipat,Haryana,Panipat,Haryana,Panipat,3_6_75_0,NA
3_6_85_0,Haryana,Rewari,Haryana,Rewari,Haryana,Rewari,3_6_85_0,NA
3_6_82_0,Haryana,Rohtak,Haryana,Rohtak,Haryana,Rohtak,3_6_82_0,NA
3_6_79_0,Haryana,Sirsa,Haryana,Sirsa,Haryana,Sirsa,3_6_79_0,NA
3_6_76_0,Haryana,Sonipat,Haryana,Sonipat,Haryana,Sonipat,3_6_76_0,NA
3_6_71_0,Haryana,Yamunanagar,Haryana,Yamunanagar,Haryana,Yamunanagar,3_6_71_0,NA
3_2_30_0,Himachal Pradesh,Bilaspur,Himachal Pradesh,Bilaspur,Himachal Pradesh,Bilaspur,3_2_30_0,NA
3_2_23_0,Himachal Pradesh,Chamba,Himachal Pradesh,Chamba,Himachal Pradesh,Chamba,3_2_23_0,NA
3_2_28_0,Himachal Pradesh,Hamirpur,Himachal Pradesh,Hamirpur,Himachal Pradesh,Hamirpur,3_2_28_0,NA
3_2_24_0,Himachal Pradesh,Kangra,Himachal Pradesh,Kangra,Himachal Pradesh,Kangra,3_2_24_0,NA
3_2_34_0,Himachal Pradesh,Kinnaur,Himachal Pradesh,Kinnaur,Himachal Pradesh,Kinnaur,3_2_34_0,NA
3_2_26_0,Himachal Pradesh,Kullu,Himachal Pradesh,Kullu,Himachal Pradesh,Kullu,3_2_26_0,NA
3_2_25_0,Himachal Pradesh,Lahul & Spiti,Himachal Pradesh,Lahul & Spiti,Himachal Pradesh,Lahul & Spiti,3_2_25_0,NA
3_2_27_0,Himachal Pradesh,Mandi,Himachal Pradesh,Mandi,Himachal Pradesh,Mandi,3_2_27_0,NA
3_2_33_0,Himachal Pradesh,Shimla,Himachal Pradesh,Shimla,Himachal Pradesh,Shimla,3_2_33_0,NA
