spatialId,spatialState,spatialDistrict,NSS2010_state,NSS2010_dist,finalId,note,Note
3_24_469_0,Gujarat,Banas Kantha,Gujarat,Bans Kantha,NA,,NA
3_24_488_0,Gujarat,Bharuch,Gujarat,Bharuch,3_24_488_0,,NA
3_24_481_0,Gujarat,Bhavnagar,Gujarat,Bhavnagar,3_24_481_0,,NA
3_24_485_0,Gujarat,Dohad,Gujarat,Dohad,3_24_485_0,Panchmahal split 1997,NA
3_24_473_0,Gujarat,Gandhinagar,Gujarat,Gandhinagar,3_24_473_0,,NA
3_24_477_0,Gujarat,Jamnagar,Gujarat,Jamnagar,3_24_477_0,,NA
3_24_479_0,Gujarat,Junagadh,Gujarat,Junagadh,3_24_479_0,,NA
3_24_468_0,Gujarat,Kachchh,Gujarat,Kachchh,3_24_468_0,,NA
3_24_483_0,Gujarat,Kheda,Gujarat,Kheda,3_24_483_0,,NA
3_24_471_0,Gujarat,Mahesana,Gujarat,Mahesana,3_24_471_0,,NA
3_24_487_0,Gujarat,Narmada,Gujarat,Narmada,3_24_487_0,Vadodara + Bharuch 1997,NA
3_24_490_0,Gujarat,Navsari,Gujarat,Navsari,3_24_490_0,Valsad split 1992,NA
3_24_484_0,Gujarat,Panch Mahals,Gujarat,Panch Mahals,3_24_484_0,,NA
3_24_470_0,Gujarat,Patan,Gujarat,Patan,3_24_470_0,Mehsana + Banaskantha 2000,NA
3_24_478_0,Gujarat,Porbandar,Gujarat,Porbandar,3_24_478_0,Junagadh split,NA
3_24_476_0,Gujarat,Rajkot,Gujarat,Rajkot,3_24_476_0,,NA
3_24_472_0,Gujarat,Sabar Kantha,Gujarat,Sabar Kantha,3_24_472_0,,NA
3_24_492_0,Gujarat,Surat,Gujarat,Surat,3_24_492_0,,NA
3_24_475_0,Gujarat,Surendranagar,Gujarat,Surendranagar,3_24_475_0,,NA
3_24_489_0,Gujarat,The Dangs,Gujarat,The Dangs,3_24_489_0,,NA
3_24_486_0,Gujarat,Vadodara,Gujarat,Vadodara,3_24_486_0,,NA
3_24_491_0,Gujarat,Valsad,Gujarat,Valsad,3_24_491_0,,NA
3_6_70_0,Haryana,Ambala,Haryana,Ambala,3_6_70_0,,NA
3_6_81_0,Haryana,Bhiwani,Haryana,Bhiwani,3_6_81_0,,NA
3_6_88_0,Haryana,Faridabad,Haryana,Faridabad,3_6_88_0,,NA
3_6_78_0,Haryana,Fatehabad,Haryana,Fatehabad,3_6_78_0,Hisar split 1997,NA
3_6_86_0,Haryana,Gurgaon,Haryana,Gurgaon,3_6_86_0,,Mewat district split from Gurgaon
3_6_80_0,Haryana,Hisar,Haryana,Hisar,3_6_80_0,,NA
3_6_83_0,Haryana,Jhajjar,Haryana,Jhajjar,3_6_83_0,Rohtak split 1997,NA
3_6_77_0,Haryana,Jind,Haryana,Jind,3_6_77_0,,NA
3_6_73_0,Haryana,Kaithal,Haryana,Kaithal,3_6_73_0,Kurukshetra split 1989,NA
3_6_74_0,Haryana,Karnal,Haryana,Karnal,3_6_74_0,,NA
3_6_72_0,Haryana,Kurukshetra,Haryana,Kurukshetra,3_6_72_0,,NA
3_6_84_0,Haryana,Mahendragarh,Haryana,Mahendragarh,3_6_84_0,,NA
