id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,area,pop,dens
3_15_282_0,2001,Urban,3,India,15,Mizoram,282,Kolasib,74.10000000000001,36.5,493
3_15_283_0,2001,Rural,3,India,15,Mizoram,283,Aizawl,3021,77.5,25.7
3_15_283_0,2001,Total,3,India,15,Mizoram,283,Aizawl,3174,326,103
3_15_283_0,2001,Urban,3,India,15,Mizoram,283,Aizawl,153,248,1626
3_15_284_0,2001,Rural,3,India,15,Mizoram,284,Champhai,3408,65.7,19.3
3_15_284_0,2001,Total,3,India,15,Mizoram,284,Champhai,3497,108,30.8
3_15_284_0,2001,Urban,3,India,15,Mizoram,284,Champhai,88.80000000000001,42,473
3_15_285_0,2001,Rural,3,India,15,Mizoram,285,Serchhip,1209,28.6,23.6
3_15_285_0,2001,Total,3,India,15,Mizoram,285,Serchhip,1318,54.5,41.3
3_15_285_0,2001,Urban,3,India,15,Mizoram,285,Serchhip,110,25.9,236
3_15_286_0,2001,Rural,3,India,15,Mizoram,286,Lunglei,4418,79.30000000000001,17.9
3_15_286_0,2001,Total,3,India,15,Mizoram,286,Lunglei,4520,137,30.4
3_15_286_0,2001,Urban,3,India,15,Mizoram,286,Lunglei,102,58,567
3_15_287_0,2001,Rural,3,India,15,Mizoram,287,Lawngtlai,2350,87.60000000000001,37.3
3_15_287_0,2001,Total,3,India,15,Mizoram,287,Lawngtlai,2350,87.60000000000001,37.3
3_15_287_0,2001,Urban,3,India,15,Mizoram,287,Lawngtlai,0,0,
3_15_288_0,2001,Rural,3,India,15,Mizoram,288,Saiha,1453,27.3,18.8
3_15_288_0,2001,Total,3,India,15,Mizoram,288,Saiha,1477,47.1,31.9
3_15_288_0,2001,Urban,3,India,15,Mizoram,288,Saiha,23.2,19.8,855
3_16_289_0,2001,Rural,3,India,16,Tripura,289,West Tripura,2857,1111,389
3_16_289_0,2001,Total,3,India,16,Tripura,289,West Tripura,2973,1441,485
3_16_289_0,2001,Urban,3,India,16,Tripura,289,West Tripura,116,331,2860
3_16_290_0,2001,Rural,3,India,16,Tripura,290,South Tripura,3096,701,226
3_16_290_0,2001,Total,3,India,16,Tripura,290,South Tripura,3119,755,242
3_16_290_0,2001,Urban,3,India,16,Tripura,290,South Tripura,23.5,54.1,2307
3_16_291_0,2001,Rural,3,India,16,Tripura,291,Dhalai,2262,289,128
3_16_291_0,2001,Total,3,India,16,Tripura,291,Dhalai,2281,308,135
3_16_291_0,2001,Urban,3,India,16,Tripura,291,Dhalai,19.2,18.9,985
3_16_292_0,2001,Rural,3,India,16,Tripura,292,North Tripura,2033,520,256
3_16_292_0,2001,Total,3,India,16,Tripura,292,North Tripura,2067,583,282
3_16_292_0,2001,Urban,3,India,16,Tripura,292,North Tripura,33.7,62.7,1857
3_17_293_0,2001,Rural,3,India,17,Meghalaya,293,West Garo Hills,3439,444,129
3_17_293_0,2001,Total,3,India,17,Meghalaya,293,West Garo Hills,3444,503,146
3_17_293_0,2001,Urban,3,India,17,Meghalaya,293,West Garo Hills,5.600000000000001,59,10450
3_17_294_0,2001,Rural,3,India,17,Meghalaya,294,East Garo Hills,2707,211,78
3_17_294_0,2001,Total,3,India,17,Meghalaya,294,East Garo Hills,2756,247,89.7
3_17_294_0,2001,Urban,3,India,17,Meghalaya,294,East Garo Hills,49.3,35.9,729
3_17_295_0,2001,Rural,3,India,17,Meghalaya,295,South Garo Hills,1965,99.60000000000001,50.7
3_17_295_0,2001,Total,3,India,17,Meghalaya,295,South Garo Hills,1971,108,54.90000000000001
3_17_295_0,2001,Urban,3,India,17,Meghalaya,295,South Garo Hills,6.800000000000001,8.6,1277
3_17_296_0,2001,Rural,3,India,17,Meghalaya,296,West Khasi Hills,5029,254,50.6
3_17_296_0,2001,Total,3,India,17,Meghalaya,296,West Khasi Hills,5121,289,56.40000000000001
3_17_296_0,2001,Urban,3,India,17,Meghalaya,296,West Khasi Hills,92.40000000000001,34.6,374
3_17_297_0,2001,Rural,3,India,17,Meghalaya,297,Ribhoi,2398,177,73.90000000000001
3_17_297_0,2001,Total,3,India,17,Meghalaya,297,Ribhoi,2434,190,78.2
3_17_297_0,2001,Urban,3,India,17,Meghalaya,297,Ribhoi,36.7,13.2,359
3_17_298_0,2001,Rural,3,India,17,Meghalaya,298,East Khasi Hills,2803,360,128
3_17_298_0,2001,Total,3,India,17,Meghalaya,298,East Khasi Hills,2838,638,225
3_17_298_0,2001,Urban,3,India,17,Meghalaya,298,East Khasi Hills,35,278,7933
3_17_299_0,2001,Rural,3,India,17,Meghalaya,299,Jaintia Hills,3777,264,70
3_17_299_0,2001,Total,3,India,17,Meghalaya,299,Jaintia Hills,3793,290,76.3
3_17_299_0,2001,Urban,3,India,17,Meghalaya,299,Jaintia Hills,15.7,25.1,1593
3_18_300_0,2001,Rural,3,India,18,Assam,300,Kokrajhar,3137,791,252
3_18_300_0,2001,Total,3,India,18,Assam,300,Kokrajhar,3147,843,268
3_18_300_0,2001,Urban,3,India,18,Assam,300,Kokrajhar,10.1,51.5,5118
