id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,elev,rough,irr_all,ac_irr,irr_gw,irr_sw,lcrt
3_21_395_0,2001,Total,3,India,21,Odisha,395,Kalahandi,376,205,,,,,
3_21_396_0,2001,Total,3,India,21,Odisha,396,Rayagada,480,253,,,,,
3_21_397_0,2001,Total,3,India,21,Odisha,397,Nabarangapur,595,81.30000000000001,,,,,
3_21_398_0,2001,Total,3,India,21,Odisha,398,Koraput,758,217,,,,,
3_21_399_0,2001,Total,3,India,21,Odisha,399,Malkangiri,329,214,,,,,
3_22_400_0,2001,Total,3,India,22,Chhattisgarh,400,Koriya,598,117,,,,,
3_22_401_0,2001,Total,3,India,22,Chhattisgarh,401,Surguja,600,166,,,,,
3_22_402_0,2001,Total,3,India,22,Chhattisgarh,402,Jashpur,647,209,,,,,
3_22_403_0,2001,Total,3,India,22,Chhattisgarh,403,Raigarh,341,137,,,,,
3_22_404_0,2001,Total,3,India,22,Chhattisgarh,404,Korba,421,132,,,,,
3_22_405_0,2001,Total,3,India,22,Chhattisgarh,405,Janjgir - Champa,248,34.3,,,,,
3_22_406_0,2001,Total,3,India,22,Chhattisgarh,406,Bilaspur,402,154,,,,,
3_22_407_0,2001,Total,3,India,22,Chhattisgarh,407,Kabeerdham,483,177,,,,,
3_22_408_0,2001,Total,3,India,22,Chhattisgarh,408,Rajnandgaon,384,90.7,,,,,
3_22_409_0,2001,Total,3,India,22,Chhattisgarh,409,Durg,310,43.2,,,,,
3_22_410_0,2001,Total,3,India,22,Chhattisgarh,410,Raipur,332,107,,,,,
3_22_411_0,2001,Total,3,India,22,Chhattisgarh,411,Mahasamund,301,40.7,,,,,
3_22_412_0,2001,Total,3,India,22,Chhattisgarh,412,Dhamtari,391,81.2,,,,,
3_22_413_0,2001,Total,3,India,22,Chhattisgarh,413,Uttar Bastar Kanker,426,109,,,,,
3_22_414_0,2001,Total,3,India,22,Chhattisgarh,414,Bastar,600,75.8,,,,,
3_22_415_0,2001,Total,3,India,22,Chhattisgarh,415,Narayanpur,601,118,,,,,
3_22_416_0,2001,Total,3,India,22,Chhattisgarh,416,Dakshin Bastar Dantewada,325,180,,,,,
3_22_417_0,2001,Total,3,India,22,Chhattisgarh,417,Bijapur,283,115,,,,,
3_23_418_0,2001,Total,3,India,23,Madhya Pradesh,418,Sheopur,303,81.2,,,,,
3_23_419_0,2001,Total,3,India,23,Madhya Pradesh,419,Morena,198,54.7,,,,,
3_23_420_0,2001,Total,3,India,23,Madhya Pradesh,420,Bhind,151,11.6,,,,,
3_23_421_0,2001,Total,3,India,23,Madhya Pradesh,421,Gwalior,255,57,,,,,
3_23_422_0,2001,Total,3,India,23,Madhya Pradesh,422,Datia,202,37.3,,,,,
3_23_423_0,2001,Total,3,India,23,Madhya Pradesh,423,Shivpuri,383,68.8,,,,,
3_23_424_0,2001,Total,3,India,23,Madhya Pradesh,424,Tikamgarh,288,45.40000000000001,,,,,
3_23_425_0,2001,Total,3,India,23,Madhya Pradesh,425,Chhatarpur,287,101,,,,,
3_23_426_0,2001,Total,3,India,23,Madhya Pradesh,426,Panna,363,86.5,,,,,
3_23_427_0,2001,Total,3,India,23,Madhya Pradesh,427,Sagar,461,50.8,,,,,
3_23_428_0,2001,Total,3,India,23,Madhya Pradesh,428,Damoh,393,63.1,,,,,
3_23_429_0,2001,Total,3,India,23,Madhya Pradesh,429,Satna,358,72.8,,,,,
