id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,edu_lit_7_t,edu_lit_7_f,edu_lit_7_m
3_12_258_1,2001,Rural,3,India,12,India/China  1,258,Lower Dibang Valley,53.2,42.40000000000001,62.5
3_12_258_0,2001,Rural,3,India,12,Arunachal Pradesh,258,Lower Dibang Valley,53.2,42.40000000000001,62.5
3_12_258_0,2001,Total,3,India,12,Arunachal Pradesh,258,Lower Dibang Valley,59.8,49.40000000000001,68.5
3_12_258_1,2001,Total,3,India,12,India/China  1,258,Lower Dibang Valley,59.8,49.40000000000001,68.5
3_12_258_1,2001,Urban,3,India,12,India/China  1,258,Lower Dibang Valley,84.5,78.10000000000001,89.30000000000001
3_12_258_0,2001,Urban,3,India,12,Arunachal Pradesh,258,Lower Dibang Valley,84.5,78.10000000000001,89.30000000000001
3_12_259_1,2001,Rural,3,India,12,India/China  1,259,Lohit,53.40000000000001,42,63.3
3_12_259_0,2001,Rural,3,India,12,Arunachal Pradesh,259,Lohit,53.40000000000001,42,63.3
3_12_259_1,2001,Total,3,India,12,India/China  1,259,Lohit,58.7,47.90000000000001,67.90000000000001
3_12_259_0,2001,Total,3,India,12,Arunachal Pradesh,259,Lohit,58.7,47.90000000000001,67.90000000000001
3_12_259_0,2001,Urban,3,India,12,Arunachal Pradesh,259,Lohit,77.2,69.3,83.40000000000001
3_12_259_1,2001,Urban,3,India,12,India/China  1,259,Lohit,77.2,69.3,83.40000000000001
3_12_260_0,2001,Rural,3,India,12,Arunachal Pradesh,260,Anjaw,38.3,21.6,51.6
3_12_260_1,2001,Rural,3,India,12,India/China  1,260,Anjaw,38.3,21.6,51.6
3_12_260_0,2001,Total,3,India,12,Arunachal Pradesh,260,Anjaw,38.3,21.6,51.6
3_12_260_1,2001,Total,3,India,12,India/China  1,260,Anjaw,38.3,21.6,51.6
3_12_260_1,2001,Urban,3,India,12,India/China  1,260,Anjaw,,,
3_12_260_0,2001,Urban,3,India,12,Arunachal Pradesh,260,Anjaw,,,
3_13_261_0,2001,Rural,3,India,13,Nagaland,261,Mon,39.2,33.8,43.90000000000001
3_13_261_0,2001,Total,3,India,13,Nagaland,261,Mon,41.8,36.4,46.6
3_13_261_0,2001,Urban,3,India,13,Nagaland,261,Mon,81.30000000000001,76.3,85.2
3_13_262_0,2001,Rural,3,India,13,Nagaland,262,Mokokchung,82.7,80.10000000000001,85.10000000000001
3_13_262_0,2001,Total,3,India,13,Nagaland,262,Mokokchung,83.90000000000001,81.60000000000001,86
3_13_262_0,2001,Urban,3,India,13,Nagaland,262,Mokokchung,92.10000000000001,92.40000000000001,91.80000000000001
3_13_263_0,2001,Rural,3,India,13,Nagaland,263,Zunheboto,57,52.1,61.5
3_13_263_0,2001,Total,3,India,13,Nagaland,263,Zunheboto,60,55.1,64.40000000000001
3_13_263_0,2001,Urban,3,India,13,Nagaland,263,Zunheboto,85.40000000000001,82.7,87.60000000000001
3_13_264_0,2001,Rural,3,India,13,Nagaland,264,Wokha,77.2,71.40000000000001,82.7
3_13_264_0,2001,Total,3,India,13,Nagaland,264,Wokha,80.5,75.3,85.30000000000001
3_13_264_0,2001,Urban,3,India,13,Nagaland,264,Wokha,91.40000000000001,89.10000000000001,93.30000000000001
3_13_265_0,2001,Rural,3,India,13,Nagaland,265,Dimapur,75.5,69.7,80.30000000000001
3_13_265_0,2001,Total,3,India,13,Nagaland,265,Dimapur,76.80000000000001,71.8,81
3_13_265_0,2001,Urban,3,India,13,Nagaland,265,Dimapur,79.10000000000001,75.2,82.30000000000001
3_13_266_0,2001,Rural,3,India,13,Nagaland,266,Phek,68.90000000000001,60.6,76.7
3_13_266_0,2001,Total,3,India,13,Nagaland,266,Phek,70.60000000000001,62.3,78.40000000000001
3_13_266_0,2001,Urban,3,India,13,Nagaland,266,Phek,89.10000000000001,82.5,94
3_13_267_0,2001,Rural,3,India,13,Nagaland,267,Tuensang,48.3,43.3,52.7
3_13_267_0,2001,Total,3,India,13,Nagaland,267,Tuensang,50.6,45.6,55.1
3_13_267_0,2001,Urban,3,India,13,Nagaland,267,Tuensang,81.40000000000001,78.10000000000001,83.90000000000001
3_13_268_0,2001,Rural,3,India,13,Nagaland,268,Longleng,48.3,43.3,52.7
3_13_268_0,2001,Total,3,India,13,Nagaland,268,Longleng,50.6,45.6,55.1
3_13_268_0,2001,Urban,3,India,13,Nagaland,268,Longleng,81.40000000000001,78.10000000000001,83.90000000000001
3_13_269_0,2001,Rural,3,India,13,Nagaland,269,Kiphire,48.3,43.3,52.7
3_13_269_0,2001,Total,3,India,13,Nagaland,269,Kiphire,50.6,45.6,55.1
3_13_269_0,2001,Urban,3,India,13,Nagaland,269,Kiphire,81.40000000000001,78.10000000000001,83.90000000000001
3_13_270_0,2001,Rural,3,India,13,Nagaland,270,Kohima,73,66.60000000000001,78.60000000000001
3_13_270_0,2001,Total,3,India,13,Nagaland,270,Kohima,75.7,70,80.7
3_13_270_0,2001,Urban,3,India,13,Nagaland,270,Kohima,82.90000000000001,78.90000000000001,86.2
3_13_271_0,2001,Rural,3,India,13,Nagaland,271,Peren,70.5,63.5,76.90000000000001
3_13_271_0,2001,Total,3,India,13,Nagaland,271,Peren,74.5,68.10000000000001,80.30000000000001
3_13_271_0,2001,Urban,3,India,13,Nagaland,271,Peren,86.7,82.7,90.10000000000001
3_14_272_0,2001,Rural,3,India,14,Manipur,272,Senapati,59.8,51.2,67.90000000000001
3_14_272_0,2001,Total,3,India,14,Manipur,272,Senapati,59.8,51.2,67.90000000000001
3_14_272_0,2001,Urban,3,India,14,Manipur,272,Senapati,,,
3_14_273_0,2001,Rural,3,India,14,Manipur,273,Tamenglong,59.2,49,68.7
3_14_273_0,2001,Total,3,India,14,Manipur,273,Tamenglong,59.2,49,68.7
3_14_273_0,2001,Urban,3,India,14,Manipur,273,Tamenglong,,,
3_14_274_0,2001,Rural,3,India,14,Manipur,274,Churachandpur,70.60000000000001,63.1,77.7
3_14_274_0,2001,Total,3,India,14,Manipur,274,Churachandpur,70.60000000000001,63.1,77.7
3_14_274_0,2001,Urban,3,India,14,Manipur,274,Churachandpur,,,
3_14_275_0,2001,Rural,3,India,14,Manipur,275,Bishnupur,63.90000000000001,51.3,76.40000000000001
3_14_275_0,2001,Total,3,India,14,Manipur,275,Bishnupur,67.60000000000001,55.7,79.60000000000001
3_14_275_0,2001,Urban,3,India,14,Manipur,275,Bishnupur,74.3,63.3,85.30000000000001
3_14_276_0,2001,Rural,3,India,14,Manipur,276,Thoubal,62.3,47.40000000000001,77.2
3_14_276_0,2001,Total,3,India,14,Manipur,276,Thoubal,66.40000000000001,52.5,80.40000000000001
3_14_276_0,2001,Urban,3,India,14,Manipur,276,Thoubal,73.60000000000001,61.2,86
3_14_277_0,2001,Rural,3,India,14,Manipur,277,Imphal West,76,66,86
3_14_277_0,2001,Total,3,India,14,Manipur,277,Imphal West,80.2,71.3,89.2
