id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,hh_wtr_t,hh_snt2_t
3_14_274_0,2001,Rural,3,India,14,Manipur,274,Churachandpur,23.2,59.7
3_14_274_0,2001,Total,3,India,14,Manipur,274,Churachandpur,23.2,59.7
3_14_274_0,2001,Urban,3,India,14,Manipur,274,Churachandpur,,
3_14_275_0,2001,Rural,3,India,14,Manipur,275,Bishnupur,18.4,88.90000000000001
3_14_275_0,2001,Total,3,India,14,Manipur,275,Bishnupur,21.2,90.2
3_14_275_0,2001,Urban,3,India,14,Manipur,275,Bishnupur,26.4,92.5
3_14_276_0,2001,Rural,3,India,14,Manipur,276,Thoubal,11.4,90.5
3_14_276_0,2001,Total,3,India,14,Manipur,276,Thoubal,17.2,91.7
3_14_276_0,2001,Urban,3,India,14,Manipur,276,Thoubal,28,93.90000000000001
3_14_277_0,2001,Rural,3,India,14,Manipur,277,Imphal West,33.9,87.7
3_14_277_0,2001,Total,3,India,14,Manipur,277,Imphal West,48.7,86.10000000000001
3_14_277_0,2001,Urban,3,India,14,Manipur,277,Imphal West,60.5,84.80000000000001
3_14_278_0,2001,Rural,3,India,14,Manipur,278,Imphal East,20.9,81.7
3_14_278_0,2001,Total,3,India,14,Manipur,278,Imphal East,32,81.80000000000001
3_14_278_0,2001,Urban,3,India,14,Manipur,278,Imphal East,61,82.10000000000001
3_14_279_0,2001,Rural,3,India,14,Manipur,279,Ukhrul,26.8,59.5
3_14_279_0,2001,Total,3,India,14,Manipur,279,Ukhrul,26.8,59.5
3_14_279_0,2001,Urban,3,India,14,Manipur,279,Ukhrul,,
3_14_280_0,2001,Rural,3,India,14,Manipur,280,Chandel,18.8,57.1
3_14_280_0,2001,Total,3,India,14,Manipur,280,Chandel,19.1,62
3_14_280_0,2001,Urban,3,India,14,Manipur,280,Chandel,20.7,90.40000000000001
3_15_281_0,2001,Rural,3,India,15,Mizoram,281,Mamit,3.1,60.2
3_15_281_0,2001,Total,3,India,15,Mizoram,281,Mamit,2.6,65.60000000000001
3_15_281_0,2001,Urban,3,India,15,Mizoram,281,Mamit,.6000000000000001,89
3_15_282_0,2001,Rural,3,India,15,Mizoram,282,Kolasib,32,81.5
3_15_282_0,2001,Total,3,India,15,Mizoram,282,Kolasib,37.1,84.2
3_15_282_0,2001,Urban,3,India,15,Mizoram,282,Kolasib,41.2,86.30000000000001
3_15_283_0,2001,Rural,3,India,15,Mizoram,283,Aizawl,18.6,88
3_15_283_0,2001,Total,3,India,15,Mizoram,283,Aizawl,45,89.2
3_15_283_0,2001,Urban,3,India,15,Mizoram,283,Aizawl,53,89.5
3_15_284_0,2001,Rural,3,India,15,Mizoram,284,Champhai,32.6,82.5
3_15_284_0,2001,Total,3,India,15,Mizoram,284,Champhai,24,86.2
3_15_284_0,2001,Urban,3,India,15,Mizoram,284,Champhai,10.4,92
3_15_285_0,2001,Rural,3,India,15,Mizoram,285,Serchhip,36.9,83.80000000000001
3_15_285_0,2001,Total,3,India,15,Mizoram,285,Serchhip,34,86.80000000000001
3_15_285_0,2001,Urban,3,India,15,Mizoram,285,Serchhip,28.7,90.80000000000001
3_15_286_0,2001,Rural,3,India,15,Mizoram,286,Lunglei,19.5,66.90000000000001
3_15_286_0,2001,Total,3,India,15,Mizoram,286,Lunglei,36.3,76.80000000000001
3_15_286_0,2001,Urban,3,India,15,Mizoram,286,Lunglei,57.7,89.5
3_15_287_0,2001,Rural,3,India,15,Mizoram,287,Lawngtlai,20,67.10000000000001
3_15_287_0,2001,Total,3,India,15,Mizoram,287,Lawngtlai,21.2,68.40000000000001
3_15_287_0,2001,Urban,3,India,15,Mizoram,287,Lawngtlai,34.4,77.7
3_15_288_0,2001,Rural,3,India,15,Mizoram,288,Saiha,26.5,69
3_15_288_0,2001,Total,3,India,15,Mizoram,288,Saiha,28.9,71.60000000000001
3_15_288_0,2001,Urban,3,India,15,Mizoram,288,Saiha,34.4,77.7
3_16_289_0,2001,Rural,3,India,16,Tripura,289,West Tripura,40.7,70.7
3_16_289_0,2001,Total,3,India,16,Tripura,289,West Tripura,52.2,75.90000000000001
3_16_289_0,2001,Urban,3,India,16,Tripura,289,West Tripura,81.60000000000001,89.10000000000001
3_16_290_0,2001,Rural,3,India,16,Tripura,290,South Tripura,40.1,67.5
3_16_290_0,2001,Total,3,India,16,Tripura,290,South Tripura,43.8,69.10000000000001
3_16_290_0,2001,Urban,3,India,16,Tripura,290,South Tripura,84.40000000000001,86.80000000000001
3_16_291_0,2001,Rural,3,India,16,Tripura,291,Dhalai,25.2,64.7
3_16_291_0,2001,Total,3,India,16,Tripura,291,Dhalai,26.4,65.2
3_16_291_0,2001,Urban,3,India,16,Tripura,291,Dhalai,43.5,72.10000000000001
3_16_292_0,2001,Rural,3,India,16,Tripura,292,North Tripura,22.1,78.2
3_16_292_0,2001,Total,3,India,16,Tripura,292,North Tripura,26.8,79.2
3_16_292_0,2001,Urban,3,India,16,Tripura,292,North Tripura,60.40000000000001,86.60000000000001
3_17_293_0,2001,Rural,3,India,17,Meghalaya,293,West Garo Hills,20.2,34.1
3_17_293_0,2001,Total,3,India,17,Meghalaya,293,West Garo Hills,25.8,37.2
3_17_293_0,2001,Urban,3,India,17,Meghalaya,293,West Garo Hills,74.5,64.2
3_17_294_0,2001,Rural,3,India,17,Meghalaya,294,East Garo Hills,18.4,46.1
3_17_294_0,2001,Total,3,India,17,Meghalaya,294,East Garo Hills,22.7,49.7
3_17_294_0,2001,Urban,3,India,17,Meghalaya,294,East Garo Hills,56.6,75.3
3_17_295_0,2001,Rural,3,India,17,Meghalaya,295,South Garo Hills,22,35.4
3_17_295_0,2001,Total,3,India,17,Meghalaya,295,South Garo Hills,25.8,37.8
3_17_295_0,2001,Urban,3,India,17,Meghalaya,295,South Garo Hills,60.6,60.2
3_17_296_0,2001,Rural,3,India,17,Meghalaya,296,West Khasi Hills,23.5,19.4
3_17_296_0,2001,Total,3,India,17,Meghalaya,296,West Khasi Hills,27.6,26.5
3_17_296_0,2001,Urban,3,India,17,Meghalaya,296,West Khasi Hills,56.6,76.60000000000001
3_17_297_0,2001,Rural,3,India,17,Meghalaya,297,Ribhoi,31.7,52.1
3_17_297_0,2001,Total,3,India,17,Meghalaya,297,Ribhoi,32.3,53.2
3_17_297_0,2001,Urban,3,India,17,Meghalaya,297,Ribhoi,39.2,66.5
3_17_298_0,2001,Rural,3,India,17,Meghalaya,298,East Khasi Hills,45,26.3
3_17_298_0,2001,Total,3,India,17,Meghalaya,298,East Khasi Hills,58.7,50.6
3_17_298_0,2001,Urban,3,India,17,Meghalaya,298,East Khasi Hills,74.7,78.90000000000001
3_17_299_0,2001,Rural,3,India,17,Meghalaya,299,Jaintia Hills,13.1,22.5
3_17_299_0,2001,Total,3,India,17,Meghalaya,299,Jaintia Hills,16.4,27.3
3_17_299_0,2001,Urban,3,India,17,Meghalaya,299,Jaintia Hills,48.5,73.8
