id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,wkp_7_t,emp_7_t,wkp_7_f,emp_7_f,wkp_7_m,emp_7_m
3_12_254_0,2001,Urban,3,India,12,Arunachal Pradesh,254,Tirap,83.7,42.8,81.80000000000001,14.5,85.30000000000001,64.8
3_12_255_1,2001,Rural,3,India,12,India/China  1,255,Lower Subansiri,81.10000000000001,52.40000000000001,81,49.7,81.10000000000001,55
3_12_255_1,2001,Total,3,India,12,India/China  1,255,Lower Subansiri,81.5,49.7,81.40000000000001,44.3,81.60000000000001,54.90000000000001
3_12_255_1,2001,Urban,3,India,12,India/China  1,255,Lower Subansiri,82.80000000000001,40.6,82.5,25.3,83.10000000000001,54.5
3_12_256_1,2001,Rural,3,India,12,India/China  1,256,Kurung Kumey,81.90000000000001,65.3,81.60000000000001,67.5,82.2,63.1
3_12_256_1,2001,Total,3,India,12,India/China  1,256,Kurung Kumey,81.90000000000001,65.3,81.60000000000001,67.5,82.2,63.1
3_12_256_1,2001,Urban,3,India,12,India/China  1,256,Kurung Kumey,,,,,,
3_12_257_1,2001,Rural,3,India,12,India/China  1,257,Dibang Valley,84.7,60.90000000000001,82.7,45.3,86.2,71.3
3_12_257_1,2001,Total,3,India,12,India/China  1,257,Dibang Valley,84.7,60.90000000000001,82.7,45.3,86.2,71.3
3_12_257_1,2001,Urban,3,India,12,India/China  1,257,Dibang Valley,,,,,,
3_12_258_0,2001,Rural,3,India,12,Arunachal Pradesh,258,Lower Dibang Valley,80.5,57.2,79.60000000000001,49.2,81.2,64.2
3_12_258_1,2001,Rural,3,India,12,India/China  1,258,Lower Dibang Valley,80.5,57.2,79.60000000000001,49.2,81.2,64.2
3_12_258_0,2001,Total,3,India,12,Arunachal Pradesh,258,Lower Dibang Valley,81.5,53.40000000000001,80.5,42.6,82.5,62.40000000000001
3_12_258_1,2001,Total,3,India,12,India/China  1,258,Lower Dibang Valley,81.5,53.40000000000001,80.5,42.6,82.5,62.40000000000001
3_12_258_1,2001,Urban,3,India,12,India/China  1,258,Lower Dibang Valley,85.7,38.90000000000001,84.10000000000001,15.5,87,56.2
3_12_258_0,2001,Urban,3,India,12,Arunachal Pradesh,258,Lower Dibang Valley,85.7,38.90000000000001,84.10000000000001,15.5,87,56.2
3_12_259_0,2001,Rural,3,India,12,Arunachal Pradesh,259,Lohit,79,54.6,78.30000000000001,43.40000000000001,79.5,64.3
