id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,ap,at,cm,nd
3_18_326_0,2001,Total,3,India,18,Assam,326,Udalguri,38.6,.28,125,112
3_19_327_0,2001,Total,3,India,19,West Bengal,327,Darjiling,60.90000000000001,.21,142,133
3_19_328_0,2001,Total,3,India,19,West Bengal,328,Jalpaiguri,46.6,.32,130,145
3_19_329_0,2001,Total,3,India,19,West Bengal,329,Koch Bihar,23.7,.42,128,133
3_19_330_0,2001,Total,3,India,19,West Bengal,330,Uttar Dinajpur,23.3,.48,118,166
3_19_331_0,2001,Total,3,India,19,West Bengal,331,Dakshin Dinajpur,8.700000000000001,.55,111,171
3_19_332_0,2001,Total,3,India,19,West Bengal,332,Maldah,13.4,.6,109,225
3_19_333_0,2001,Total,3,India,19,West Bengal,333,Murshidabad,6.100000000000001,.55,105,244
3_19_334_0,2001,Total,3,India,19,West Bengal,334,Birbhum,9.1,.46,106,269
3_19_335_0,2001,Total,3,India,19,West Bengal,335,Barddhaman,8.6,.47,107,260
3_19_336_0,2001,Total,3,India,19,West Bengal,336,Nadia,5.800000000000001,.52,104,217
3_19_337_0,2001,Total,3,India,19,West Bengal,337,North Twenty Four Parganas,7.5,.54,107,204
3_19_338_0,2001,Total,3,India,19,West Bengal,338,Hugli,9.1,.49,106,238
3_19_339_0,2001,Total,3,India,19,West Bengal,339,Bankura,6.7,.42,107,263
3_19_340_0,2001,Total,3,India,19,West Bengal,340,Puruliya,8.5,.37,108,242
3_19_341_0,2001,Total,3,India,19,West Bengal,341,Haora,7.2,.51,106,268
3_19_342_0,2001,Total,3,India,19,West Bengal,342,Kolkata,10.1,.53,108,276
3_19_343_0,2001,Total,3,India,19,West Bengal,343,South Twenty Four Parganas,3.3,.54,105,176
3_19_344_0,2001,Total,3,India,19,West Bengal,344,Paschim Medinipur,5.800000000000001,.41,104,203
3_19_345_0,2001,Total,3,India,19,West Bengal,345,Purba Medinipur,5.2,.48,103,215
3_1_1_0,2001,Total,3,India,1,Jammu and Kashmir,1,Kupwara,53.3,.13,106,85
3_1_10_0,2001,Total,3,India,1,Jammu and Kashmir,10,Srinagar,39.1,.29,104,94.90000000000001
3_1_11_0,2001,Total,3,India,1,Jammu and Kashmir,11,Ganderbal,32.8,.16,104,85.90000000000001
3_1_12_0,2001,Total,3,India,1,Jammu and Kashmir,12,Pulwama,24.2,.29,109,79.7
3_1_13_0,2001,Total,3,India,1,Jammu and Kashmir,13,Shupiyan,20.8,.24,111,60.2
3_1_14_0,2001,Total,3,India,1,Jammu and Kashmir,14,Anantnag,31.3,.2,107,74.5
3_1_15_0,2001,Total,3,India,1,Jammu and Kashmir,15,Kulgam,23.2,.21,110,59.8
3_1_16_0,2001,Total,3,India,1,Jammu and Kashmir,16,Doda,37.3,.15,109,80.2
3_1_17_0,2001,Total,3,India,1,Jammu and Kashmir,17,Ramban,35.9,.18,107,97.40000000000001
3_1_18_0,2001,Total,3,India,1,Jammu and Kashmir,18,Kishtwar,55.90000000000001,.12,107,53.3
3_1_19_0,2001,Total,3,India,1,Jammu and Kashmir,19,Udhampur,13.8,.22,114,140
3_1_2_0,2001,Total,3,India,1,Jammu and Kashmir,2,Badgam,17,.27,109,65.60000000000001
3_1_20_0,2001,Total,3,India,1,Jammu and Kashmir,20,Reasi,20.5,.22,111,118
3_1_21_0,2001,Total,3,India,1,Jammu and Kashmir,21,Jammu,10.1,.36,111,181
3_1_22_0,2001,Total,3,India,1,Jammu and Kashmir,22,Samba,8,.37,114,189
3_1_3_1,2001,Total,3,India,1,India/China  2,3,Leh(Ladakh),0,.23,109,37.6
3_1_3_0,2001,Total,3,India,1,Jammu and Kashmir,3,Leh(Ladakh),0,.23,109,37.6
3_1_4_0,2001,Total,3,India,1,Jammu and Kashmir,4,Kargil,23.9,.17,107,36.3
3_1_5_0,2001,Total,3,India,1,Jammu and Kashmir,5,Punch,11.3,.22,111,93.60000000000001
3_1_6_0,2001,Total,3,India,1,Jammu and Kashmir,6,Rajouri,8.200000000000001,.27,111,112
3_1_7_0,2001,Total,3,India,1,Jammu and Kashmir,7,Kathua,10.2,.25,115,160
3_1_8_0,2001,Total,3,India,1,Jammu and Kashmir,8,Baramula,32.3,.22,105,81.7
3_1_9_0,2001,Total,3,India,1,Jammu and Kashmir,9,Bandipore,38.3,.14,104,80.10000000000001
3_20_346_0,2001,Total,3,India,20,Jharkhand,346,Garhwa,27.3,.29,105,250
3_20_347_0,2001,Total,3,India,20,Jharkhand,347,Chatra,28.3,.3,105,177
3_20_348_0,2001,Total,3,India,20,Jharkhand,348,Kodarma,33,.36,104,173
3_20_349_0,2001,Total,3,India,20,Jharkhand,349,Giridih,11.3,.32,104,187
3_20_350_0,2001,Total,3,India,20,Jharkhand,350,Deoghar,4.5,.32,103,189
3_20_351_0,2001,Total,3,India,20,Jharkhand,351,Godda,18.9,.45,103,229
3_20_352_0,2001,Total,3,India,20,Jharkhand,352,Sahibganj,22.4,.5,105,256
3_20_353_0,2001,Total,3,India,20,Jharkhand,353,Pakur,19.3,.42,101,273
3_20_354_0,2001,Total,3,India,20,Jharkhand,354,Dhanbad,16.7,.35,108,265
3_20_355_0,2001,Total,3,India,20,Jharkhand,355,Bokaro,19.3,.37,108,277
3_20_356_0,2001,Total,3,India,20,Jharkhand,356,Lohardaga,16.4,.23,107,172
3_20_357_0,2001,Total,3,India,20,Jharkhand,357,Purbi Singhbhum,8.200000000000001,.35,107,225
3_20_358_0,2001,Total,3,India,20,Jharkhand,358,Palamu,27.8,.34,105,199
3_20_359_0,2001,Total,3,India,20,Jharkhand,359,Latehar,27.2,.26,107,180
3_20_360_0,2001,Total,3,India,20,Jharkhand,360,Hazaribagh,17.7,.28,106,184
3_20_361_0,2001,Total,3,India,20,Jharkhand,361,Ramgarh,24.5,.33,109,229
3_20_362_0,2001,Total,3,India,20,Jharkhand,362,Dumka,16,.35,102,205
3_20_363_0,2001,Total,3,India,20,Jharkhand,363,Jamtara,7.7,.35,106,228
