id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,ntl_pc,ntl_a
3_13_266_0,2001,Urban,3,India,13,Nagaland,266,Phek,40.6,3.1
3_13_267_0,2001,Rural,3,India,13,Nagaland,267,Tuensang,.11,.01
3_13_267_0,2001,Total,3,India,13,Nagaland,267,Tuensang,.1,.01
3_13_267_0,2001,Urban,3,India,13,Nagaland,267,Tuensang,0,0
3_13_268_0,2001,Rural,3,India,13,Nagaland,268,Longleng,.13,.02
3_13_268_0,2001,Total,3,India,13,Nagaland,268,Longleng,.13,.02
3_13_268_0,2001,Urban,3,India,13,Nagaland,268,Longleng,,
3_13_269_0,2001,Rural,3,India,13,Nagaland,269,Kiphire,.6900000000000001,.02
3_13_269_0,2001,Total,3,India,13,Nagaland,269,Kiphire,.6900000000000001,.02
3_13_269_0,2001,Urban,3,India,13,Nagaland,269,Kiphire,,
3_13_270_0,2001,Rural,3,India,13,Nagaland,270,Kohima,19,.88
3_13_270_0,2001,Total,3,India,13,Nagaland,270,Kohima,10.7,1.1
3_13_270_0,2001,Urban,3,India,13,Nagaland,270,Kohima,4.100000000000001,16.9
3_13_271_0,2001,Rural,3,India,13,Nagaland,271,Peren,9.5,.25
3_13_271_0,2001,Total,3,India,13,Nagaland,271,Peren,9.5,.25
3_13_271_0,2001,Urban,3,India,13,Nagaland,271,Peren,,
3_14_272_0,2001,Rural,3,India,14,Manipur,272,Senapati,22.2,1.4
3_14_272_0,2001,Total,3,India,14,Manipur,272,Senapati,22.2,1.4
3_14_272_0,2001,Urban,3,India,14,Manipur,272,Senapati,,
3_14_273_0,2001,Rural,3,India,14,Manipur,273,Tamenglong,33,.1
3_14_273_0,2001,Total,3,India,14,Manipur,273,Tamenglong,33,.1
3_14_273_0,2001,Urban,3,India,14,Manipur,273,Tamenglong,,
3_14_274_0,2001,Rural,3,India,14,Manipur,274,Churachandpur,8.6,.22
3_14_274_0,2001,Total,3,India,14,Manipur,274,Churachandpur,8.6,.22
3_14_274_0,2001,Urban,3,India,14,Manipur,274,Churachandpur,,
3_14_275_0,2001,Rural,3,India,14,Manipur,275,Bishnupur,6,2
3_14_275_0,2001,Total,3,India,14,Manipur,275,Bishnupur,5.7,2.6
3_14_275_0,2001,Urban,3,India,14,Manipur,275,Bishnupur,5.4,5.100000000000001
3_14_276_0,2001,Rural,3,India,14,Manipur,276,Thoubal,4.800000000000001,3
3_14_276_0,2001,Total,3,India,14,Manipur,276,Thoubal,4.2,3.5
3_14_276_0,2001,Urban,3,India,14,Manipur,276,Thoubal,3.3,5.800000000000001
3_14_277_0,2001,Rural,3,India,14,Manipur,277,Imphal West,11.9,8.6
3_14_277_0,2001,Total,3,India,14,Manipur,277,Imphal West,14,12.6
3_14_277_0,2001,Urban,3,India,14,Manipur,277,Imphal West,17.1,25.1
3_14_278_0,2001,Rural,3,India,14,Manipur,278,Imphal East,7.5,5.600000000000001
3_14_278_0,2001,Total,3,India,14,Manipur,278,Imphal East,7.800000000000001,6.800000000000001
3_14_278_0,2001,Urban,3,India,14,Manipur,278,Imphal East,8.800000000000001,25.1
3_14_279_0,2001,Rural,3,India,14,Manipur,279,Ukhrul,5.800000000000001,.24
3_14_279_0,2001,Total,3,India,14,Manipur,279,Ukhrul,5.800000000000001,.24
3_14_279_0,2001,Urban,3,India,14,Manipur,279,Ukhrul,,
3_14_280_0,2001,Rural,3,India,14,Manipur,280,Chandel,10.9,.08
3_14_280_0,2001,Total,3,India,14,Manipur,280,Chandel,15.2,.11
3_14_280_0,2001,Urban,3,India,14,Manipur,280,Chandel,2027,10.4
3_15_281_0,2001,Rural,3,India,15,Mizoram,281,Mamit,3.4,.08
3_15_281_0,2001,Total,3,India,15,Mizoram,281,Mamit,5.300000000000001,.13
3_15_281_0,2001,Urban,3,India,15,Mizoram,281,Mamit,55.6,3.2
3_15_282_0,2001,Rural,3,India,15,Mizoram,282,Kolasib,12.5,.3
3_15_282_0,2001,Total,3,India,15,Mizoram,282,Kolasib,18.5,.48
3_15_282_0,2001,Urban,3,India,15,Mizoram,282,Kolasib,59.7,4.2
3_15_283_0,2001,Rural,3,India,15,Mizoram,283,Aizawl,28.5,.55
3_15_283_0,2001,Total,3,India,15,Mizoram,283,Aizawl,14,1.4
3_15_283_0,2001,Urban,3,India,15,Mizoram,283,Aizawl,10.6,17.8
3_15_284_0,2001,Rural,3,India,15,Mizoram,284,Champhai,3.2,.07
3_15_284_0,2001,Total,3,India,15,Mizoram,284,Champhai,5.2,.16
3_15_284_0,2001,Urban,3,India,15,Mizoram,284,Champhai,8.4,4
3_15_285_0,2001,Rural,3,India,15,Mizoram,285,Serchhip,3.2,.06
3_15_285_0,2001,Total,3,India,15,Mizoram,285,Serchhip,12,.26
3_15_285_0,2001,Urban,3,India,15,Mizoram,285,Serchhip,59.40000000000001,2.5
3_15_286_0,2001,Rural,3,India,15,Mizoram,286,Lunglei,5.100000000000001,.1
3_15_286_0,2001,Total,3,India,15,Mizoram,286,Lunglei,6.9,.21
3_15_286_0,2001,Urban,3,India,15,Mizoram,286,Lunglei,9.800000000000001,5
3_15_287_0,2001,Rural,3,India,15,Mizoram,287,Lawngtlai,2.6,.08
3_15_287_0,2001,Total,3,India,15,Mizoram,287,Lawngtlai,2.6,.08
3_15_287_0,2001,Urban,3,India,15,Mizoram,287,Lawngtlai,,
3_15_288_0,2001,Rural,3,India,15,Mizoram,288,Saiha,5.2,.11
3_15_288_0,2001,Total,3,India,15,Mizoram,288,Saiha,9,.19
3_15_288_0,2001,Urban,3,India,15,Mizoram,288,Saiha,219,5.100000000000001
3_16_289_0,2001,Rural,3,India,16,Tripura,289,West Tripura,14.1,5.5
3_16_289_0,2001,Total,3,India,16,Tripura,289,West Tripura,13.7,6.600000000000001
3_16_289_0,2001,Urban,3,India,16,Tripura,289,West Tripura,12.5,32.1
3_16_290_0,2001,Rural,3,India,16,Tripura,290,South Tripura,9.600000000000001,2.3
3_16_290_0,2001,Total,3,India,16,Tripura,290,South Tripura,8.800000000000001,2.4
3_16_290_0,2001,Urban,3,India,16,Tripura,290,South Tripura,3,11.5
3_16_291_0,2001,Rural,3,India,16,Tripura,291,Dhalai,8.9,1.2
3_16_291_0,2001,Total,3,India,16,Tripura,291,Dhalai,8.800000000000001,1.2
3_16_291_0,2001,Urban,3,India,16,Tripura,291,Dhalai,7.7,9
3_16_292_0,2001,Rural,3,India,16,Tripura,292,North Tripura,9,2.6
3_16_292_0,2001,Total,3,India,16,Tripura,292,North Tripura,8.700000000000001,2.8
3_16_292_0,2001,Urban,3,India,16,Tripura,292,North Tripura,6.9,17.7
3_17_293_0,2001,Rural,3,India,17,Meghalaya,293,West Garo Hills,6,.9400000000000001
3_17_293_0,2001,Total,3,India,17,Meghalaya,293,West Garo Hills,6,.97
3_17_293_0,2001,Urban,3,India,17,Meghalaya,293,West Garo Hills,7.5,20.2
3_17_294_0,2001,Rural,3,India,17,Meghalaya,294,East Garo Hills,15.7,.96
3_17_294_0,2001,Total,3,India,17,Meghalaya,294,East Garo Hills,17,1.1
3_17_294_0,2001,Urban,3,India,17,Meghalaya,294,East Garo Hills,29.8,10
3_17_295_0,2001,Rural,3,India,17,Meghalaya,295,South Garo Hills,9.700000000000001,.4
3_17_295_0,2001,Total,3,India,17,Meghalaya,295,South Garo Hills,10.1,.42
3_17_295_0,2001,Urban,3,India,17,Meghalaya,295,South Garo Hills,34.5,6.800000000000001
3_17_296_0,2001,Rural,3,India,17,Meghalaya,296,West Khasi Hills,7,.34
3_17_296_0,2001,Total,3,India,17,Meghalaya,296,West Khasi Hills,8.5,.43
3_17_296_0,2001,Urban,3,India,17,Meghalaya,296,West Khasi Hills,39.90000000000001,5.2
3_17_297_0,2001,Rural,3,India,17,Meghalaya,297,Ribhoi,22.8,1.9
3_17_297_0,2001,Total,3,India,17,Meghalaya,297,Ribhoi,22.9,2
3_17_297_0,2001,Urban,3,India,17,Meghalaya,297,Ribhoi,23.5,6.5
3_17_298_0,2001,Rural,3,India,17,Meghalaya,298,East Khasi Hills,18,2.5
3_17_298_0,2001,Total,3,India,17,Meghalaya,298,East Khasi Hills,15,3
3_17_298_0,2001,Urban,3,India,17,Meghalaya,298,East Khasi Hills,8.6,45.3
3_17_299_0,2001,Rural,3,India,17,Meghalaya,299,Jaintia Hills,9.1,.75
3_17_299_0,2001,Total,3,India,17,Meghalaya,299,Jaintia Hills,9,.79
3_17_299_0,2001,Urban,3,India,17,Meghalaya,299,Jaintia Hills,7.300000000000001,11.5
3_18_300_0,2001,Rural,3,India,18,Assam,300,Kokrajhar,4.4,1.3
3_18_300_0,2001,Total,3,India,18,Assam,300,Kokrajhar,4.5,1.3
3_18_300_0,2001,Urban,3,India,18,Assam,300,Kokrajhar,8,12
3_18_301_0,2001,Rural,3,India,18,Assam,301,Dhubri,2.1,1
3_18_301_0,2001,Total,3,India,18,Assam,301,Dhubri,2.2,1.2
3_18_301_0,2001,Urban,3,India,18,Assam,301,Dhubri,2.8,7.7
3_18_302_0,2001,Rural,3,India,18,Assam,302,Goalpara,7.600000000000001,3
3_18_302_0,2001,Total,3,India,18,Assam,302,Goalpara,7.300000000000001,3.1
3_18_302_0,2001,Urban,3,India,18,Assam,302,Goalpara,4.4,8.800000000000001
3_18_303_0,2001,Rural,3,India,18,Assam,303,Barpeta,2.8,1.5
3_18_303_0,2001,Total,3,India,18,Assam,303,Barpeta,2.8,1.5
3_18_303_0,2001,Urban,3,India,18,Assam,303,Barpeta,4,9
3_18_304_0,2001,Rural,3,India,18,Assam,304,Morigaon,5.4,2.1
3_18_304_0,2001,Total,3,India,18,Assam,304,Morigaon,5.4,2.2
3_18_304_0,2001,Urban,3,India,18,Assam,304,Morigaon,4.7,11.4
3_18_305_0,2001,Rural,3,India,18,Assam,305,Nagaon,4.800000000000001,2.8
