id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,hh_elec_t,hh_fuel_cook_1,hh_fuel_cook_2,hh_fuel_cook_3,hh_fuel_cook_4,hh_fuel_cook_5,hh_fuel_cook_6
3_12_247_1,2001,Urban,3,India,12,India/China  1,247,East Kameng,82.80000000000001,63.7,.1,6,29.6,0,0
3_12_248_1,2001,Rural,3,India,12,India/China  1,248,Papum Pare,77.2,65,.4,2.7,28.3,2,.8
3_12_248_0,2001,Rural,3,India,12,Arunachal Pradesh,248,Papum Pare,77.2,65,.4,2.7,28.3,2,.8
3_12_248_1,2001,Total,3,India,12,India/China  1,248,Papum Pare,88.10000000000001,40.40000000000001,.2,5.300000000000001,51.2,1.1,.4
3_12_248_0,2001,Total,3,India,12,Arunachal Pradesh,248,Papum Pare,88.10000000000001,40.40000000000001,.2,5.300000000000001,51.2,1.1,.4
3_12_248_0,2001,Urban,3,India,12,Arunachal Pradesh,248,Papum Pare,97.10000000000001,20.1,0,7.4,70.10000000000001,.3,0
3_12_248_1,2001,Urban,3,India,12,India/China  1,248,Papum Pare,97.10000000000001,20.1,0,7.4,70.10000000000001,.3,0
3_12_249_1,2001,Rural,3,India,12,India/China  1,249,Upper Subansiri,24.8,92.90000000000001,0,.8,6.100000000000001,0,0
3_12_249_1,2001,Total,3,India,12,India/China  1,249,Upper Subansiri,44.40000000000001,77.80000000000001,0,2.4,18.5,.1,0
3_12_249_1,2001,Urban,3,India,12,India/China  1,249,Upper Subansiri,96,38,0,6.800000000000001,51.2,.3,0
3_12_250_0,2001,Rural,3,India,12,Arunachal Pradesh,250,West Siang,37.8,93.40000000000001,0,1.6,4.4,0,.2
3_12_250_1,2001,Rural,3,India,12,India/China  1,250,West Siang,37.8,93.40000000000001,0,1.6,4.4,0,.2
3_12_250_1,2001,Total,3,India,12,India/China  1,250,West Siang,51.5,79.5,0,4,15.8,0,.2
3_12_250_0,2001,Total,3,India,12,Arunachal Pradesh,250,West Siang,51.5,79.5,0,4,15.8,0,.2
3_12_250_1,2001,Urban,3,India,12,India/China  1,250,West Siang,96.60000000000001,33.7,0,11.7,53.40000000000001,0,0
3_12_250_0,2001,Urban,3,India,12,Arunachal Pradesh,250,West Siang,96.60000000000001,33.7,0,11.7,53.40000000000001,0,0
3_12_251_0,2001,Rural,3,India,12,Arunachal Pradesh,251,East Siang,34,92,0,.7000000000000001,6.7,.2,.1
3_12_251_1,2001,Rural,3,India,12,India/China  1,251,East Siang,34,92,0,.7000000000000001,6.7,.2,.1
3_12_251_0,2001,Total,3,India,12,Arunachal Pradesh,251,East Siang,46.5,77.60000000000001,.1,1,19.6,.1,1.1
3_12_251_1,2001,Total,3,India,12,India/China  1,251,East Siang,46.5,77.60000000000001,.1,1,19.6,.1,1.1
3_12_251_0,2001,Urban,3,India,12,Arunachal Pradesh,251,East Siang,76.3,43.5,.2,1.8,50.2,0,3.5
3_12_251_1,2001,Urban,3,India,12,India/China  1,251,East Siang,76.3,43.5,.2,1.8,50.2,0,3.5
3_12_252_1,2001,Rural,3,India,12,India/China  1,252,Upper Siang,57.90000000000001,92.30000000000001,0,2.6,4.4,.1,.5
3_12_252_1,2001,Total,3,India,12,India/China  1,252,Upper Siang,57.90000000000001,92.30000000000001,0,2.6,4.4,.1,.5
3_12_252_1,2001,Urban,3,India,12,India/China  1,252,Upper Siang,,,,,,,
3_12_253_0,2001,Rural,3,India,12,Arunachal Pradesh,253,Changlang,33.1,88.2,0,1.2,9.700000000000001,0,.1
3_12_253_0,2001,Total,3,India,12,Arunachal Pradesh,253,Changlang,38.90000000000001,82.90000000000001,0,2.2,13.9,0,.1
