id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,yieldvus_all,yieldvus_sel7,yieldvus_sel6,yieldvus_sel1,yieldvus_sel2,yieldvus_sel3,yieldvus_sel4,yieldvus_sel5,yieldp_all,yieldp_sel7,yieldp_sel6,yieldp_sel1,yieldp_sel2,yieldp_sel3,yieldp_sel4,yieldp_sel5
3_13_267_0,2001,Total,3,India,13,Nagaland,267,Tuensang,.58,.99,.35,.24,.79,.58,,.59,1.4,1.2,1.4,.84,1,1.4,,1.9
3_13_268_0,2001,Total,3,India,13,Nagaland,268,Longleng,.58,.99,.35,.24,.79,.58,,.59,1.4,1.2,1.4,.84,1,1.4,,1.9
3_13_269_0,2001,Total,3,India,13,Nagaland,269,Kiphire,.58,.99,.35,.24,.79,.58,,.59,1.4,1.2,1.4,.84,1,1.4,,1.9
3_13_270_0,2001,Total,3,India,13,Nagaland,270,Kohima,.6800000000000001,1,.36,.22,.8300000000000001,.67,2.7,.98,2,1.3,1.5,.8200000000000001,1,1.6,46,3.2
3_13_271_0,2001,Total,3,India,13,Nagaland,271,Peren,.6800000000000001,1,.36,.22,.8300000000000001,.67,2.7,.98,2,1.3,1.5,.8200000000000001,1,1.6,46,3.2
3_14_272_0,2001,Total,3,India,14,Manipur,272,Senapati,.92,,.64,,.6,.92,,,2.4,,2.7,,.58,2.2,,
3_14_273_0,2001,Total,3,India,14,Manipur,273,Tamenglong,.62,,.48,,.97,.53,1.9,,1.8,,2,,.8300000000000001,1.3,32.7,
3_14_274_0,2001,Total,3,India,14,Manipur,274,Churachandpur,.86,,.45,,.59,.76,1.9,,2.3,,1.9,,.51,1.8,32.7,
3_14_275_0,2001,Total,3,India,14,Manipur,275,Bishnupur,1.1,,,,.55,1.1,1.9,,2.9,,,,.48,2.7,32.7,
3_14_276_0,2001,Total,3,India,14,Manipur,276,Thoubal,1.1,,,,.58,1.1,1.9,,2.5,,,,.51,2.6,32.7,
3_14_277_0,2001,Total,3,India,14,Manipur,277,Imphal West,1.3,,,,.59,1.3,1.9,,3.3,,,,.52,3.2,32.7,
3_14_278_0,2001,Total,3,India,14,Manipur,278,Imphal East,1.1,,,,.59,1.1,1.9,,2.7,,,,.51,2.6,32.5,
3_14_279_0,2001,Total,3,India,14,Manipur,279,Ukhrul,.9500000000000001,,.6,,.73,.9500000000000001,,,2.4,,2.5,,1.2,2.3,,
3_14_280_0,2001,Total,3,India,14,Manipur,280,Chandel,.62,,.6900000000000001,,.7000000000000001,.49,1.9,,2.7,,2.9,,.6800000000000001,1.2,32.7,
3_15_281_0,2001,Total,3,India,15,Mizoram,281,Mamit,,,,,,,,,,,,,,,,
3_15_282_0,2001,Total,3,India,15,Mizoram,282,Kolasib,.75,1.4,.37,,1,.75,1.1,,1.7,1.7,1.5,,1.4,1.8,18.8,
3_15_283_0,2001,Total,3,India,15,Mizoram,283,Aizawl,.91,1.2,.58,,1.3,.88,.15,.27,2.2,1.4,2.4,,1.5,2.1,2.5,.88
3_15_284_0,2001,Total,3,India,15,Mizoram,284,Champhai,.5700000000000001,1.2,.52,,.75,.5600000000000001,.12,,1.4,1.5,2.1,,.84,1.4,2,
3_15_285_0,2001,Total,3,India,15,Mizoram,285,Serchhip,,,,,,,,,,,,,,,,
3_15_286_0,2001,Total,3,India,15,Mizoram,286,Lunglei,.8,.55,.44,,1.5,.72,.24,,1.8,.67,1.8,,2,1.7,4,
3_15_287_0,2001,Total,3,India,15,Mizoram,287,Lawngtlai,,,,,,,,,,,,,,,,
3_15_288_0,2001,Total,3,India,15,Mizoram,288,Saiha,,,,,,,,,,,,,,,,
3_16_289_0,2001,Total,3,India,16,Tripura,289,West Tripura,1,,.21,,,.97,3.1,.59,2.7,,.88,,,2.3,51.6,1.9
3_16_290_0,2001,Total,3,India,16,Tripura,290,South Tripura,1,,.22,,,.9500000000000001,3,.64,3.1,,.92,,,2.3,50.1,2.1
3_16_291_0,2001,Total,3,India,16,Tripura,291,Dhalai,.86,,.23,,,.78,3,.64,2.6,,.9500000000000001,,,1.9,50.6,2.1
3_16_292_0,2001,Total,3,India,16,Tripura,292,North Tripura,.89,,.22,,,.85,3.2,.64,2.5,,.91,,,2,54.2,2.1
3_17_293_0,2001,Total,3,India,17,Meghalaya,293,West Garo Hills,1.7,,.35,,.55,.65,.19,.51,2.3,,1.4,,.75,1.6,3.1,1.6
3_17_294_0,2001,Total,3,India,17,Meghalaya,294,East Garo Hills,3.3,,.3,,.47,.67,.17,.36,2.7,,1.2,,.73,1.6,2.8,1.2
3_17_295_0,2001,Total,3,India,17,Meghalaya,295,South Garo Hills,1,,.24,,.59,.49,.18,,1.8,,1,,.8,1.2,3,
3_17_296_0,2001,Total,3,India,17,Meghalaya,296,West Khasi Hills,.88,,.33,,.41,.62,.12,,3.2,,1.4,,.7000000000000001,1.5,2,
3_17_297_0,2001,Total,3,India,17,Meghalaya,297,Ribhoi,2.4,,.49,,.52,1,,,3.4,,2,,.86,2.4,,
3_17_298_0,2001,Total,3,India,17,Meghalaya,298,East Khasi Hills,1.9,,.45,,.48,.79,,,5.2,,1.9,,.8100000000000001,1.9,,
3_17_299_0,2001,Total,3,India,17,Meghalaya,299,Jaintia Hills,1.6,,.27,,.59,.64,.04,,1.8,,1.1,,.97,1.5,.67,
3_18_300_0,2001,Total,3,India,18,Assam,300,Kokrajhar,.67,,.13,,.32,.47,2.3,.34,1.6,,.52,,.54,1.1,38.3,1.1
3_18_301_0,2001,Total,3,India,18,Assam,301,Dhubri,.97,,.14,,.34,.61,2.3,.43,2.2,,.6,,.64,1.5,38,1.4
3_18_302_0,2001,Total,3,India,18,Assam,302,Goalpara,.9,,.14,,.32,.65,2.5,.53,2.1,,.58,,.5600000000000001,1.6,41.8,1.7
3_18_303_0,2001,Total,3,India,18,Assam,303,Barpeta,.67,,.16,,.33,.49,2.3,.37,1.9,,.65,,.61,1.2,38.6,1.2
3_18_304_0,2001,Total,3,India,18,Assam,304,Morigaon,1,,.1,,.34,.8100000000000001,2.5,.36,2.4,,.4,,.59,2,42.2,1.2
3_18_305_0,2001,Total,3,India,18,Assam,305,Nagaon,.98,,.16,,.26,.76,2.1,.31,3.2,,.66,,.42,1.8,35.2,1
3_18_306_0,2001,Total,3,India,18,Assam,306,Sonitpur,.6800000000000001,,.15,,.35,.5600000000000001,2.6,.42,2,,.6,,.63,1.4,42.7,1.4
3_18_307_0,2001,Total,3,India,18,Assam,307,Lakhimpur,.48,,.14,,.23,.44,2.3,.25,1.3,,.6,,.43,1.1,38.1,.8200000000000001
3_18_308_0,2001,Total,3,India,18,Assam,308,Dhemaji,.5600000000000001,,.22,,.27,.5700000000000001,2.3,.3,1.5,,.92,,.51,1.4,38.1,.97
3_18_309_0,2001,Total,3,India,18,Assam,309,Tinsukia,.64,,.14,,.25,.61,2.1,.39,1.9,,.6,,.45,1.5,35.2,1.3
3_18_310_0,2001,Total,3,India,18,Assam,310,Dibrugarh,.6800000000000001,,.13,,.23,.7000000000000001,2.3,.38,1.7,,.53,,.43,1.7,38.3,1.2
3_18_311_0,2001,Total,3,India,18,Assam,311,Sivasagar,.86,,.16,,.23,.77,2.3,.39,2.1,,.6800000000000001,,.45,1.8,38.2,1.3
3_18_312_0,2001,Total,3,India,18,Assam,312,Jorhat,.72,,.13,,.22,.73,1.8,.37,2.1,,.52,,.42,1.8,30.8,1.2
3_18_313_0,2001,Total,3,India,18,Assam,313,Golaghat,.9,,.13,,.37,.78,2.5,.27,3.5,,.54,,.67,1.9,42.6,.87
3_18_314_0,2001,Total,3,India,18,Assam,314,Karbi Anglong,.7000000000000001,,.19,,.39,.61,2.6,.47,2.6,,.79,,.5700000000000001,1.5,44,1.5
3_18_315_0,2001,Total,3,India,18,Assam,315,Dima Hasao,.74,,.18,,.43,.66,1.9,.38,4,,.75,,.59,1.6,31.2,1.2
3_18_316_0,2001,Total,3,India,18,Assam,316,Cachar,.8300000000000001,,.12,,.32,.8100000000000001,1.7,.39,2.2,,.5,,.5600000000000001,1.9,27.7,1.3
3_18_317_0,2001,Total,3,India,18,Assam,317,Karimganj,.8200000000000001,,.13,,.22,.79,2.4,,2.5,,.5600000000000001,,.4,1.9,40.3,
3_18_318_0,2001,Total,3,India,18,Assam,318,Hailakandi,.77,,.11,,.31,.6800000000000001,3.4,.39,2,,.45,,.5700000000000001,1.6,56.90000000000001,1.3
3_18_319_0,2001,Total,3,India,18,Assam,319,Bongaigaon,.74,,.15,,.32,.42,2.3,.43,1.6,,.61,,.5700000000000001,1,38.2,1.4
3_18_320_0,2001,Total,3,India,18,Assam,320,Chirang,.6900000000000001,,.14,,.32,.46,2.3,.38,1.7,,.59,,.58,1.1,38.40000000000001,1.2
