id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,bank_t
3_13_261_0,2001,Rural,3,India,13,Nagaland,261,Mon,4.600000000000001
3_13_261_0,2001,Total,3,India,13,Nagaland,261,Mon,7.300000000000001
3_13_261_0,2001,Urban,3,India,13,Nagaland,261,Mon,33.2
3_13_262_0,2001,Rural,3,India,13,Nagaland,262,Mokokchung,16.9
3_13_262_0,2001,Total,3,India,13,Nagaland,262,Mokokchung,20.5
3_13_262_0,2001,Urban,3,India,13,Nagaland,262,Mokokchung,38.1
3_13_263_0,2001,Rural,3,India,13,Nagaland,263,Zunheboto,8.6
3_13_263_0,2001,Total,3,India,13,Nagaland,263,Zunheboto,10.2
3_13_263_0,2001,Urban,3,India,13,Nagaland,263,Zunheboto,22.8
3_13_264_0,2001,Rural,3,India,13,Nagaland,264,Wokha,7.100000000000001
3_13_264_0,2001,Total,3,India,13,Nagaland,264,Wokha,13.2
3_13_264_0,2001,Urban,3,India,13,Nagaland,264,Wokha,37.4
3_13_265_0,2001,Rural,3,India,13,Nagaland,265,Dimapur,17
3_13_265_0,2001,Total,3,India,13,Nagaland,265,Dimapur,23.1
3_13_265_0,2001,Urban,3,India,13,Nagaland,265,Dimapur,31.7
3_13_266_0,2001,Rural,3,India,13,Nagaland,266,Phek,16.8
3_13_266_0,2001,Total,3,India,13,Nagaland,266,Phek,18.5
3_13_266_0,2001,Urban,3,India,13,Nagaland,266,Phek,36.7
3_13_267_0,2001,Rural,3,India,13,Nagaland,267,Tuensang,5
3_13_267_0,2001,Total,3,India,13,Nagaland,267,Tuensang,6.100000000000001
3_13_267_0,2001,Urban,3,India,13,Nagaland,267,Tuensang,17.3
3_13_268_0,2001,Rural,3,India,13,Nagaland,268,Longleng,5
3_13_268_0,2001,Total,3,India,13,Nagaland,268,Longleng,6.100000000000001
3_13_268_0,2001,Urban,3,India,13,Nagaland,268,Longleng,17.3
3_13_269_0,2001,Rural,3,India,13,Nagaland,269,Kiphire,5
