id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,sex_rat_t,sex_rat_04,dep_rat_t,dep_rat_ag,dep_rat_014
3_10_233_0,2001,Total,3,India,10,Bihar,233,Kaimur (Bhabua),90.2,96.40000000000001,81.30000000000001,8.1,73.2
3_10_233_0,2001,Urban,3,India,10,Bihar,233,Kaimur (Bhabua),83.2,91.30000000000001,70.2,6.300000000000001,63.90000000000001
3_10_234_0,2001,Rural,3,India,10,Bihar,234,Rohtas,90.90000000000001,97.2,80.2,7.800000000000001,72.5
3_10_234_0,2001,Total,3,India,10,Bihar,234,Rohtas,90.60000000000001,97,79.40000000000001,7.7,71.7
3_10_234_0,2001,Urban,3,India,10,Bihar,234,Rohtas,85.90000000000001,93.30000000000001,69.8,6.300000000000001,63.5
3_10_235_0,2001,Rural,3,India,10,Bihar,235,Aurangabad,93.7,95.30000000000001,78.5,7.600000000000001,70.90000000000001
3_10_235_0,2001,Total,3,India,10,Bihar,235,Aurangabad,93.40000000000001,95.2,78,7.5,70.60000000000001
3_10_235_0,2001,Urban,3,India,10,Bihar,235,Aurangabad,89.90000000000001,93.7,73,6.300000000000001,66.7
3_10_236_0,2001,Rural,3,India,10,Bihar,236,Gaya,94.80000000000001,98.60000000000001,81.2,7.300000000000001,73.90000000000001
3_10_236_0,2001,Total,3,India,10,Bihar,236,Gaya,93.80000000000001,98.2,78.7,7.100000000000001,71.5
3_10_236_0,2001,Urban,3,India,10,Bihar,236,Gaya,87.80000000000001,94.90000000000001,64.2,6,58.2
3_10_237_0,2001,Rural,3,India,10,Bihar,237,Nawada,95,99.5,80.40000000000001,7.5,72.90000000000001
3_10_237_0,2001,Total,3,India,10,Bihar,237,Nawada,94.60000000000001,99.10000000000001,79.7,7.4,72.3
3_10_237_0,2001,Urban,3,India,10,Bihar,237,Nawada,89.80000000000001,94.60000000000001,72.3,6.4,65.90000000000001
3_10_238_0,2001,Rural,3,India,10,Bihar,238,Jamui,92.2,98.7,78.60000000000001,6.300000000000001,72.3
3_10_238_0,2001,Total,3,India,10,Bihar,238,Jamui,91.80000000000001,98.5,77.80000000000001,6.300000000000001,71.60000000000001
3_10_238_0,2001,Urban,3,India,10,Bihar,238,Jamui,87.60000000000001,94.7,69,5.600000000000001,63.3
3_10_239_0,2001,Rural,3,India,10,Bihar,239,Jehanabad,93.30000000000001,92.60000000000001,76,7.9,68.10000000000001
3_10_239_0,2001,Total,3,India,10,Bihar,239,Jehanabad,92.90000000000001,92.40000000000001,75.8,7.800000000000001,68
3_10_239_0,2001,Urban,3,India,10,Bihar,239,Jehanabad,87.90000000000001,89.5,72.90000000000001,6.600000000000001,66.3
3_10_240_0,2001,Rural,3,India,10,Bihar,240,Arwal,93.30000000000001,92.60000000000001,76,7.9,68.10000000000001
3_10_240_0,2001,Total,3,India,10,Bihar,240,Arwal,92.90000000000001,92.40000000000001,75.8,7.800000000000001,68
3_10_240_0,2001,Urban,3,India,10,Bihar,240,Arwal,87.90000000000001,89.5,72.90000000000001,6.600000000000001,66.3
3_11_241_0,2001,Rural,3,India,11,Sikkim,241,North  District,75.7,100.1,58.40000000000001,4,54.40000000000001
3_11_241_0,2001,Total,3,India,11,Sikkim,241,North  District,75.2,99.5,58.1,4,54.2
3_11_241_0,2001,Urban,3,India,11,Sikkim,241,North  District,61.90000000000001,80.60000000000001,50.7,3.4,47.2
3_11_242_0,2001,Rural,3,India,11,Sikkim,242,West District,93.10000000000001,95.5,69,6,62.90000000000001
3_11_242_0,2001,Total,3,India,11,Sikkim,242,West District,92.90000000000001,95.80000000000001,68.7,6,62.7
3_11_242_0,2001,Urban,3,India,11,Sikkim,242,West District,77.60000000000001,129.7,54.5,5.7,48.90000000000001
3_11_243_0,2001,Rural,3,India,11,Sikkim,243,South District,93,96.40000000000001,65.60000000000001,6.100000000000001,59.5
3_11_243_0,2001,Total,3,India,11,Sikkim,243,South District,92.7,96.2,65,6,59
3_11_243_0,2001,Urban,3,India,11,Sikkim,243,South District,84,85.60000000000001,46.3,3.1,43.2
3_11_244_0,2001,Rural,3,India,11,Sikkim,244,East District,84.5,93.80000000000001,55.7,5.300000000000001,50.40000000000001
3_11_244_0,2001,Total,3,India,11,Sikkim,244,East District,84.40000000000001,93.10000000000001,52.3,4.9,47.5
3_11_244_0,2001,Urban,3,India,11,Sikkim,244,East District,83.7,90,41.2,3.3,37.9
3_12_245_1,2001,Rural,3,India,12,India/China  1,245,Tawang,96.7,97.40000000000001,71.60000000000001,8.1,63.5
3_12_245_1,2001,Total,3,India,12,India/China  1,245,Tawang,78.2,97.30000000000001,59.5,6.2,53.3
3_12_245_1,2001,Urban,3,India,12,India/China  1,245,Tawang,32.7,96.80000000000001,25.8,.7000000000000001,25
3_12_246_1,2001,Rural,3,India,12,India/China  1,246,West Kameng,74.40000000000001,96.90000000000001,62.5,4,58.6
3_12_246_1,2001,Total,3,India,12,India/China  1,246,West Kameng,75.40000000000001,97.10000000000001,61.7,3.8,57.90000000000001
3_12_246_1,2001,Urban,3,India,12,India/China  1,246,West Kameng,85.5,99,53.90000000000001,2.3,51.6
3_12_247_1,2001,Rural,3,India,12,India/China  1,247,East Kameng,101.9,103.2,80.40000000000001,4.3,76.10000000000001
3_12_247_1,2001,Total,3,India,12,India/China  1,247,East Kameng,98.5,104.3,79.30000000000001,3.5,75.8
3_12_247_1,2001,Urban,3,India,12,India/China  1,247,East Kameng,89.7,107,76.3,1.2,75.10000000000001
3_12_248_1,2001,Rural,3,India,12,India/China  1,248,Papum Pare,92.60000000000001,98.10000000000001,79.2,3,76.2
3_12_248_0,2001,Rural,3,India,12,Arunachal Pradesh,248,Papum Pare,92.60000000000001,98.10000000000001,79.2,3,76.2
3_12_248_0,2001,Total,3,India,12,Arunachal Pradesh,248,Papum Pare,90.10000000000001,98.30000000000001,67.8,2.2,65.60000000000001
3_12_248_1,2001,Total,3,India,12,India/China  1,248,Papum Pare,90.10000000000001,98.30000000000001,67.8,2.2,65.60000000000001
3_12_248_0,2001,Urban,3,India,12,Arunachal Pradesh,248,Papum Pare,87.7,98.60000000000001,58,1.5,56.5
3_12_248_1,2001,Urban,3,India,12,India/China  1,248,Papum Pare,87.7,98.60000000000001,58,1.5,56.5
3_12_249_1,2001,Rural,3,India,12,India/China  1,249,Upper Subansiri,99.60000000000001,98,79.40000000000001,4.5,74.90000000000001
3_12_249_1,2001,Total,3,India,12,India/China  1,249,Upper Subansiri,96,98.2,77.90000000000001,3.5,74.3
3_12_249_1,2001,Urban,3,India,12,India/China  1,249,Upper Subansiri,87.5,98.7,74.10000000000001,1.1,73
3_12_250_0,2001,Rural,3,India,12,Arunachal Pradesh,250,West Siang,95.30000000000001,95.10000000000001,77.5,6.2,71.3
3_12_250_1,2001,Rural,3,India,12,India/China  1,250,West Siang,95.30000000000001,95.10000000000001,77.5,6.2,71.3
3_12_250_1,2001,Total,3,India,12,India/China  1,250,West Siang,91.2,95.30000000000001,74.10000000000001,5.2,69
3_12_250_0,2001,Total,3,India,12,Arunachal Pradesh,250,West Siang,91.2,95.30000000000001,74.10000000000001,5.2,69
3_12_250_1,2001,Urban,3,India,12,India/China  1,250,West Siang,76.5,96,61.6,1.2,60.40000000000001
3_12_250_0,2001,Urban,3,India,12,Arunachal Pradesh,250,West Siang,76.5,96,61.6,1.2,60.40000000000001
3_12_251_1,2001,Rural,3,India,12,India/China  1,251,East Siang,94.5,95.30000000000001,75.3,7,68.3
3_12_251_0,2001,Rural,3,India,12,Arunachal Pradesh,251,East Siang,94.5,95.30000000000001,75.3,7,68.3
3_12_251_1,2001,Total,3,India,12,India/China  1,251,East Siang,93.10000000000001,98,72,5.7,66.2
3_12_251_0,2001,Total,3,India,12,Arunachal Pradesh,251,East Siang,93.10000000000001,98,72,5.7,66.2
3_12_251_0,2001,Urban,3,India,12,Arunachal Pradesh,251,East Siang,88.80000000000001,108.1,62.5,2.2,60.3
3_12_251_1,2001,Urban,3,India,12,India/China  1,251,East Siang,88.80000000000001,108.1,62.5,2.2,60.3
3_12_252_1,2001,Rural,3,India,12,India/China  1,252,Upper Siang,84.80000000000001,104.2,70.3,8.5,61.8
3_12_252_1,2001,Total,3,India,12,India/China  1,252,Upper Siang,84.80000000000001,104.2,70.3,8.5,61.8
3_12_252_1,2001,Urban,3,India,12,India/China  1,252,Upper Siang,,,,,
3_12_253_0,2001,Rural,3,India,12,Arunachal Pradesh,253,Changlang,92.10000000000001,97.40000000000001,77.2,5.600000000000001,71.5
3_12_253_0,2001,Total,3,India,12,Arunachal Pradesh,253,Changlang,90.60000000000001,97.30000000000001,75.10000000000001,5.2,69.90000000000001
3_12_253_0,2001,Urban,3,India,12,Arunachal Pradesh,253,Changlang,77.30000000000001,95.2,58,1.8,56.2
3_12_254_0,2001,Rural,3,India,12,Arunachal Pradesh,254,Tirap,92.90000000000001,95.60000000000001,80.40000000000001,7.2,73.2
3_12_254_0,2001,Total,3,India,12,Arunachal Pradesh,254,Tirap,91,95.90000000000001,76.80000000000001,6.2,70.60000000000001
3_12_254_0,2001,Urban,3,India,12,Arunachal Pradesh,254,Tirap,81,98,58.5,1.2,57.40000000000001
3_12_255_1,2001,Rural,3,India,12,India/China  1,255,Lower Subansiri,99.40000000000001,103.5,74.2,3.9,70.3
3_12_255_1,2001,Total,3,India,12,India/China  1,255,Lower Subansiri,98.30000000000001,102.7,73.40000000000001,3.5,69.90000000000001
3_12_255_1,2001,Urban,3,India,12,India/China  1,255,Lower Subansiri,91.10000000000001,97.10000000000001,68.2,1.1,67.10000000000001
3_12_256_1,2001,Rural,3,India,12,India/China  1,256,Kurung Kumey,99.40000000000001,103.5,74.2,3.9,70.3
3_12_256_1,2001,Total,3,India,12,India/China  1,256,Kurung Kumey,98.30000000000001,102.7,73.40000000000001,3.5,69.90000000000001
3_12_256_1,2001,Urban,3,India,12,India/China  1,256,Kurung Kumey,91.10000000000001,97.10000000000001,68.2,1.1,67.10000000000001
3_12_257_1,2001,Rural,3,India,12,India/China  1,257,Dibang Valley,85.2,97.40000000000001,73.8,4.7,69.10000000000001
3_12_257_1,2001,Total,3,India,12,India/China  1,257,Dibang Valley,83.60000000000001,97.10000000000001,71.3,4,67.2
3_12_257_1,2001,Urban,3,India,12,India/China  1,257,Dibang Valley,76.5,95.2,60,1.2,58.8
3_12_258_0,2001,Rural,3,India,12,Arunachal Pradesh,258,Lower Dibang Valley,85.2,97.40000000000001,73.8,4.7,69.10000000000001
3_12_258_1,2001,Rural,3,India,12,India/China  1,258,Lower Dibang Valley,85.2,97.40000000000001,73.8,4.7,69.10000000000001
3_12_258_0,2001,Total,3,India,12,Arunachal Pradesh,258,Lower Dibang Valley,83.60000000000001,97.10000000000001,71.3,4,67.2
3_12_258_1,2001,Total,3,India,12,India/China  1,258,Lower Dibang Valley,83.60000000000001,97.10000000000001,71.3,4,67.2
3_12_258_1,2001,Urban,3,India,12,India/China  1,258,Lower Dibang Valley,76.5,95.2,60,1.2,58.8
3_12_258_0,2001,Urban,3,India,12,Arunachal Pradesh,258,Lower Dibang Valley,76.5,95.2,60,1.2,58.8
3_12_259_1,2001,Rural,3,India,12,India/China  1,259,Lohit,86.60000000000001,91.40000000000001,77.30000000000001,5.100000000000001,72.3
3_12_259_0,2001,Rural,3,India,12,Arunachal Pradesh,259,Lohit,86.60000000000001,91.40000000000001,77.30000000000001,5.100000000000001,72.3
3_12_259_0,2001,Total,3,India,12,Arunachal Pradesh,259,Lohit,85.60000000000001,92.40000000000001,74.5,4.5,70
3_12_259_1,2001,Total,3,India,12,India/China  1,259,Lohit,85.60000000000001,92.40000000000001,74.5,4.5,70
3_12_259_0,2001,Urban,3,India,12,Arunachal Pradesh,259,Lohit,81.5,97.90000000000001,62.90000000000001,2.4,60.5
3_12_259_1,2001,Urban,3,India,12,India/China  1,259,Lohit,81.5,97.90000000000001,62.90000000000001,2.4,60.5
3_12_260_1,2001,Rural,3,India,12,India/China  1,260,Anjaw,86.60000000000001,91.40000000000001,77.30000000000001,5.100000000000001,72.3
3_12_260_0,2001,Rural,3,India,12,Arunachal Pradesh,260,Anjaw,86.60000000000001,91.40000000000001,77.30000000000001,5.100000000000001,72.3
3_12_260_0,2001,Total,3,India,12,Arunachal Pradesh,260,Anjaw,85.60000000000001,92.40000000000001,74.5,4.5,70
3_12_260_1,2001,Total,3,India,12,India/China  1,260,Anjaw,85.60000000000001,92.40000000000001,74.5,4.5,70
3_12_260_1,2001,Urban,3,India,12,India/China  1,260,Anjaw,81.5,97.90000000000001,62.90000000000001,2.4,60.5
3_12_260_0,2001,Urban,3,India,12,Arunachal Pradesh,260,Anjaw,81.5,97.90000000000001,62.90000000000001,2.4,60.5
3_13_261_0,2001,Rural,3,India,13,Nagaland,261,Mon,88.30000000000001,100.1,65.5,7.5,58
3_13_261_0,2001,Total,3,India,13,Nagaland,261,Mon,87.90000000000001,99.30000000000001,65.90000000000001,7.2,58.8
3_13_261_0,2001,Urban,3,India,13,Nagaland,261,Mon,81.5,89.5,72.3,2.1,70.2
3_13_262_0,2001,Rural,3,India,13,Nagaland,262,Mokokchung,93.60000000000001,101.4,48.3,5.300000000000001,43
3_13_262_0,2001,Total,3,India,13,Nagaland,262,Mokokchung,91.90000000000001,100.4,48.1,5.2,42.90000000000001
3_13_262_0,2001,Urban,3,India,13,Nagaland,262,Mokokchung,81.7,94.80000000000001,46.3,4.5,41.90000000000001
3_13_263_0,2001,Rural,3,India,13,Nagaland,263,Zunheboto,93.80000000000001,98.5,68.10000000000001,5,63.1
3_13_263_0,2001,Total,3,India,13,Nagaland,263,Zunheboto,92.2,97.60000000000001,67.90000000000001,4.7,63.2
3_13_263_0,2001,Urban,3,India,13,Nagaland,263,Zunheboto,80.60000000000001,92.40000000000001,65.3,2.1,63.2
3_13_264_0,2001,Rural,3,India,13,Nagaland,264,Wokha,95.40000000000001,99.60000000000001,61.8,4.100000000000001,57.7
3_13_264_0,2001,Total,3,India,13,Nagaland,264,Wokha,92.7,98.80000000000001,62.6,3.6,59
3_13_264_0,2001,Urban,3,India,13,Nagaland,264,Wokha,84.40000000000001,96,65.10000000000001,1.8,63.3
3_13_265_0,2001,Rural,3,India,13,Nagaland,265,Dimapur,86.5,100.3,64.5,3.2,61.3
3_13_265_0,2001,Total,3,India,13,Nagaland,265,Dimapur,85.40000000000001,99,60.1,3.1,57
3_13_265_0,2001,Urban,3,India,13,Nagaland,265,Dimapur,83.7,96.60000000000001,53.2,2.9,50.3
