id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,und_15_t,und_15_f,und_15_m
3_12_248_1,2001,Urban,3,India,12,India/China  1,248,Papum Pare,3.4,5.2,2.5
3_12_248_0,2001,Urban,3,India,12,Arunachal Pradesh,248,Papum Pare,3.4,5.2,2.5
3_12_249_1,2001,Rural,3,India,12,India/China  1,249,Upper Subansiri,1.1,1.3,.9
3_12_249_1,2001,Total,3,India,12,India/China  1,249,Upper Subansiri,1.2,1.6,.9
3_12_249_1,2001,Urban,3,India,12,India/China  1,249,Upper Subansiri,1.5,3,.8
3_12_250_1,2001,Rural,3,India,12,India/China  1,250,West Siang,4,4.800000000000001,3.3
3_12_250_0,2001,Rural,3,India,12,Arunachal Pradesh,250,West Siang,4,4.800000000000001,3.3
3_12_250_1,2001,Total,3,India,12,India/China  1,250,West Siang,3.9,5.2,3
3_12_250_0,2001,Total,3,India,12,Arunachal Pradesh,250,West Siang,3.9,5.2,3
3_12_250_1,2001,Urban,3,India,12,India/China  1,250,West Siang,3.7,8.300000000000001,2.2
3_12_250_0,2001,Urban,3,India,12,Arunachal Pradesh,250,West Siang,3.7,8.300000000000001,2.2
3_12_251_0,2001,Rural,3,India,12,Arunachal Pradesh,251,East Siang,3.6,3.8,3.5
3_12_251_1,2001,Rural,3,India,12,India/China  1,251,East Siang,3.6,3.8,3.5
3_12_251_0,2001,Total,3,India,12,Arunachal Pradesh,251,East Siang,3.4,4.100000000000001,2.9
3_12_251_1,2001,Total,3,India,12,India/China  1,251,East Siang,3.4,4.100000000000001,2.9
3_12_251_1,2001,Urban,3,India,12,India/China  1,251,East Siang,2.4,5.9,1.1
3_12_251_0,2001,Urban,3,India,12,Arunachal Pradesh,251,East Siang,2.4,5.9,1.1
3_12_252_1,2001,Rural,3,India,12,India/China  1,252,Upper Siang,2.3,2.8,2
3_12_252_1,2001,Total,3,India,12,India/China  1,252,Upper Siang,2.3,2.8,2
3_12_252_1,2001,Urban,3,India,12,India/China  1,252,Upper Siang,,,
3_12_253_0,2001,Rural,3,India,12,Arunachal Pradesh,253,Changlang,3.7,4.4,3.1
3_12_253_0,2001,Total,3,India,12,Arunachal Pradesh,253,Changlang,3.5,4.5,2.8
3_12_253_0,2001,Urban,3,India,12,Arunachal Pradesh,253,Changlang,2.3,8.300000000000001,.8
3_12_254_0,2001,Rural,3,India,12,Arunachal Pradesh,254,Tirap,2.2,2.8,1.6
3_12_254_0,2001,Total,3,India,12,Arunachal Pradesh,254,Tirap,2.1,3,1.4
3_12_254_0,2001,Urban,3,India,12,Arunachal Pradesh,254,Tirap,1.4,5.600000000000001,.3
3_12_255_1,2001,Rural,3,India,12,India/China  1,255,Lower Subansiri,3.9,4.3,3.6
3_12_255_1,2001,Total,3,India,12,India/China  1,255,Lower Subansiri,3.6,4.100000000000001,3.2
3_12_255_1,2001,Urban,3,India,12,India/China  1,255,Lower Subansiri,1.1,1.7,.8
3_12_256_1,2001,Rural,3,India,12,India/China  1,256,Kurung Kumey,3.9,4.3,3.6
3_12_256_1,2001,Total,3,India,12,India/China  1,256,Kurung Kumey,3.6,4.100000000000001,3.2
3_12_256_1,2001,Urban,3,India,12,India/China  1,256,Kurung Kumey,1.1,1.7,.8
3_12_257_1,2001,Rural,3,India,12,India/China  1,257,Dibang Valley,2.4,3.9,1.5
3_12_257_1,2001,Total,3,India,12,India/China  1,257,Dibang Valley,2.2,4,1.3
3_12_257_1,2001,Urban,3,India,12,India/China  1,257,Dibang Valley,1.2,5.4,.2
3_12_258_0,2001,Rural,3,India,12,Arunachal Pradesh,258,Lower Dibang Valley,2.4,3.9,1.5
3_12_258_1,2001,Rural,3,India,12,India/China  1,258,Lower Dibang Valley,2.4,3.9,1.5
3_12_258_0,2001,Total,3,India,12,Arunachal Pradesh,258,Lower Dibang Valley,2.2,4,1.3
3_12_258_1,2001,Total,3,India,12,India/China  1,258,Lower Dibang Valley,2.2,4,1.3
3_12_258_0,2001,Urban,3,India,12,Arunachal Pradesh,258,Lower Dibang Valley,1.2,5.4,.2
3_12_258_1,2001,Urban,3,India,12,India/China  1,258,Lower Dibang Valley,1.2,5.4,.2
3_12_259_0,2001,Rural,3,India,12,Arunachal Pradesh,259,Lohit,2.4,3.2,1.8
3_12_259_1,2001,Rural,3,India,12,India/China  1,259,Lohit,2.4,3.2,1.8
3_12_259_0,2001,Total,3,India,12,Arunachal Pradesh,259,Lohit,2.3,3.6,1.5
3_12_259_1,2001,Total,3,India,12,India/China  1,259,Lohit,2.3,3.6,1.5
3_12_259_0,2001,Urban,3,India,12,Arunachal Pradesh,259,Lohit,1.7,7.600000000000001,.4
3_12_259_1,2001,Urban,3,India,12,India/China  1,259,Lohit,1.7,7.600000000000001,.4
3_12_260_1,2001,Rural,3,India,12,India/China  1,260,Anjaw,2.4,3.2,1.8
3_12_260_0,2001,Rural,3,India,12,Arunachal Pradesh,260,Anjaw,2.4,3.2,1.8
3_12_260_0,2001,Total,3,India,12,Arunachal Pradesh,260,Anjaw,2.3,3.6,1.5
3_12_260_1,2001,Total,3,India,12,India/China  1,260,Anjaw,2.3,3.6,1.5
3_12_260_1,2001,Urban,3,India,12,India/China  1,260,Anjaw,1.7,7.600000000000001,.4
3_12_260_0,2001,Urban,3,India,12,Arunachal Pradesh,260,Anjaw,1.7,7.600000000000001,.4
3_13_261_0,2001,Rural,3,India,13,Nagaland,261,Mon,3.3,4.4,2.5
3_13_261_0,2001,Total,3,India,13,Nagaland,261,Mon,3.3,4.4,2.4
3_13_261_0,2001,Urban,3,India,13,Nagaland,261,Mon,2.9,5.600000000000001,1.5
3_13_262_0,2001,Rural,3,India,13,Nagaland,262,Mokokchung,6.300000000000001,6.7,6
3_13_262_0,2001,Total,3,India,13,Nagaland,262,Mokokchung,6.100000000000001,6.800000000000001,5.5
3_13_262_0,2001,Urban,3,India,13,Nagaland,262,Mokokchung,4.4,8.300000000000001,2.6
3_13_263_0,2001,Rural,3,India,13,Nagaland,263,Zunheboto,3.6,3.9,3.3
3_13_263_0,2001,Total,3,India,13,Nagaland,263,Zunheboto,3.4,3.9,3
3_13_263_0,2001,Urban,3,India,13,Nagaland,263,Zunheboto,1.9,3.6,1.2
3_13_264_0,2001,Rural,3,India,13,Nagaland,264,Wokha,2.9,3.1,2.7
3_13_264_0,2001,Total,3,India,13,Nagaland,264,Wokha,2.8,3.3,2.5
3_13_264_0,2001,Urban,3,India,13,Nagaland,264,Wokha,2.5,4.100000000000001,1.7
3_13_265_0,2001,Rural,3,India,13,Nagaland,265,Dimapur,3.2,5.4,2
3_13_265_0,2001,Total,3,India,13,Nagaland,265,Dimapur,2.9,6.4,1.5
3_13_265_0,2001,Urban,3,India,13,Nagaland,265,Dimapur,2.6,9.200000000000001,.7000000000000001
3_13_266_0,2001,Rural,3,India,13,Nagaland,266,Phek,5.300000000000001,5.600000000000001,4.9
3_13_266_0,2001,Total,3,India,13,Nagaland,266,Phek,5.4,5.800000000000001,5
3_13_266_0,2001,Urban,3,India,13,Nagaland,266,Phek,6.7,8.800000000000001,5.5
3_13_267_0,2001,Rural,3,India,13,Nagaland,267,Tuensang,4,4.7,3.4
3_13_267_0,2001,Total,3,India,13,Nagaland,267,Tuensang,3.9,4.7,3.2
3_13_267_0,2001,Urban,3,India,13,Nagaland,267,Tuensang,2.5,4.9,1.7
3_13_268_0,2001,Rural,3,India,13,Nagaland,268,Longleng,4,4.7,3.4
3_13_268_0,2001,Total,3,India,13,Nagaland,268,Longleng,3.9,4.7,3.2
3_13_268_0,2001,Urban,3,India,13,Nagaland,268,Longleng,2.5,4.9,1.7
3_13_269_0,2001,Rural,3,India,13,Nagaland,269,Kiphire,4,4.7,3.4
3_13_269_0,2001,Total,3,India,13,Nagaland,269,Kiphire,3.9,4.7,3.2
3_13_269_0,2001,Urban,3,India,13,Nagaland,269,Kiphire,2.5,4.9,1.7
3_13_270_0,2001,Rural,3,India,13,Nagaland,270,Kohima,3.1,4.5,2.4
3_13_270_0,2001,Total,3,India,13,Nagaland,270,Kohima,2.9,5,1.9
3_13_270_0,2001,Urban,3,India,13,Nagaland,270,Kohima,2.2,6.5,.9
3_13_271_0,2001,Rural,3,India,13,Nagaland,271,Peren,3.1,3.6,2.7
3_13_271_0,2001,Total,3,India,13,Nagaland,271,Peren,2.9,3.6,2.3
3_13_271_0,2001,Urban,3,India,13,Nagaland,271,Peren,1.9,3.8,1
3_14_272_0,2001,Rural,3,India,14,Manipur,272,Senapati,5.9,5.7,6.100000000000001
3_14_272_0,2001,Total,3,India,14,Manipur,272,Senapati,5.9,5.7,6.100000000000001
3_14_272_0,2001,Urban,3,India,14,Manipur,272,Senapati,,,
3_14_273_0,2001,Rural,3,India,14,Manipur,273,Tamenglong,3.2,3.5,3
3_14_273_0,2001,Total,3,India,14,Manipur,273,Tamenglong,3.2,3.5,3
3_14_273_0,2001,Urban,3,India,14,Manipur,273,Tamenglong,,,
3_14_274_0,2001,Rural,3,India,14,Manipur,274,Churachandpur,5.5,5.7,5.300000000000001
3_14_274_0,2001,Total,3,India,14,Manipur,274,Churachandpur,5.5,5.7,5.300000000000001
3_14_274_0,2001,Urban,3,India,14,Manipur,274,Churachandpur,,,
3_14_275_0,2001,Rural,3,India,14,Manipur,275,Bishnupur,12.3,10.7,13.7
3_14_275_0,2001,Total,3,India,14,Manipur,275,Bishnupur,11.1,9.9,12
3_14_275_0,2001,Urban,3,India,14,Manipur,275,Bishnupur,8.700000000000001,8.4,8.9
3_14_276_0,2001,Rural,3,India,14,Manipur,276,Thoubal,11.7,10.2,13
3_14_276_0,2001,Total,3,India,14,Manipur,276,Thoubal,11.7,10.2,13
3_14_276_0,2001,Urban,3,India,14,Manipur,276,Thoubal,11.6,10.2,12.8
3_14_277_0,2001,Rural,3,India,14,Manipur,277,Imphal West,12.1,11.2,12.8
3_14_277_0,2001,Total,3,India,14,Manipur,277,Imphal West,8.800000000000001,8.300000000000001,9.1
3_14_277_0,2001,Urban,3,India,14,Manipur,277,Imphal West,5.9,5.7,6.100000000000001
3_14_278_0,2001,Rural,3,India,14,Manipur,278,Imphal East,9.600000000000001,10.2,9.200000000000001
3_14_278_0,2001,Total,3,India,14,Manipur,278,Imphal East,8.4,9,8
3_14_278_0,2001,Urban,3,India,14,Manipur,278,Imphal East,5.100000000000001,5.7,4.7
3_14_279_0,2001,Rural,3,India,14,Manipur,279,Ukhrul,5,5.600000000000001,4.600000000000001
3_14_279_0,2001,Total,3,India,14,Manipur,279,Ukhrul,5,5.600000000000001,4.600000000000001
3_14_279_0,2001,Urban,3,India,14,Manipur,279,Ukhrul,,,
3_14_280_0,2001,Rural,3,India,14,Manipur,280,Chandel,5.4,4.5,6.2
3_14_280_0,2001,Total,3,India,14,Manipur,280,Chandel,5.300000000000001,4.4,6.100000000000001
3_14_280_0,2001,Urban,3,India,14,Manipur,280,Chandel,4.2,2.8,5.100000000000001
3_15_281_0,2001,Rural,3,India,15,Mizoram,281,Mamit,2,1.4,2.5
3_15_281_0,2001,Total,3,India,15,Mizoram,281,Mamit,2.2,1.8,2.6
3_15_281_0,2001,Urban,3,India,15,Mizoram,281,Mamit,3.5,3.7,3.3
3_15_282_0,2001,Rural,3,India,15,Mizoram,282,Kolasib,1,.7000000000000001,1.2
3_15_282_0,2001,Total,3,India,15,Mizoram,282,Kolasib,3.1,3,3.2
3_15_282_0,2001,Urban,3,India,15,Mizoram,282,Kolasib,4.800000000000001,4.7,4.9
3_15_283_0,2001,Rural,3,India,15,Mizoram,283,Aizawl,1.7,1.9,1.6
3_15_283_0,2001,Total,3,India,15,Mizoram,283,Aizawl,4.5,6.100000000000001,3.3
3_15_283_0,2001,Urban,3,India,15,Mizoram,283,Aizawl,5.5,7.9,3.8
3_15_284_0,2001,Rural,3,India,15,Mizoram,284,Champhai,1.9,1.9,1.9
3_15_284_0,2001,Total,3,India,15,Mizoram,284,Champhai,2.2,2.2,2.2
3_15_284_0,2001,Urban,3,India,15,Mizoram,284,Champhai,2.7,2.9,2.7
3_15_285_0,2001,Rural,3,India,15,Mizoram,285,Serchhip,1.6,1.7,1.6
3_15_285_0,2001,Total,3,India,15,Mizoram,285,Serchhip,2.2,2.2,2.2
3_15_285_0,2001,Urban,3,India,15,Mizoram,285,Serchhip,3,3,3
3_15_286_0,2001,Rural,3,India,15,Mizoram,286,Lunglei,.8,.9,.6000000000000001
3_15_286_0,2001,Total,3,India,15,Mizoram,286,Lunglei,1.8,2.5,1.3
3_15_286_0,2001,Urban,3,India,15,Mizoram,286,Lunglei,3.5,5.4,2.2
3_15_287_0,2001,Rural,3,India,15,Mizoram,287,Lawngtlai,3.4,4.2,2.7
3_15_287_0,2001,Total,3,India,15,Mizoram,287,Lawngtlai,3.6,4.600000000000001,2.9
3_15_287_0,2001,Urban,3,India,15,Mizoram,287,Lawngtlai,3.8,6.300000000000001,2.4
3_15_288_0,2001,Rural,3,India,15,Mizoram,288,Saiha,2.1,3,1.3
3_15_288_0,2001,Total,3,India,15,Mizoram,288,Saiha,2.5,3.7,1.6
3_15_288_0,2001,Urban,3,India,15,Mizoram,288,Saiha,3.8,6.300000000000001,2.4
3_16_289_0,2001,Rural,3,India,16,Tripura,289,West Tripura,7.5,10.5,5.800000000000001
3_16_289_0,2001,Total,3,India,16,Tripura,289,West Tripura,6.100000000000001,9,4.5
3_16_289_0,2001,Urban,3,India,16,Tripura,289,West Tripura,2.8,5.5,1.3
3_16_290_0,2001,Rural,3,India,16,Tripura,290,South Tripura,9.600000000000001,12,8.1
3_16_290_0,2001,Total,3,India,16,Tripura,290,South Tripura,9.1,11.8,7.5
3_16_290_0,2001,Urban,3,India,16,Tripura,290,South Tripura,3.2,8.300000000000001,1
3_16_291_0,2001,Rural,3,India,16,Tripura,291,Dhalai,8.1,9.700000000000001,7.100000000000001
3_16_291_0,2001,Total,3,India,16,Tripura,291,Dhalai,7.7,9.5,6.7
