id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,hh_size_t,ppl_room_t,ovr_crw_t
3_12_256_1,2001,Urban,3,India,12,India/China  1,256,Kurung Kumey,4.7,2.6,30.2
3_12_257_1,2001,Rural,3,India,12,India/China  1,257,Dibang Valley,4.800000000000001,3.1,38.8
3_12_257_1,2001,Total,3,India,12,India/China  1,257,Dibang Valley,4.7,3,36.4
3_12_257_1,2001,Urban,3,India,12,India/China  1,257,Dibang Valley,4.2,2.4,25.7
3_12_258_1,2001,Rural,3,India,12,India/China  1,258,Lower Dibang Valley,4.800000000000001,3.1,38.8
3_12_258_0,2001,Rural,3,India,12,Arunachal Pradesh,258,Lower Dibang Valley,4.800000000000001,3.1,38.8
3_12_258_1,2001,Total,3,India,12,India/China  1,258,Lower Dibang Valley,4.7,3,36.4
3_12_258_0,2001,Total,3,India,12,Arunachal Pradesh,258,Lower Dibang Valley,4.7,3,36.4
3_12_258_1,2001,Urban,3,India,12,India/China  1,258,Lower Dibang Valley,4.2,2.4,25.7
3_12_258_0,2001,Urban,3,India,12,Arunachal Pradesh,258,Lower Dibang Valley,4.2,2.4,25.7
3_12_259_1,2001,Rural,3,India,12,India/China  1,259,Lohit,5.100000000000001,2.9,34.2
3_12_259_0,2001,Rural,3,India,12,Arunachal Pradesh,259,Lohit,5.100000000000001,2.9,34.2
3_12_259_0,2001,Total,3,India,12,Arunachal Pradesh,259,Lohit,5,2.8,32.2
3_12_259_1,2001,Total,3,India,12,India/China  1,259,Lohit,5,2.8,32.2
3_12_259_1,2001,Urban,3,India,12,India/China  1,259,Lohit,4.5,2.5,25.3
3_12_259_0,2001,Urban,3,India,12,Arunachal Pradesh,259,Lohit,4.5,2.5,25.3
3_12_260_1,2001,Rural,3,India,12,India/China  1,260,Anjaw,5.100000000000001,2.9,34.2
3_12_260_0,2001,Rural,3,India,12,Arunachal Pradesh,260,Anjaw,5.100000000000001,2.9,34.2
3_12_260_0,2001,Total,3,India,12,Arunachal Pradesh,260,Anjaw,5,2.8,32.2
3_12_260_1,2001,Total,3,India,12,India/China  1,260,Anjaw,5,2.8,32.2
3_12_260_0,2001,Urban,3,India,12,Arunachal Pradesh,260,Anjaw,4.5,2.5,25.3
3_12_260_1,2001,Urban,3,India,12,India/China  1,260,Anjaw,4.5,2.5,25.3
3_13_261_0,2001,Rural,3,India,13,Nagaland,261,Mon,6.9,4,51.3
3_13_261_0,2001,Total,3,India,13,Nagaland,261,Mon,6.7,3.9,48.5
3_13_261_0,2001,Urban,3,India,13,Nagaland,261,Mon,5.300000000000001,2.5,22
3_13_262_0,2001,Rural,3,India,13,Nagaland,262,Mokokchung,6.5,2.6,23.4
