misAll2010State,misAll2010District,spatialId
UTTAR PRADESH,Jhansi,3_9_166_0
UTTAR PRADESH,Kanpur Dehat,3_9_163_0
UTTAR PRADESH,Kanpur Nagar,3_9_164_0
UTTAR PRADESH,Kheri,3_9_153_0
UTTAR PRADESH,Lalitpur,3_9_167_0
UTTAR PRADESH,Lucknow,3_9_157_0
UTTAR PRADESH,Maharajganj,3_9_187_0
UTTAR PRADESH,Mainpuri,3_9_148_0
UTTAR PRADESH,Mau,3_9_192_0
UTTAR PRADESH,Meerut,3_9_138_0
UTTAR PRADESH,Muzaffarnagar,3_9_133_0
UTTAR PRADESH,Mirzapur,3_9_199_0
UTTAR PRADESH,Moradabad,3_9_135_0
UTTAR PRADESH,Nagar Hardwar,3_5_68_0
UTTAR PRADESH,Nainital,3_5_66_0
UTTAR PRADESH,Pilibhit,3_9_151_0
UTTAR PRADESH,Pithoragarh,3_5_62_0
UTTAR PRADESH,Pratapgarh,3_9_173_0
UTTAR PRADESH,Rae Bareli,3_9_158_0
UTTAR PRADESH,Rampur,3_9_136_0
UTTAR PRADESH,Saharanpur,3_9_132_0
UTTAR PRADESH,Shahjahanpur,3_9_152_0
UTTAR PRADESH,Siddharthnagar,3_9_184_0
UTTAR PRADESH,Sitapur,3_9_154_0
UTTAR PRADESH,Sonbhadra,3_9_200_0
UTTAR PRADESH,Sultanpur,3_9_179_0
UTTAR PRADESH,Unnao,3_9_156_0
UTTAR PRADESH,Uttarkashi,3_5_56_0
UTTAR PRADESH,Varanasi,3_9_197_0
WEST BENGAL,Bankura,3_19_339_0
WEST BENGAL,Barddhaman,3_19_335_0
WEST BENGAL,Birbhum,3_19_334_0
WEST BENGAL,Darjiling,3_19_327_0
WEST BENGAL,Howrah,3_19_341_0
WEST BENGAL,Hugli,3_19_338_0
WEST BENGAL,Jalpaiguri,3_19_328_0
WEST BENGAL,Koch Bihar,3_19_329_0
WEST BENGAL,Kolkata,3_19_342_0
WEST BENGAL,Maldah,3_19_332_0
WEST BENGAL,Medinipur,3_19_344_0
WEST BENGAL,Murshidabad,3_19_333_0
WEST BENGAL,Nadia,3_19_336_0
WEST BENGAL,North 24-Parganas,3_19_337_0
WEST BENGAL,Puruliya,3_19_340_0
WEST BENGAL,South 24-Parganas,3_19_343_0
WEST BENGAL,West Dinajpur,3_19_344_0
