state,district,spatialId,finalId,year,mis_out_3b,mis_Y_3b,mis_L_3b,mis_T_3b,mis_KT_3b,mis_K_3b
BIHAR,Purnia,3_10_211_0,3_10_211_0,2e3,-0.071138,-0.177125,0.069268,0.253145,0.238437,0.191608
BIHAR,Purnia,3_10_211_0,3_10_211_0,2010.0,-0.409897,-0.349166,-0.040262,-0.106221,-0.129783,-0.147441
BIHAR,Ranchi,3_20_364_0,3_20_364_0,2e3,-1.14352,-1.235413,0.106445,-0.807465,-1.085236,-1.182472
BIHAR,Ranchi,3_20_364_0,3_20_364_0,2010.0,-0.888194,-0.886168,0.06672,-0.738176,-0.870446,-0.865061
BIHAR,Rohtas,3_10_234_0,3_10_234_0,2e3,-0.452367,-0.502508,0.082170000000000007,-0.148515,-0.341129,-0.515647
BIHAR,Rohtas,3_10_234_0,3_10_234_0,2010.0,-0.674865,-0.770809,-0.155373,-0.022498,-0.239941,-0.660541
BIHAR,Saharsa,3_10_214_0,3_10_214_0,2e3,-0.203479,-0.285748,0.120517,0.240347,0.219081,0.08183
BIHAR,Saharsa,3_10_214_0,3_10_214_0,2010.0,-0.064297000000000007,-0.138781,0.124302,0.18915,0.148183,0.04484
BIHAR,Sahibganj,3_20_352_0,3_20_352_0,2e3,-1.562652,-1.729694,-1.424268,-1.672002,-1.484428,-0.592033
BIHAR,Sahibganj,3_20_352_0,3_20_352_0,2010.0,-0.057403,-0.066162,0.680854,0.489257,0.422444,-0.132778
BIHAR,Samastipur,3_10_221_0,3_10_221_0,2e3,-0.537785,-0.451833,-0.064245,-0.169515,-0.499174,-0.836308
BIHAR,Samastipur,3_10_221_0,3_10_221_0,2010.0,0.127118,0.137203,0.212644,0.179064,0.100046,-0.044335
BIHAR,Saran,3_10_219_0,3_10_219_0,2e3,-1.112202,-0.647538,-0.101977,0.020467,-0.181509,-0.708903
BIHAR,Saran,3_10_219_0,3_10_219_0,2010.0,0.089555,-0.006489,0.137749,0.209362,0.185153,0.079832
BIHAR,Singhbhum,3_20_368_0,3_20_368_0,2e3,-0.429869,-0.53552,-0.058156,0.211922,0.093754,0.027269
BIHAR,Singhbhum,3_20_368_0,3_20_368_0,2010.0,-0.881046,-1.05672,-0.971228,-0.97471,-0.954112,-0.952861
BIHAR,Sitamarhi,3_10_206_0,3_10_206_0,2e3,0.080206,0.043069,0.232272,0.364697,0.359795,0.197633
BIHAR,Sitamarhi,3_10_206_0,3_10_206_0,2010.0,-3.5e-5,0.077878,0.293395,0.270785,0.314932,0.35031
BIHAR,Siwan,3_10_218_0,3_10_218_0,2e3,-0.338972,-0.461039,0.383938,0.621436,0.806108,0.962877
BIHAR,Siwan,3_10_218_0,3_10_218_0,2010.0,0.042921,0.034596,0.237726,0.110844,0.156022,0.234397
BIHAR,Vaishali,3_10_220_0,3_10_220_0,2e3,-1.856547,-1.815036,-0.131233,-0.336519,-0.655485,-1.250038
BIHAR,Vaishali,3_10_220_0,3_10_220_0,2010.0,0.107962,-0.074055,0.317537,0.361584,0.203989,-0.043374
CHANDIGARH,Chandigarh,3_4_55_0,3_4_55_0,2e3,-0.596801,-0.435312,-0.119312,0.259516,0.145611,0.117955
CHANDIGARH,Chandigarh,3_4_55_0,3_4_55_0,2010.0,-1.032638,-0.898549,-0.357302,-0.07828,-0.090498,-0.11217
DELHI,Delhi,3_7_94_0,3_7_94_0,2e3,-1.007285,-1.192047,-0.590303,-0.207828,-0.28419,-0.30782
DELHI,Delhi,3_7_94_0,3_7_94_0,2010.0,-0.912568,-1.024516,-0.368992,-0.333519,-0.304411,-0.20643
GOA,North Goa,3_30_585_0,3_30_585_0,2e3,-1.643061,-1.865331,-0.62588,-1.120177,-1.25098,-1.321092
GOA,North Goa,3_30_585_0,3_30_585_0,2010.0,-0.756178,-1.101957,-0.405999,-0.291876,-0.419761,-0.52602
GOA,South Goa,3_30_586_0,3_30_586_0,2e3,-0.680939,-1.004,-0.234345,-0.505238,-0.594899,-0.647459
GOA,South Goa,3_30_586_0,3_30_586_0,2010.0,-0.345503,-1.015679,0.095121,-0.145543,-0.101572,-0.095385
GUJARAT,Ahmedabad,3_24_474_0,3_24_474_0,2e3,-0.284984,-0.409948,0.131788,0.23548,0.116282,0.058478
GUJARAT,Ahmedabad,3_24_474_0,3_24_474_0,2010.0,-0.478329,-0.518439,0.089274,-0.028189,-0.007929,-0.01237
GUJARAT,Amreli,3_24_480_0,3_24_480_0,2e3,-0.851533,-0.883819,-0.164444,-0.593114,-0.951372,-0.997886
GUJARAT,Amreli,3_24_480_0,3_24_480_0,2010.0,-1.679395,-1.652484,-0.175437,-1.12929,-1.650703,-1.839083
GUJARAT,Bans Kantha,3_24_469_0,3_24_469_0,2e3,-0.772171,-0.810033,-0.249967,0.02,-0.050526,-0.117119
GUJARAT,Bans Kantha,3_24_469_0,3_24_469_0,2010.0,-0.62104,-0.790946,-0.153547,-0.028565,-0.371574,-0.625596
GUJARAT,Bharuch,3_24_488_0,3_24_488_0,2e3,-0.698371,-0.759017,-0.067235,-0.375527,-0.225026,-0.201866
GUJARAT,Bharuch,3_24_488_0,3_24_488_0,2010.0,-0.645467,-1.033282,-0.422488,0.041575,0.303877,0.37627
GUJARAT,Bhavnagar,3_24_481_0,3_24_481_0,2e3,-0.309472,-0.405552,-0.21221,0.058664,0.18074,0.337998
GUJARAT,Bhavnagar,3_24_481_0,3_24_481_0,2010.0,-0.146516,-0.210845,-0.050638,-0.08616,-0.065354,-0.047868
GUJARAT,Gandhinagar,3_24_473_0,3_24_473_0,2e3,-0.254114,-0.58766,-0.16317,-0.159423,-0.09106,-0.067725
GUJARAT,Gandhinagar,3_24_473_0,3_24_473_0,2010.0,0.055312,-0.3112,0.187407,0.269459,0.422866,0.480462
GUJARAT,Jamnagar,3_24_477_0,3_24_477_0,2e3,0.315781,0.257332,0.034912,0.379795,0.8289,1.023564
GUJARAT,Jamnagar,3_24_477_0,3_24_477_0,2010.0,-0.318134,-0.412718,-0.177481,0.028804,-0.039989,-0.095047
GUJARAT,Junagadh,3_24_479_0,3_24_479_0,2e3,0.079447,0.27785,0.094139,0.196299,0.255291,0.265101
GUJARAT,Junagadh,3_24_479_0,3_24_479_0,2010.0,-0.009611,0.058218,0.029638,0.144721,0.542511,0.553777
GUJARAT,Kachchh,3_24_468_0,3_24_468_0,2e3,-0.931285,-1.155425,-0.252392,-0.358512,-0.482448,-0.578427
GUJARAT,Kachchh,3_24_468_0,3_24_468_0,2010.0,-0.259318,-0.516934,0.04541,0.151797,0.566566,0.645418
GUJARAT,Kheda,3_24_483_0,3_24_483_0,2e3,-0.975573,-0.558166,-0.31212,-0.315282,-0.335579,-0.322009
GUJARAT,Kheda,3_24_483_0,3_24_483_0,2010.0,-0.667383,-0.773202,-0.289311,0.026958,0.207162,0.330833
GUJARAT,Mahesana,3_24_471_0,3_24_471_0,2e3,-0.772171,-0.810033,-0.249967,0.02,-0.050526,-0.117119
GUJARAT,Mahesana,3_24_471_0,3_24_471_0,2010.0,-0.62104,-0.790946,-0.153547,-0.028565,-0.371574,-0.625596
GUJARAT,Panch Mahals,3_24_484_0,3_24_484_0,2e3,-0.161839,-1.186867,0.019828,0.210489,0.722839,0.962756
GUJARAT,Panch Mahals,3_24_484_0,3_24_484_0,2010.0,-0.753193,-0.840165,-0.469537,-0.426796,-0.454477,-0.479726
GUJARAT,Rajkot,3_24_476_0,3_24_476_0,2e3,-0.558501,-0.749529,-0.20908,-0.281684,-0.193287,-0.128837
GUJARAT,Rajkot,3_24_476_0,3_24_476_0,2010.0,-0.268805,-0.473143,0.034368,0.30329,0.280441,0.197339
GUJARAT,Sabar Kantha,3_24_472_0,3_24_472_0,2e3,-0.941303,-1.049261,-0.116391,-0.234324,-0.301403,-0.375539
GUJARAT,Sabar Kantha,3_24_472_0,3_24_472_0,2010.0,-0.843079,-0.998186,-0.88817,-0.992884,-0.830784,-0.581481
GUJARAT,Surat,3_24_492_0,3_24_492_0,2e3,-0.854683,-0.960002,-0.26586,-0.189826,-0.089439,-0.179999
GUJARAT,Surat,3_24_492_0,3_24_492_0,2010.0,-0.348508,-0.488106,0.046058,0.21121500000000001,-0.022729,-0.172916
GUJARAT,Surendranagar,3_24_475_0,3_24_475_0,2e3,-0.031061,-0.43708,-0.0853,0.909505,1.130024,1.235144
GUJARAT,Surendranagar,3_24_475_0,3_24_475_0,2010.0,-0.639454,-0.761867,-0.458112,-0.353365,-0.223534,0.118645
GUJARAT,The Dangs,3_24_489_0,3_24_489_0,2e3,-0.275308,-0.11471,0.318856,0.264535,0.222101,0.131325
GUJARAT,The Dangs,3_24_489_0,3_24_489_0,2010.0,0.130594,0.091224,0.339467,0.352397,0.377268,0.357979
GUJARAT,Vadodara,3_24_486_0,3_24_486_0,2e3,-0.336207,-0.496467,-0.634895,-0.058283,0.012306,0.071072
GUJARAT,Vadodara,3_24_486_0,3_24_486_0,2010.0,-0.332838,-0.522831,0.027511,-0.01935,-0.0173,-0.007189
GUJARAT,Valsad,3_24_491_0,3_24_491_0,2e3,-0.718426,-0.865794,-0.521583,-0.528332,-0.535675,-0.518469
GUJARAT,Valsad,3_24_491_0,3_24_491_0,2010.0,-0.431782,-0.73916,-0.214179,-0.062879,0.041477,0.092203
HARYANA,Ambala,3_6_70_0,3_6_70_0,2e3,-0.448977,-0.493324,-0.329369,-0.291322,-0.351871,-0.359551
HARYANA,Ambala,3_6_70_0,3_6_70_0,2010.0,-0.63172,-0.666687,-0.178437,-0.104297,0.013031,0.138133
HARYANA,Bhiwani,3_6_81_0,3_6_81_0,2e3,-0.602737,-0.557251,-0.257135,-0.098167,-0.27087,-0.604716
HARYANA,Bhiwani,3_6_81_0,3_6_81_0,2010.0,-0.970115,-0.932022,-0.44329,-0.203443,-0.277984,-0.462062
HARYANA,Faridabad,3_6_88_0,3_6_88_0,2e3,-0.457317,-0.634435,-0.131713,-0.106567,-0.07942,-0.06182
HARYANA,Faridabad,3_6_88_0,3_6_88_0,2010.0,0.055286,-0.103215,0.192151,0.289532,0.2736,0.241676
HARYANA,Gurgaon,3_6_86_0,3_6_86_0,2e3,-0.623907,-0.78971,-0.299664,-0.318793,-0.307474,-0.296282
HARYANA,Gurgaon,3_6_86_0,3_6_86_0,2010.0,-0.108697,-0.344445,0.251519,-0.061386,0.054982,0.166047
HARYANA,Hisar,3_6_80_0,3_6_80_0,2e3,-0.938852,-1.044149,-0.158013,-0.392991,-0.9115,-1.114384
HARYANA,Hisar,3_6_80_0,3_6_80_0,2010.0,-1.203855,-0.739386,-0.140688,0.02314,-0.152822,-0.589295
HARYANA,Jind,3_6_77_0,3_6_77_0,2e3,-0.575674,-0.489241,-0.085132,-0.081166,-0.119126,-0.340592
HARYANA,Jind,3_6_77_0,3_6_77_0,2010.0,-1.226847,-1.180045,-0.131841,-0.187921,-0.32507,-0.846449
HARYANA,Kaithal,3_6_73_0,3_6_73_0,2e3,-0.29874,-0.232667,0.030128,0.185152,0.145713,0.028485
HARYANA,Kaithal,3_6_73_0,3_6_73_0,2010.0,-0.588604,-0.534518,-0.03171,0.20427,0.13876,-0.139426
HARYANA,Karnal,3_6_74_0,3_6_74_0,2e3,-1.076976,-1.053665,-0.248332,-0.453818,-0.576936,-0.931611
HARYANA,Karnal,3_6_74_0,3_6_74_0,2010.0,-0.808273,-0.739365,0.132849,-0.164624,0.473742,1.109911
