distCode,spatialId,finalId,distName,spatialState,spatialDistrict,nss2001State,nss2001District,nss2010State,nss2010District,Note,state,district,long,lat,gqDistance,nsewDistance,gqStraightDistance,nsewStraightDistance,districtType
610,3_6_78_0,3_6_78_0,Fatehabad,Haryana,Fatehabad,Haryana,Fatehabad,Haryana,Fatehabad,NA,Haryana,Fatehabad,75.58350211,29.57335221,187.52063014327751,133.6797034683926,190.85132446069608,87.41220651820097,not nodal
612,3_6_80_0,3_6_80_0,Hissar,Haryana,Hisar,Haryana,Hisar,Haryana,Hisar,NA,Haryana,Hisar,75.82596703,29.21190369,142.66657960592656,113.65461655732763,150.29928030496256,86.36940261643207,not nodal
613,3_6_81_0,3_6_81_0,Bhiwani,Haryana,Bhiwani,Haryana,Bhiwani,Haryana,Bhiwani,NA,Haryana,Bhiwani,75.9679877,28.71695754,92.95498583908186,114.34356176137344,115.82133585475263,100.97039747686479,not nodal
617,3_6_85_0,3_6_85_0,Rewari,Haryana,Rewari,Haryana,Rewari,Haryana,Rewari,NA,Haryana,Rewari,76.54405824,28.23554876,18.52501313537306,81.46247290520897,43.100042027068916,76.84249477223655,not nodal
618,3_6_86_0,3_6_86_0,Gurgaon,Haryana,Gurgaon,Haryana,Gurgaon,Haryana,Gurgaon,Mewat district split from Gurgaon,Haryana,Gurgaon,76.94312295,28.36952746,0.8296986487194248,41.308147859703034,13.049128067280492,35.266500179129316,nodal
619,3_6_88_0,3_6_88_0,Faridabad,Haryana,Faridabad,Haryana,Faridabad,Haryana,Faridabad,Palwal district split from Faridabad,Haryana,Faridabad,77.34195549,28.35415504,0.01030443326217894,31.768972342640335,18.712442005241897,1.205224413092931,nodal
701,3_7_90_0,3_7_90_0,North West,NCT Of Delhi,North West,Delhi,North West,Delhi,North West,NA,NCT Of Delhi,North West,77.08441412,28.77053879,18.129089417630702,6.215507346355848,21.450956884108948,2.0966189862205766,nodal
702,3_7_91_0,3_7_91_0,North,NCT Of Delhi,North,Delhi,North,Delhi,North,NA,NCT Of Delhi,North,77.20905726,28.71135344,6.318544624371173,0.8841151512649682,11.21420146435321,5.506636686087206,nodal
703,3_7_92_0,3_7_92_0,North East,NCT Of Delhi,North East,Delhi,North East,Delhi,North East,NA,NCT Of Delhi,North East,77.26712577,28.70908354,6.5248064374810895,5.371046320332004,12.434702351035392,10.3916099461415,nodal
704,3_7_93_0,3_7_93_0,East,NCT Of Delhi,East,Delhi,East,Delhi,East,NA,NCT Of Delhi,East,77.29506157,28.63367581,4.644252783036919,4.744386802006553,6.357543840570824,8.826364337674821,nodal
707,3_7_96_0,3_7_96_0,West,NCT Of Delhi,West,Delhi,West,Delhi,West,NA,NCT Of Delhi,West,77.06034903,28.6563852,13.101968586482514,13.69142561021251,15.167445793604447,10.222877506732717,nodal
708,3_7_97_0,3_7_97_0,South West,NCT Of Delhi,South West,Delhi,South West,Delhi,South West,NA,NCT Of Delhi,South West,77.0129808,28.57466009,11.10865262409382,23.30152323184924,15.797430066181125,18.644504056979834,nodal
709,3_7_98_0,3_7_98_0,South,NCT Of Delhi,South,Delhi,South,Delhi,South,NA,NCT Of Delhi,South,77.22296938,28.50567809,8.611860600276895,13.719574907969097,6.1143790091727865,3.9353714228153414,nodal
710,NA,NA,Delhi Municipal Corp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
711,NA,NA,New Delhi Municipal C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712,NA,NA,Kirari Suleman Nagar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
803,3_8_101_0,3_8_101_0,Bikaner,Rajasthan,Bikaner,Rajasthan,Bikaner,Rajasthan,Bikaner,NA,Rajasthan,Bikaner,73.18612448,28.17667302,237.74783171814263,378.5367609708995,344.91260833879477,367.89239983377155,not nodal
