NSS State,"NSSSub region",NSS District,"NSSStatecode","NSSSub_regcode","NSS_Distcode"
KAR,Inland Northern,Gulbarga,11,4,11
KAR,Inland Northern,Raichur,11,4,17
KAR,Inland Southern,Bangalore (Urban),11,3,1
KAR,Inland Southern,Bangalore (Rural),11,3,2
KAR,Inland Southern,Kolar,11,3,14
KAR,Inland Southern,Mysore,11,3,16
KAR,Inland Southern,Tumkur,11,3,19
KER,Northern,Kasargod,12,1,1
KER,Northern,Kannur,12,1,2
KER,Northern,Wayanad,12,1,3
KER,Northern,Kozhikode,12,1,4
KER,Northern,Malapuram,12,1,5
KER,Northern,Palakkad,12,1,6
KER,Southern,Trichur,12,2,7
KER,Southern,Ernakulam,12,2,8
KER,Southern,Idukki,12,2,9
KER,Southern,Alappuzm,12,2,11
KER,Southern,Pathanamthitta,12,2,12
KER,Southern,Kollam,12,2,13
KER,Southern,Kottayam,12,2,10
KER,Southern,Thiruvananthapuram,12,2,14
LAK,LAK,Lakshadweep,32,1,1
MAH,Coastal,Greater Bombay,14,1,1
MAH,Coastal,Thane,14,1,2
MAH,Coastal,Raigarh (Kulaba),14,1,3
MAH,Coastal,Ratnagiri,14,1,4
MAH,Coastal,Sindhudurg,14,1,5
MAH,Eastern,Bhandara,14,6,28
MAH,Eastern,Chandrapur,14,6,29
MAH,Eastern,Gadchiroli,14,6,30
MAH,Inland Central,Aurangabad,14,4,15
MAH,Inland Central,Jalna,14,4,16
MAH,Inland Central,Parbhani,14,4,17
MAH,Inland Central,Bid,14,4,18
MAH,Inland Central,Nanded,14,4,19
MAH,Inland Central,Osmanabad,14,4,20
KAR,Inland Southern,Mysore,11,3,16
KAR,Inland Southern,Tumkur,11,3,19
KER,Northern,Kasargod,12,1,1
KER,Northern,Kannur,12,1,2
KER,Northern,Wayanad,12,1,3
KER,Northern,Kozhikode,12,1,4
KER,Northern,Malapuram,12,1,5
KER,Northern,Palakkad,12,1,6
KER,Southern,Trichur,12,2,7
KER,Southern,Ernakulam,12,2,8
KER,Southern,Idukki,12,2,9
KER,Southern,Alappuzm,12,2,11
KER,Southern,Pathanamthitta,12,2,12
KER,Southern,Kollam,12,2,13
KER,Southern,Kottayam,12,2,10
KER,Southern,Thiruvananthapuram,12,2,14
LAK,LAK,Lakshadweep,32,1,1
MAH,Coastal,Greater Bombay,14,1,1
MAH,Coastal,Thane,14,1,2
MAH,Coastal,Raigarh (Kulaba),14,1,3
MAH,Coastal,Ratnagiri,14,1,4
MAH,Coastal,Sindhudurg,14,1,5
MAH,Eastern,Bhandara,14,6,28
MAH,Eastern,Chandrapur,14,6,29
MAH,Eastern,Gadchiroli,14,6,30
MAH,Inland Central,Aurangabad,14,4,15
MAH,Inland Central,Jalna,14,4,16
MAH,Inland Central,Parbhani,14,4,17
MAH,Inland Central,Bid,14,4,18
MAH,Inland Central,Nanded,14,4,19
MAH,Inland Central,Osmanabad,14,4,20
MAH,Inland East,Buldana,14,5,22
MAH,Inland East,Akola,14,5,23
MAH,Inland East,Amravati,14,5,24
MAH,Inland East,Yavatmal,14,5,25
MAH,Inland East,Wardha,14,5,26
MAH,Inland East,Nagpur,14,5,27
MAH,Inland North,Nasik,14,3,6
MAH,Inland North,Dhule,14,3,7
MAH,Inland North,Jalgaon,14,3,8
MAH,Inland West,Ahmadnagar,14,2,9
MAH,Inland West,Pune,14,2,10
MAH,Inland West,Satara,14,2,11
MAH,Inland West,Sangli,14,2,12
MAH,Inland West,Solapur,14,2,13
MAH,Inland West,Kolhapur,14,2,14
MAN,Hills,Senapati,15,2,1
MAN,Hills,Tamenglong,15,2,2
MAN,Hills,Churachandpur,15,2,3
MAN,Hills,Chandel,15,2,4
MAN,Hills,Ukhrul,15,2,8
MAN,Plains,Thoubal,15,1,5
MAN,Plains,Bishnupur,15,1,6
MAN,Plains,Imphal,15,1,7
MEG,MEG,Jaintia Hills,16,1,1
MEG,MEG,East Khasi Hills,16,1,2
MEG,MEG,West Khasi Hills,16,1,3
MEG,MEG,East Garo Hills,16,1,4
MEG,MEG,West Garo Hills,16,1,5
MEG,MEG,Ri-bhoi,16,1,6
MEG,MEG,Bhagmara,16,1,7
MIZ,MIZ,Aizwal,17,1,1
MAH,Inland East,Buldana,14,5,22
MAH,Inland East,Akola,14,5,23
MAH,Inland East,Amravati,14,5,24
MAH,Inland East,Yavatmal,14,5,25
MAH,Inland East,Wardha,14,5,26
MAH,Inland East,Nagpur,14,5,27
MAH,Inland North,Nasik,14,3,6
MAH,Inland North,Dhule,14,3,7
MAH,Inland North,Jalgaon,14,3,8
MAH,Inland West,Ahmadnagar,14,2,9
MAH,Inland West,Pune,14,2,10
MAH,Inland West,Satara,14,2,11
MAH,Inland West,Sangli,14,2,12
MAH,Inland West,Solapur,14,2,13
MAH,Inland West,Kolhapur,14,2,14
