distCode,distName,spatialId,finalId
2810,Khammam,3_28_541_0,3_28_541_0
2813,Visakhapatnam,3_28_544_0,3_28_544_0
2814,East Godavari,3_28_545_0,3_28_545_0
2815,West Godavari,3_28_546_0,3_28_546_0
2816,Krishna,3_28_547_0,3_28_547_0
2817,Guntur,3_28_548_0,3_28_548_0
2818,Prakasam,3_28_549_0,3_28_549_0
2819,Nellore,3_28_550_0,3_28_550_0
2820,Cuddapah,3_28_551_0,3_28_551_0
2821,Kurnool,3_28_552_0,3_28_552_0
2822,Anantapur,3_28_553_0,3_28_553_0
2823,Chittoor,3_28_554_0,3_28_554_0
2901,Belgaum,3_29_555_0,3_29_555_0
2902,Bagalkot,3_29_556_0,3_29_556_0
2903,Bijapur,3_29_557_0,3_29_557_0
2905,Bidar,3_29_558_0,3_29_558_0
2906,Raichur,3_29_559_0,3_29_559_0
2907,Koppal,3_29_560_0,3_29_560_0
2908,Gadag,3_29_561_0,3_29_561_0
2909,Dharwad,3_29_562_0,3_29_562_0
2910,Uttar Kannad,3_29_563_0,3_29_563_0
2911,Haveri,3_29_564_0,3_29_564_0
2912,Bellary,3_29_565_0,3_29_565_0
2913,Chitradurga,3_29_566_0,3_29_566_0
2914,Davanagere,3_29_567_0,3_29_567_0
2915,Shimoga,3_29_568_0,3_29_568_0
2916,Udupi,3_29_569_0,3_29_569_0
2917,Chikmagalur,3_29_570_0,3_29_570_0
2918,Tumkur,3_29_571_0,3_29_571_0
2919,Kolar,3_29_581_0,3_29_581_0
2920,Bangalore,3_29_572_0,3_29_572_0
2921,Bangalore Rural,3_29_583_0,3_29_583_0
2922,Mandya,3_29_573_0,3_29_573_0
2924,Dakshin Kannada,3_29_575_0,3_29_575_0
2925,Kodagu,3_29_576_0,3_29_576_0
2926,Mysore,3_29_577_0,3_29_577_0
2927,Chamarajanagar,3_29_578_0,3_29_578_0
3001,North Goa,3_30_585_0,3_30_585_0
3002,South Goa,3_30_586_0,3_30_586_0
3202,Kannur,3_32_589_0,3_32_589_0
3204,Kozhikode,3_32_591_0,3_32_591_0
3205,Malappuram,3_32_592_0,3_32_592_0
3206,Palakkad,3_32_593_0,3_32_593_0
3207,Thrissur,3_32_594_0,3_32_594_0
3208,Ernakulam,3_32_595_0,3_32_595_0
3209,Idukki,3_32_596_0,3_32_596_0
3210,Kottayam,3_32_597_0,3_32_597_0
3211,Alappuzha,3_32_598_0,3_32_598_0
3212,Pathanamthitta,3_32_599_0,3_32_599_0
3213,Kollam,3_32_600_0,3_32_600_0
3214,Thiruvananthapuram,3_32_601_0,3_32_601_0
3301,Thiruvallur,3_33_602_0,3_33_602_0
3302,Chennai,3_33_603_0,3_33_603_0
3303,Kancheepuram,3_33_604_0,3_33_604_0
3304,Vellore,3_33_605_0,3_33_605_0
3305,Dharampuri,3_33_630_0,3_33_630_0
3306,Tiruvannamalai,3_33_606_0,3_33_606_0
3309,Namakkal,3_33_609_0,3_33_609_0
3310,Erode,3_33_610_0,3_33_632_0
3312,Coimbatore,3_33_632_0,3_33_632_0
3313,Dindigul,3_33_612_0,3_33_612_0
3314,Karur,3_33_613_0,3_33_613_0
3315,Tiruchchirappalli,3_33_614_0,3_33_614_0
3316,Perambalur,3_33_615_0,3_33_615_0
3317,Ariyalur,3_33_616_0,3_33_616_0
3323,Sivaganga,3_33_622_0,3_33_622_0
3324,Madurai,3_33_623_0,3_33_623_0
3325,Theni,3_33_624_0,3_33_624_0
3327,Ramanathapuram,3_33_626_0,3_33_626_0
3328,Thoothukkudi,3_33_627_0,3_33_627_0
3329,Tirunelveli,3_33_628_0,3_33_628_0
3330,Kanniyakumari,3_33_629_0,3_33_629_0
3402,Pondicherry,3_34_635_0,3_34_635_0
4902,Fatehpur,3_9_172_0,3_9_172_0
