distCode,spatialId,finalId,distName,spatialState,spatialDistrict,nss2001State,nss2001District,nss2010State,nss2010District,Note
904,3_9_135_0,3_9_135_0,Moradabad,Uttar Pradesh,Moradabad,Uttar Pradesh,Moradabad,Uttar Pradesh,Moradabad,NA
905,3_9_136_0,3_9_136_0,Rampur,Uttar Pradesh,Rampur,Uttar Pradesh,Raopur,Uttar Pradesh,Rampur,NA
906,3_9_137_0,3_9_137_0,Jyotiva Phule Nagar,Uttar Pradesh,Jyotiba Phule Nagar,Uttar Pradesh,Jyotiba Phule Nagar,Uttar Pradesh,J. Phule Nagar,NA
907,3_9_138_0,3_9_138_0,Meerut,Uttar Pradesh,Meerut,Uttar Pradesh,Meerut,Uttar Pradesh,Meerut,NA
909,3_9_140_0,3_9_140_0,Ghaziabad,Uttar Pradesh,Ghaziabad,Uttar Pradesh,Ghaziabad,Uttar Pradesh,Ghaziabad,NA
910,3_9_141_0,3_9_141_0,Gautam Buddha Nagar,Uttar Pradesh,Gautam Buddha Nagar,Uttar Pradesh,Gautam Budh Nagar,Uttar Pradesh,G. Buddha Nagar,NA
913,3_9_144_0,3_9_144_0,Hathras,Uttar Pradesh,Mahamaya Nagar,Uttar Pradesh,Hathras,Uttar Pradesh,Hathras,NA
914,3_9_145_0,3_9_145_0,Mathura,Uttar Pradesh,Mathura,Uttar Pradesh,Mathura,Uttar Pradesh,Mathura,NA
915,3_9_146_0,3_9_146_0,Agra,Uttar Pradesh,Agra,Uttar Pradesh,Agra,Uttar Pradesh,Agra,NA
919,3_9_149_0,3_9_149_0,Budaun,Uttar Pradesh,Budaun,Uttar Pradesh,Budaun,Uttar Pradesh,Budaun,NA
920,3_9_150_0,3_9_150_0,Bareilly,Uttar Pradesh,Bareilly,Uttar Pradesh,Bareilly,Uttar Pradesh,Bareilly,NA
923,3_9_153_0,3_9_153_0,Kheri,Uttar Pradesh,Kheri,Uttar Pradesh,Khiri,Uttar Pradesh,Kheri,NA
924,3_9_154_0,3_9_154_0,Sitapur,Uttar Pradesh,Sitapur,Uttar Pradesh,Sitapur,Uttar Pradesh,Sitapur,NA
928,3_9_157_0,3_9_157_0,Lucknow,Uttar Pradesh,Lucknow,Uttar Pradesh,Lucknow,Uttar Pradesh,Lucknow,NA
929,3_9_159_0,3_9_159_0,Farrukabad,Uttar Pradesh,Farrukhabad,Uttar Pradesh,Farrukhabad,Uttar Pradesh,Farrukhabad,NA
930,3_9_160_0,3_9_160_0,Kannauj,Uttar Pradesh,Kannauj,Uttar Pradesh,Kannauj,Uttar Pradesh,Kannauj,NA
933,3_9_163_0,3_9_163_0,Kanpur Dehat,Uttar Pradesh,Kanpur Dehat,Uttar Pradesh,Kanpur Dehat,Uttar Pradesh,Kanpur Dehat,NA
934,3_9_164_0,3_9_164_0,Kanpur Nagar,Uttar Pradesh,Kanpur Nagar,Uttar Pradesh,Kanpur Nagar,Uttar Pradesh,Kanpur Nagar,NA
936,3_9_166_0,3_9_166_0,Jhansi,Uttar Pradesh,Jhansi,Uttar Pradesh,Jhansi,Uttar Pradesh,Jhansi,NA
940,3_9_170_0,3_9_170_0,Banda,Uttar Pradesh,Banda,Uttar Pradesh,Banda,Uttar Pradesh,Banda,NA
941,3_9_171_0,3_9_171_0,Chitrakoot,Uttar Pradesh,Chitrakoot,Uttar Pradesh,Chitrakoot,Uttar Pradesh,Chitrakoot,NA
944,3_9_174_0,3_9_174_0,Kaushambi,Uttar Pradesh,Kaushambi,Uttar Pradesh,Kaushambi,Uttar Pradesh,Kaushambi,NA
945,3_9_175_0,3_9_175_0,Allahabad,Uttar Pradesh,Allahabad,Uttar Pradesh,Allahabad,Uttar Pradesh,Allahabad,NA
946,3_9_176_0,3_9_176_0,Barabanki,Uttar Pradesh,Bara Banki,Uttar Pradesh,Barabanki,Uttar Pradesh,Barabanki,NA
947,3_9_177_0,3_9_177_0,Faizabad,Uttar Pradesh,Faizabad,Uttar Pradesh,Faizabad,Uttar Pradesh,Faizabad,NA
948,3_9_178_0,3_9_178_0,Ambedkar Nagar,Uttar Pradesh,Ambedkar Nagar,Uttar Pradesh,Ambedkar Nagar,Uttar Pradesh,Ambedkar Nagar,NA
949,3_9_179_0,3_9_179_0,Sultanpur,Uttar Pradesh,Sultanpur,Uttar Pradesh,Sultanpur,Uttar Pradesh,Sultanpur,NA
950,3_9_180_0,3_9_180_0,Bahraich,Uttar Pradesh,Bahraich,Uttar Pradesh,Bahraich,Uttar Pradesh,Bahraich,NA
951,3_9_181_0,3_9_181_0,Sharawasti,Uttar Pradesh,Shrawasti,Uttar Pradesh,Shrawasti,Uttar Pradesh,Shrawasti,NA
954,3_9_184_0,3_9_184_0,Siddharathnagar,Uttar Pradesh,Siddharthnagar,Uttar Pradesh,Siddarthnagar,Uttar Pradesh,Siddharthnagar,NA
958,3_9_188_0,3_9_188_0,Gorakhpur,Uttar Pradesh,Gorakhpur,Uttar Pradesh,Gorakhpur,Uttar Pradesh,Gorakhpur,NA
959,3_9_189_0,3_9_189_0,Kushinagar,Uttar Pradesh,Kushinagar,Uttar Pradesh,Kushinagar,Uttar Pradesh,Kushinagar,NA
960,3_9_190_0,3_9_190_0,Deoria,Uttar Pradesh,Deoria,Uttar Pradesh,Deoria,Uttar Pradesh,Deoria,NA
962,3_9_192_0,3_9_192_0,Mau,Uttar Pradesh,Mau,Uttar Pradesh,Mau,Uttar Pradesh,Mau,NA
963,3_9_193_0,3_9_193_0,Baliya,Uttar Pradesh,Ballia,Uttar Pradesh,Ballia,Uttar Pradesh,Ballia,NA
965,3_9_195_0,3_9_195_0,Ghazipur,Uttar Pradesh,Ghazipur,Uttar Pradesh,Ghazipur,Uttar Pradesh,Ghazipur,NA
966,3_9_196_0,3_9_196_0,Chandauli,Uttar Pradesh,Chandauli,Uttar Pradesh,Chandauli,Uttar Pradesh,Chandauli,NA
967,3_9_197_0,3_9_197_0,Varanasi,Uttar Pradesh,Varanasi,Uttar Pradesh,Varanasi,Uttar Pradesh,Varanasi,NA
968,3_9_198_0,3_9_198_0,Sant Ravidas Nagar,Uttar Pradesh,Sant Ravidas Nagar (Bhadohi),Uttar Pradesh,Sant Ravidas Nagar,Uttar Pradesh,S. R. Nagar Bhadohi,NA
1002,3_10_204_0,3_10_204_0,Purbi Champaran,Bihar,Purba Champaran,Bihar,Purba Champaran,Bihar,Champaran(E),NA
1005,3_10_207_0,3_10_207_0,Madhubani,Bihar,Madhubani,Bihar,Madhubani,Bihar,Madhubani,NA
1006,3_10_208_0,3_10_208_0,Supaul,Bihar,Supaul,Bihar,Supaul,Bihar,Supaul,NA
1009,3_10_211_0,3_10_211_0,Purnia,Bihar,Purnia,Bihar,Purnia,Bihar,Purnia,NA
1012,3_10_214_0,3_10_214_0,Saharsa,Bihar,Saharsa,Bihar,Saharsa,Bihar,Saharsa,NA
1014,3_10_216_0,3_10_216_0,Muzaffar Pur,Bihar,Muzaffarpur,Bihar,Muzaffarpur,Bihar,Muzaffarpur,NA
1016,3_10_218_0,3_10_218_0,Siwan,Bihar,Siwan,Bihar,Siwan,Bihar,Siwan,NA
1017,3_10_219_0,3_10_219_0,Saran,Bihar,Saran,Bihar,Saran,Bihar,Saran,NA
1022,3_10_224_0,3_10_224_0,Bhagal Pur,Bihar,Bhagalpur,Bihar,Bhagalpur,Bihar,Bhagalpur,NA
1023,3_10_225_0,3_10_225_0,Banka,Bihar,Banka,Bihar,Banka,Bihar,Banka,NA
1026,3_10_228_0,3_10_228_0,Sheikhpura,Bihar,Sheikhpura,Bihar,Sheikhpura,Bihar,Sheikhpura,NA
1027,3_10_229_0,3_10_229_0,Nalanda,Bihar,Nalanda,Bihar,Nalanda,Bihar,Nalanda,NA
1028,3_10_230_0,3_10_230_0,Patna,Bihar,Patna,Bihar,Patna,Bihar,Patna,NA
1030,3_10_232_0,3_10_232_0,Buxar,Bihar,Buxar,Bihar,Buxar,Bihar,Buxar,NA
